pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
2-9-14	1	02112		103	02112	1	133902003		0220	001			0	0		年	1		0		0		0	1.00	15000	0	15000	15000	0	0	0	辦理業務所需雜支。									0	272	122	0	0002						1030516	BGT
2-9-14	1	02112		103	02112	1	133902003		0401	002			0	0		年	1		0		0		0	1.00	719500	0	719500	719500	0	0	0	補助民間團體辦理原住民家庭暨婦女服務中心業務。									0	402	122	0	0003	0	0	0			1030516	BGT
2-9-14	1	02112		103	02112	1	133902006		0220	001			0	0		年	1		0		0		0	1.00	180000	0	180000	180000	0	0	0	國宅出租業務費。									0	272	122	0	0004	0	0	0			1030516	BGT
2-9-15	1	02112		103	02112	1	133902006		0232	001			0	0		年	1		0		0		0	1.00	570000	0	570000	570000	0	0	0	原住民住宅輔導工作臨時人員酬金。									0	292	122	0	0005	0	0	0			1030516	BGT
2-9-15	1	02112		103	02112	1	133902007		0214	001			0	0		節	1746		0		0		0	1746.00	800	0	1396800	1396800	0	0	0	臺北市部落大學講師鐘點費。									0	242	122	0	0006	0	0	0			1030516	BGT
2-9-15	1	02112		103	02112	1	133902007		0220	001	'		0	0		年	1		0		0		0	1.00	403200	0	403200	403200	0	0	0	辦理臺北市部落大學成果展及部落遊學文化採集。									0	272	122	0	0007	0	0	0			1030516	BGT
2-9-15	1	02112		103	02112	1	133902008		0214	001			0	0		節	1496		0		0		0	1496.00	500	0	748000	748000	0	0	0	原住民族語家庭、教會族語扎根語言師資鐘點費。									0	242	122	0	0008	0	0	0			1030519	BGT
2-9-15	1	02112		103	02112	1	133902008		0220	001	'		0	0		年	1		0		0		0	1.00	650000	0	650000	650000	0	0	0	辦理原住民銀髮族健康講座及保健服務。									0	272	122	0	0009	0	0	0			1030519	BGT
2-9-15	1	02112		103	02112	1	133902008		0220	002			0	0		年	1		0		0		0	1.00	274000	0	274000	274000	0	0	0	增進原住民風險管理能力、辦理法律諮詢服務。									0	272	122	0	0010	0	0	0			1030519	BGT
2-9-15	1	02112		103	02112	1	133902008		0220	003			0	0		年	1		0		0		0	1.00	212000	0	212000	212000	0	0	0	輔導原住民參加職業技能訓練與就業服務，提升專業技術及就業競爭力。									0	272	122	0	0011	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0220	004			0	0		年	1		0		0		0	1.00	318000	0	318000	318000	0	0	0	扶植原住民拓展經濟事業及推動原住民專案貸款業務。									0	272	122	0	0012	0	0	0			1030523	BGT
2-9-16	1	02112		103	02112	1	133902008		0220	005			0	0		年	1		0		0		0	1.00	630000	0	630000	630000	0	0	0	原住民語言學習、推展及活動經費。									0	272	122	0	0013	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0220	006			0	0		年	1		0		0		0	1.00	600000	0	600000	600000	0	0	0	辦理原住民文化慶典系列活動及其他配套措施。									0	272	122	0	0014	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0220	007			0	0		年	1		0		0		0	1.00	1300000	0	1300000	1300000	0	0	0	辦理暑期文化活動。									0	272	122	0	0015	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0232	001			0	0		年	1		0		0		0	1.00	482400	0	482400	482400	0	0	0	凱達格蘭文化館策展規劃人員1名酬金。									0	292	122	0	0016	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0232	002	'		0	0		年	1		0		0		0	1.00	510000	0	510000	510000	0	0	0	辦理金融輔導業務臨時人員酬金。									0	292	122	0	0017	0	0	0			1030523	BGT
2-9-16	1	02112		103	02112	1	133902008		0401	001	'		0	0		年	1		0		0		0	1.00	250000	0	250000	250000	0	0	0	補助都市原住民族同鄉會或民間團體辦理文化傳承活動。									0	402	122	0	0018	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0406	001			0	0		年	1		0		0		0	1.00	190000	0	190000	190000	0	0	0	補助原住民急難救助。									0	426	122	0	0019	0	0	0			1030519	BGT
2-9-16	1	02112		103	02112	1	133902008		0406	002			0	0		年	1		0		0		0	1.00	850000	0	850000	850000	0	0	0	補助年滿3歲至入國小前之幼兒就托公私立案托兒所或幼稚園托育補助費。									0	426	122	0	0020	0	0	0			1030519	BGT
2-9-17	1	02112		103	02112	1	133902015		0220	001			0	0		年	1		0		0		0	1.00	250000	0	250000	250000	0	0	0	各區公所辦理住宅業務所需雜支。									0	272	122	0	0022	0	0	0			1030516	BGT
2-9-17	1	02112		103	02112	1	133902015		0406	001			0	0		年	1		0		0		0	1.00	400000	0	400000	400000	0	0	0	補助中低收入戶原住民購屋補助。									0	419	122	0	0023	0	0	0			1030516	BGT
2-9-17	1	02112		103	02112	1	133902015		0406	002			0	0		年	1		0		0		0	1.00	500000	0	500000	500000	0	0	0	補助中低收入戶原住民修繕補助。									0	419	122	0	0024	0	0	0			1030516	BGT
2-9-17	1	02112		103	02112	1	133902018		0214	001			0	0		時	50		0		0		0	50.00	1200	0	60000	60000	0	0	0	辦理凱達格蘭文化館特色展覽駐館工藝匠師鐘點費。									0	242	122	0	0025	0	0	0			1030516	BGT
2-9-17	1	02112		103	02112	1	133902018		0220	001			0	0		年	1		0		0		0	1.00	240000	0	240000	240000	0	0	0	辦理凱達格蘭文化館特色展覽。									0	272	122	0	0026	0	0	0			1030516	BGT
2-9-16	1	02112		103	02112	1	133902020		0220	001			0	0		年	1		0		0		0	1.00	90000	0	90000	90000	0	0	0	辦理原住民取得技術士證照獎勵金業務及就業服務相關宣導活動等相關費用。									0	272	122	0	0021	0	0	0			1030516	BGT
2-9-14	1	02112		103	02112	1	133902022		0220	001			0	0		年	1		0		0		0	1.00	580000	0	580000	580000	0	0	0	辦理原住民族產業深耕、行銷推廣及相關配套措施等費用。									0	272	122	0	0001	0	0	0			1030520	BGT
2-9-18	1	02112		103	02112	2	138302001		0307	001			0	0		年	1		0		0		0	1.00	710000	0	710000	710000	0	0	0	建置原民風味館硬體設備及意象裝置等相關費用。									0	361	122	0	0001	0	0	0			1030520	BGT
2-9-18	1	02112		103	02112	2	138302002		0302	001	'		0	0		式	1		0		0		0	1.00	100000	0	100000	100000	0	0	0	辦理凱達格蘭文化館改善工程先期規劃費。									0	303	122	0	0002	0	0	0			1030520	BGT
2-9-19	1	02112		103	02112	2	138302002		0307	001	'		0	0		式	1		0		0		0	1.00	190000	0	190000	190000	0	0	0	辦理凱達格蘭文化館展品及圖書。									0	360	122	0	0003	0	0	0			1030520	BGT
2-11-11	1	02121		103	02121	1	133902003		0216	001			0	0		年	1		0		0		0	1.00	600000	0	600000	600000	0	0	0	「松山區營造深度旅遊暨友善環境之發展推動計畫」。										254	122	0	0001					王俊明	1030630	BGT
3-1-11	1	03101		103	03101	1	133902001		0220	001			0	0		式	1		0		0		0	1.00	3000000	0	3000000	3000000	0	0	0	支應臺北燈節整體規劃執行委託服務部分經費。									0	272	122	0	0001						1030502	BGT
