pageno	times	org1	pdept	bgtyy	org	item	srcid	obj	seq	acod	sdate	edate	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	note	icd	udept	acd	kort	man	sysdat	usno
1-1-22	0	01101		104	01101	1	060201		001	依預算法暨有關規定	1040101	1041231	月	12		0		0		0	12	9300	111600	111600	111600	出售報廢財產廢舊物品等殘值收入。					總務組	1030318	
1-1-18	0	01101		104	01101	1	040202		001	依預算法暨有關規定	1040101	1041231	月	12		0		0		0	12	92528	1110336	1110336	1110336	地下1樓員工餐廳委外經營場地使用費收入。					總務組	1030318	
1-1-18	0	01101		104	01101	1	040202		002	依預算法暨有關規定	1040101	1041231	月	12		0		0		0	12	75000	900000	900000	900000	使用交誼廳、禮堂、會議廳等場地使用費收入。					總務組	1030318	
1-1-18	0	01101		104	01101	1	040202		003	依預算法暨有關規定	1040101	1041231	月	12		0		0		0	12	8000	96000	96000	96000	男子理髮部、女子美容院租用本會場地使用費收入。					總務組	1030318	
1-1-24	0	01101		104	01101	1	100202		001	依預算法暨有關規定	1040101	1041231	件	200		0		0		0	200	50	10000	10000	10000	出售招標圖說工本費收入。					總務組	1030318	
1-1-18	0	01101		104	01101	1	040202		004	依預算法暨有關規定	1040101	1041231	月	12	臺	3		0		0	12x3	1260	45360	45360	45360	地下1樓設置飲料及食品自動販賣機場地使用費收入。					總務組	1030318	
1-1-18	0	01101		104	01101	1	040202		005	依預算法暨有關規定	1040101	1041231	月	12		0		0		0	12	1400	16800	16800	16800	使用秘書長職務宿舍繳回房租津貼併入數額。					總務組	1030318	
1-1-20	0	01101		104	01101	1	040203		001	依預算法暨有關規定	1040101	1041231	月	12	件	250		0		0	12x250	2	6000	6000	6000	圖書室提供影印服務收入。					資訊室	1030318	
2-2-26	0	02102		104	02102	1	100202		001	依據臺北市市有公用房地提供使用行政契約書辦理	1040101	1041231	月	12		0		0		0	12	127346	1528152	1528152	1528152	台北富邦銀行、郵局、販賣機等場地，每月水電費收入:¶(1) 台北富邦銀行市府分行29,000元。¶(2) 台北富邦銀行公庫部28,390元。¶(3) 郵局27,257元。¶(4) 飲料及食品販賣機2,562元。¶(5) 自動照相機600元。¶(6) 捐血中心4,631元。¶(7) 保誠人壽906元。¶(8) 萊爾富超商34,000元。¶每月共計127,346元。					李柏（王晉）	1030305	
2-2-26	0	02102		104	02102	1	100202		002	依據臺北市市政大樓員工餐廳供膳業務契約書辦理	1040101	1041231	月	12		0		0		0	12	103261	1239132	1239132	1239132	員工餐廳水電費預估收入(廠商自行負擔50%)。					李柏（王晉）	1030305	
