pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
1-1-49	0	01101		104	01101	1	110202003		0227	001			0	0		人	63		0		0		0	63.00	150000	9450000	9450000	9450000	9300000	0	0	議員出國考察訪問旅費。									0	285	360	0	0024				0009		1030507	BGT
1-1-49	0	01101		104	01101	1	110202003		0227	002			0	0		人	58		0		0		0	58.00	50000	2900000	2900000	2900000	2900000	0	0	職員配合議事業務赴國外考察補助費。									0	285	360	0	0025				0009		1030521	BGT
1-1-57	0	01101		104	01101	1	113401002		0227	001			0	0		年	1		0		0		0		500000	500000	500000	500000	500000	0	0	職員奉派國外出差旅費。									0	285	360	0	0038				0009		1030505	BGT
2-1-38	0	02101		104	02101	1	120101002		0227	001			0	0		年	1		0		0		0		5000000	5000000	5000000	5000000	5000000	0	0	參加各類國際會議及考察旅費。									0	285	360	0	0147				0009	顏良真	1030318	BGT
2-1-38	0	02101		104	02101	1	120101002		0227	002			0	0		人	2		0		0		0		75000	150000	150000	150000	150000	0	0	國外市政建設考察旅費。									0	285	360	0	0148				0009	王志達	1030318	BGT
2-1-58	0	02101		104	02101	1	123401003		0227	001			0	0		年	1		0		0		0	1.00	2500000	2500000	2500000	2500000	2500000	0	0	訪問姊妹市及國際重要城市出國旅費。									0	285	360	0	0023				0009	顏良真	1030401	BGT
2-1-64	0	02101		104	02101	1	220501002		0227	001			0	0		年	1		0		0		0	1.00	990000	1100000	990000	990000	1100000	0	0	配合城市外交及姊妹市交流活動，隨行人員出國旅費。									0	285	360	0	0031				0009	藍嘉蘋	1030918	BGT
2-3-30	0	02103		104	02103	1	120101004		0227	001			0	0		式	1		0		0		0	1.00	520000	520000	520000	520000	0	0	0	考察澳大利亞政府公務、特種基金預算編製、會計資訊揭露之現況。								依業務需要覈實增列	0	285	360	0	0077				0009	劉秀蓮	1030605	BGT
2-3-30	0	02103		104	02103	1	120101004		0227	002			0	0		人	2		0		0		0		75000	150000	150000	150000	150000	0	0	國外市政建設考察旅費。									0	285	360	0	0078				0009	林承澤	1030306	BGT
2-4-31	0	02104		104	02104	1	120201003		0227	001			0	0		人	4	天	7		0		0	4.00×7.00	11000	308000	308000	308000	620000	0	0	人事業務出國考察旅費(韓國)。								配合104年出國計畫編列。	0	285	360	0	0019				0009	李琇琪	1030617	BGT
