org1	pdept	bgtyy	org	item	srcid	workid	workna	workbr	pworkid	plancd	chap	chappna	chapnote	sysdat	usno
02102		104	02102	2	127102016	003	東南區冷卻水管路及周邊管路更新工程	東南區冷卻水管路及周邊管路更新工程		1				1030422	BGT
02102		104	02102	2	127102014	A02	市政大樓升降設備更新工程	市政大樓升降設備更新工程		2				1030626	BGT
02102		104	02102	2	127102014		市政大樓升降設備更新工程	市政大樓升降設備更新工程		2				1030626	BGT
02108		104	02108	1	120701002						02010202	001		1030307	BGT
02113		104	02113	1	220201002	002	以優質文化服務，落實市民文化權				09010309	001		1031015	BGT
02121		104	02121	1	132801008		新移民生活適應業務及各類研習課程	新移民生活適應業務及各類研習課程			04010101	001	市政白皮書。	1030623	BGT
02121		104	02121	2	517701005		巷弄綠美化維護工程	巷弄綠美化維護工程			07010502	002	市政白皮書。	1030421	BGT
02122		104	02122	1	132801006		新移民活動及課程	新移民活動及課程			04010105	001		1030717	BGT
02122		104	02122	2	517701002		巷弄綠美化及臺北好好看綠地維護工程	巷弄綠美化及臺北好好看綠地維護工程			07010502	001		1030331	BGT
02122		104	02122	2	137104001		電話主機系統資本租賃	電話主機系統資本租賃		2			102-109年連續性資本租賃。	1030701	BGT
02123		104	02123	1	132801006		新移民生活適應業務及各類研習課程	新移民生活適應業務及各類研習課程			04010105	001		1030625	BGT
02123		104	02123	2	517701002		巷弄街道綠美化維護工程	巷弄街道綠美化維護工程			07010502	002		1030625	BGT
02123		104	02123	2	137104001		電話主機系統資本租賃	電話主機系統資本租賃		2				1030625	BGT
02124		104	02124	1	132801006	001	新移民生活適應業務及各類研習課程	新移民生活適應業務及各類研習課程			04010105	001		1030718	BGT
02124		104	02124	2	517701029		巷弄綠美化維護工程	巷弄綠美化維護工程			07010502	001		1030402	BGT
02124		104	02124	1	137102043	001	朱園區民活動中心新建工程分攤款(工程費)			2			朱園區民活動中心新建工程分攤款係99-104年度連續性計畫，自102年度起配合本府消防局主辦之松江分隊新建工程參建案，總經費為717,929,662元，本所分攤總經費為19,887,732元，工程費除至上年度已編列11,819,728元外，餘7,434,943元以後年度不再編列。	1030702	BGT
02124		104	02124	1	137102043	002	朱園區民活動中心新建工程分攤款(委託技術服務費)			2			本工程委託技術服務費至上年度已編列581,700元，本年度續編列最後1年經費5,540元，餘18,121元以後年度不再編列。	1030702	BGT
02124		104	02124	2	137104001	003	電話主機系統資本租賃			2			97-104年連續性資本租賃	1030702	BGT
02124		104	02124	2	137102045	004	民安區民活動中心耐震補強工程分攤款			2				1030702	BGT
02124		104	02124	1	137102043	003	朱園區民活動中心新建工程分攤款(委託專案管理技術費)			2			本工程專案管理技術費除至上年度已編列13,850元，餘13,850元以後年度不再編列。	1030702	BGT
02125		104	02125	2	137102003		水源大廈冰水主機汰換工程	水源大廈冰水主機汰換工程		2				1030628	BGT
02125		104	02125	2	137102003	A01	水源大廈冰水主機汰換工程總工程經費明細如下：	水源大廈冰水主機汰換工程總工程經費明細如		2				1030628	BGT
02125		104	02125	2	137102004		水源大廈耐震力補強工程	水源大廈耐震力補強工程		2				1030628	BGT
02125		104	02125	2	137102004	A01	水源大廈耐震力補強工程總工程經費如下：	水源大廈耐震力補強工程總工程經費如下：		2				1030628	BGT
10101		104	10101	1	430201003	001	辦理失業勞工子女就學補助業務相關經費	辦理失業勞工子女就學補助業務相關經費			10010202	001		1030326	BGT
10101		104	10101	1	430201002	001	補助企業辦理托兒服務設施、措施	補助企業辦理托兒服務設施、措施			10010206	001		1030221	BGT
10101		104	10101	1	430201002	002	參訪德國企業與工會間工資及勞動條件協商機制、工會組織、爭議行為處理制度及各大城市市政建設	參訪德國企業與工會間工資及勞動條件協商機			10010103	001		1030221	BGT
10101		104	10101	1	430201002	003	參訪奧地利團體協約簽訂、企業與工會間協商機制、工會組織及各大城市市政建設	參訪奧地利團體協約簽訂、企業與工會間協商			10010102	001		1030221	BGT
10101		104	10101	1	430501002	001	辦理勞動事務學院及勞工教育宣導研討會	辦理勞動事務學院及勞工教育宣導研討會			10010103	002		1030222	BGT
10101		104	10101	1	440401003	001	性別工作平等暨就業歧視防制工作	性別工作平等暨就業歧視防制工作			04010101	001		1030623	BGT
10101		104	10101	1	440402002	001	庇護性產品行銷推廣相關活動及型錄製作費用	庇護性產品行銷推廣相關活動及型錄製作費用			10010204	001		1030221	BGT
10101		104	10101	1	440402002	002	補助庇護工場庇護性就業服務計畫案	補助庇護工場庇護性就業服務計畫案			10010203	001		1030221	BGT
10101		104	10101	1	440402002	003	庇護工場評鑑獎金及庇護工場優秀服務人員獎金	庇護工場評鑑獎金及庇護工場優秀服務人員			10010204	002		1030221	BGT
10101		104	10101	1	440402002	004	辦理庇護工場評鑑等相關業務會議出席費	辦理庇護工場評鑑等相關業務會議出席費			10010204	003		1030221	BGT
10101		104	10101	2	437102013	A13	本局分攤總工程費明細如下：	本局分攤總工程費明細如下：		2				1030221	BGT
10101		104	10101	2	437102013	013	永樂大樓外牆整修(含屋頂防水)工程分攤款	永樂大樓外牆整修(含屋頂防水)工程分攤款		2				1030221	BGT
10101		104	10101	1	430501002		韓國國民職能培育開發及技能競賽選手培育訪查	韓國國民職能培育開發技能競賽選手培育訪查			10010402	001		1030401	BGT
10102		104	10102	1	440101006		台北人力銀行影音履歷系統建置計畫	台北人力銀行影音履歷系統建置計畫			10010501	004		1030212	BGT
10102		104	10102	1	440101008		台北人力銀行對外服務Internet連線及全球資訊網專線電路租費（GSN T3專線）	台北人力銀Internet連線月租費			10010501	005		1030212	BGT
10102		104	10102	1	440101009		台北人力銀行職能及性向測驗系統建置計畫	台北人力銀行職能及性向測驗系統建置計畫			10010501	006		1030212	BGT
10102		104	10102	1	440203005		辦理台北人力銀行網站宣傳等相關費用	辦理台北人力銀行網站宣傳等相關費用			10010501	001		1030702	BGT
10102		104	10102	1	440204002		辦理就業博覽會及專案招募活動	辦理就業博覽會及專案招募活動			10010502	001		1031017	BGT
10102		104	10102	1	447104001		汰換及更新台北人力銀行伺服器及周邊設備	汰換及更新台北人力銀行伺服器及周邊設備			10010501	003		1030212	BGT
10102		104	10102	1	440101002		開發台北人力銀行手機版網頁暨行動裝置採購及應用程式建置計畫	開發台北人力銀行手機版網頁暨行動裝置採購			10010501	002		1030212	BGT
10102		104	10102	2	447102005	A01	本處分攤總工程費明細如下：	本處分攤總工程費明細如下：		1				1030626	BGT
10102		104	10102	2	447102004		參建台肥公營住宅就業服務站規劃設計監造分攤款	參建台肥公營住宅就業服務站規劃設計監造分		2				1031014	BGT
10102		104	10102	2	447102005	001	參建台肥公營住宅就業服務站工程分攤款	參建台肥公營住宅就業服務站工程分攤款		1				1031014	BGT
10102		104	10102	2	447102003	A00	總工程費明細如下：	總工程費明細如下：						1030701	BGT
10102		104	10102	2	447102003	000	本處行政大樓結構性補強工程	本處行政大樓結構性補強工程		1				1030701	BGT
10103		104	10103	1	440201002	003	職訓推廣E-learning教學計畫	職訓推廣E-learning教學計畫			10010406	001		1031013	BGT
10103		104	10103	1	440201002	001	職能培育	職能培育			10010402	001		1030610	BGT
10105		104	10105	1	430201030	001	落實勞動檢查制度及確保工作環境之安全	落實勞動檢查制度及確保工作環境之安全			04010110	001		1030619	BGT
10105		104	10105	1	430201030	002	強化營造工地主動落實安全衛生自主管理	強化營造工地主動落實安全衛生自主管理			10010301	001		1030213	BGT
10105		104	10105	1	430201030	006	應用視訊、即時監督系統及GIS安管系統等，有效降低職災發生	應用視訊、即時監督系統及GIS安管系統等			10010305	001		1030218	BGT
10105		104	10105	1	430201040	004	促進健康職場建置及檢測	促進健康職場建置及檢測			10010303	001		1030619	BGT
10105		104	10105	1	430201050	003	建構職業安全衛生教育學院體系	建構職業安全衛生教育學院體系			10010302	001		1031013	BGT
10105		104	10105	1	430201050	005	推行勞安護照與職業安全衛生教育訓練，提昇職業安全衛生意識	推行勞安護照與職業安全衛生教育訓練，提昇			10010304	001		1030702	BGT
03101		104	03101	1	130601002	001	生育獎勵金	生育獎勵金			03010501	001		1030620	BGT
03101		104	03101	1	130601004	001	同志公民業務	同志公民業務			04010102	001		1030328	BGT
03101		104	03101	1	130601005	001	辦理新移民生活適應輔導	辦理新移民生活適應輔導			04010105	001		1030328	BGT
03101		104	03101	1	220401006	001	臺北燈節	臺北燈節						1030328	BGT
