pageno	times	org1	pdept	bgtyy	org	item	srcid	obj	seq	acod	sdate	edate	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	note	icd	udept	acd	kort	man	sysdat	usno
3-1-10	1	03101		103	03101	1	080102		001	交通部觀光局103.1.22觀旅字第1035000142號函。	1030101	1031231	式	1		0		0		0	1	3000000	0	3000000	3000000	交通部觀光局補助辦理「2014臺北燈節」收入。					李佩珊	1030502	BGT
3-1-10	1	03101		103	03101	1	080102		002	內政部入出國及移民署103.4.29移署移輔世字第1030061764號函。	1030101	1031231	式	1		0		0		0	1	510000	0	510000	510000	內政部入出國及移民署補助辦理「外籍配偶生活適應輔導」收入。					張愛玉	1030502	BGT
4-1-14	1	04101		103	04101	1	010901		001	依中央統籌分配稅款分配辦法第12條規定辦理。	1030101	1031231	年	1		0		0		0	1	16755000	0	16755000	16755000	行政院核定為協助本府102年度因應社會福利津貼調整所需，以中央特別統籌分配稅款撥付本府辦理，較101年12月21日核定數額增加部分。					曾莉雅	1030701	BGT
4-1-14	1	04101		103	04101	1	010901		002	依中央統籌分配稅款分配辦法第12條規定辦理。	1030101	1031231	年	1		0		0		0	1	567819000	0	567819000	567819000	行政院核定為協助本府103年度因應社會福利津貼調整所需，以中央特別統籌分配稅款撥付本府辦理。					曾莉雅	1030527	BGT
4-1-16	1	04101		103	04101	1	080101		002	依財政部102年7月2日台財促字第10225510970號函辦理。	1030101	1031231	年	1		0		0		0	1	700500	0	700500	700500	行政院頒發本府102年度第2季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。					陳秋敏	1030422	BGT
4-1-16	1	04101		103	04101	1	080101		003	依財政部102年10月7日台財促字第10225515810號函辦理。	1030101	1031231	年	1		0		0		0	1	1491350	0	1491350	1491350	行政院頒發本府102年度第3季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。					陳秋敏	1030422	BGT
4-1-16	1	04101		103	04101	1	080101		004	依財政部103年1月6日台財促字第10325500090號函辦理。	1030101	1031231	年	1		0		0		0	1	82096530	0	82096530	82096530	行政院頒發本府102年度第4季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。					陳秋敏	1030422	BGT
4-1-18	1	04101		103	04101	1	080102		001	依財政部102年4月16日台財庫字第10203647101號函核定。	1030101	1031231	年	1		0		0		0	1	6192000	0	6192000	6192000	財政部核定撥付103年度菸品健康福利捐供私劣菸品查緝經費。					陳克明	1030423	BGT
4-1-16	1	04101		103	04101	1	080101		001	依行政院102年8月30日院授主預補字第1020102266A號函辦理。	1030101	1031231	年	1		0		0		0	1	81830319	0	81830319	81830319	103年度中央補助本府之教師專案退休補助經費，依本府教育局103年4月28日北市教人字第10334795100號函及同年8月15日北市教人字第10338918000號函預估退休人數及所需經費預算，按補助比率51%編列。					陳瑄翎	1031006	BGT
5-1-10	1	05111		103	05111	1	080102		001	文化部102年7月15日文交字第1023020182號函。	1020101	1021231	年	1		0		0		0	1	100000	0	100000	100000	文化部補助大安國中參加北京管樂節演出機票費。						1030507	BGT
