borg	bgtyy	srcid	endyy	srcna	srcbr	prep	src0	src1	src12	src2	src3	src4	psrc4	org	cona	sysdat	usno
00000	103	100000000		一般政務支出	一般政務支出												
00000	103	110000000		政權行使支出	政權行使支出		01									0970802	BGT
00000	103	120000000		行政支出	行政支出	1	2	002	002							1000822	BGT
00000	103	130000000		民政支出	民政支出		3									1000822	BGT
00000	103	140000000		財務支出	財務支出		04									0970802	BGT
00000	103	200000000		教育科學文化支出	教育科學文化支出												
00000	103	210000000		教育支出	教育支出		5									1000822	BGT
00000	103	220000000		文化支出	文化支出		6									1000822	BGT
00000	103	300000000		經濟發展支出	經濟發展支出												
00000	103	310000000		農業支出	農業支出		07									0970802	BGT
00000	103	320000000		工業支出	工業支出		08									0970802	BGT
00000	103	330000000		交通支出	交通支出		09									0970802	BGT
00000	103	340000000		其他經濟服務支出	其他經濟服務支出		10									0970802	BGT
00000	103	400000000		社會福利支出	社會福利支出												
00000	103	410000000		社會保險支出	社會保險支出		11									0970802	BGT
00000	103	420000000		社會救助支出	社會救助支出		12									0970802	BGT
00000	103	430000000		福利服務支出	福利服務支出		13									0970802	BGT
00000	103	440000000		國民就業支出	國民就業支出		14									0970802	BGT
00000	103	450000000		醫療保健支出	醫療保健支出		15									0970802	BGT
00000	103	500000000		社區發展及環境保護支出	社區發展及環境保護支出												
00000	103	510000000		社區發展支出	社區發展支出		16									0970802	BGT
00000	103	520000000		環境保護支出	環境保護支出		17									0970802	BGT
00000	103	600000000		退休撫卹給付支出	退休撫卹給付支出												
00000	103	610000000		退休撫卹給付支出	退休撫卹給付支出		18									0970802	BGT
00000	103	700000000		警政支出	警政支出												
00000	103	710000000		警政支出	警政支出		19									0970802	BGT
00000	103	800000000		債務支出	債務支出												
00000	103	810000000		債務付息支出	債務付息支出		21									0970802	BGT
00000	103	820000000		還本付息事務支出	還本付息事務支出		22									0970802	BGT
00000	103	900000000		其他支出	其他支出												
00000	103	910000000		其他支出	其他支出		23									0970802	BGT
00000	103	920000000		第二預備金	第二預備金		24									0970802	BGT
03124	103	130101002	092	一般業務	一般業務	1	03	025	025	01	01					0970805	
02102	103	127102003	092	北區冰水管路及空調箱更新工程	北區冰水管路及空調箱更新工程	1	2	002	002	03	01					0990317	BGT
02108	103	120301001	092	人員維持費	人員維持費	1	2	006	006	03	01					0970804	
02108	103	120301002	092	年度施政計畫管制考核	年度施政計畫管制考核	1	2	006	006	03	01					0970804	
02108	103	120301003	092	重要專案管制考核	重要專案管制考核	1	2	006	006	03	01					0970804	
