pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
1-1-30	0	01101		102	01101	1	110101006		0210	001			0	0		輛	1	月	12	公升	139		0	1.00×12.00×139.00	35.3	55711	58880	58880	57314	0	0	小客車(議長座車)汽油費。									0	229	122	0	0080			1	0003	1010828	
1-1-30	0	01101		102	01101	1	110101006		0210	002			0	0		輛	1	月	12	公升	139		0	1.00×12.00×139.00	35.3	55711	58880	58880	57314	0	0	小客車(副議長座車)汽油費。									0	229	122	0	0081			1	0003	1010828	
1-1-30	0	01101		102	01101	1	110101006		0210	003			0	0		輛	1	月	12	公升	139		0	1.00×12.00×139.00	33.3	53209	55544	55544	54740	0	0	小客車(秘書長座車)汽油費。									0	229	122	0	0082			1	0003	1010828	
1-1-31	0	01101		102	01101	1	110101006		0210	004			0	0		輛	1	月	12	公升	139		0	1.00×12.00×139.00	33.3	53209	55544	55544	54740	0	0	小客車(副秘書長座車)汽油費。									0	229	122	0	0083			1	0003	1010828	
1-1-31	0	01101		102	01101	1	110101006		0210	005			0	0		輛	6	月	12	公升	25		0	6.00×12.00×25.00	33.3	57420	59940	59940	57420	0	0	重型公務機車汽油費。									0	229	122	0	0084			1	0003	1010828	
1-1-31	0	01101		102	01101	1	110101006		0210	006			0	0		輛	9	月	12	公升	139		0	9.00×12.00×139.00	33.3	478881	499896	499896	492660	0	0	客貨兩用車汽油費。									0	229	122	0	0085			1	0003	1010828	
2-1-32	0	02101		102	02101	1	120101002		0210	002			0	0		輛	1	月	12	公升	71		0	1×12×71	33.3	0	28372	28372	27179	0	0	小客車(市長座車)汽油費。								5299-QH		229	122		0092			1	0003		
2-1-32	0	02101		102	02101	1	120101002		0210	003			0	0		輛	3	月	12	公升	71		0	3×12×71	33.3	0	85116	85116	81537	0	0	小客車(副市長座車)汽油費。								101年汰換2038-DB、2039-DB副市長座車，預計採購油氣雙燃料車，3170-QH		229	122		0093			1	0003		
2-1-32	0	02101		102	02101	1	120101002		0210	004			0	0		輛	1	月	12	公升	71		0	1×12×71	33.3	0	28372	28372	27179	0	0	小客車(秘書長座車)汽油費。								102年汰換9256-DS，預計採購油氣雙燃料車		229	122		0094			1	0003		
2-1-32	0	02101		102	02101	1	120101002		0210	005			0	0		輛	2	月	12	公升	71		0	2×12×71	33.3	0	56744	56744	54358	0	0	小客車(副秘書長座車)汽油費。								7390-QY油氣雙燃料車，2008年購置，3166-QH		229	122		0095			1	0003		
