pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
2-5-38	0	02105		102	02105	2	127103000		0305	001			0	0	0207	輛	1		0		0		0	1.00	53500	53500	53500	53500	0	0	0	重型機車。									1	351	321	0	0001				0023	1010507	BGT
6-4-73	0	06104		102	06104	2	347103000		0305	001			0	0	0204	輛	1		0		0		0	1.00	540000	610000	540000	540000	0	0	0	新購8人座客貨兩用車。								為利同仁外出洽辦公務，如商業、公司業務訪查、稽查及商圈產業輔導等相關公務，以維業務運作順暢。	1	350	321	1	0001				0023	1020222	BGT
7-3-84	0	07103		102	07103	2	337103000		0305	004			0	0		輛	3		0		0		0	3.00	540000	1620000	1620000	1620000	0	0	0	新購客貨兩用車。									0	350	321	1	0001	0	0	0	0023	1010828	BGT
7-6-123	0	07106		102	07106	2	317103000		0305	004			0	0		輛	1		0		0		0	1.00	490000	490000	490000	490000	0	0	0	新購小貨車(含自動升降尾門、三面帆布及貨架等相關配備)。								業務需要。	0	350	321	0	0002				0023	1010801	BGT
7-6-123	0	07106		102	07106	2	317103000		0305	005			0	0		輛	2		0		0		0	2.00	726000	1452000	1452000	1452000	0	0	0	新購吉普車。								業務需要。	0	350	321	0	0003	0	0	0	0023	1010731	BGT
10-1-87	0	10101		102	10101	2	437103000		0305	003			0	0	0209	輛	1		0		0		0	1.00	700000	0	700000	700000	0	0	0	新購副局長小客車。								新購副局長小客車	1	350	321	1	0003	0	0	0	0023	1010711	BGT
10-1-87	0	10101		102	10101	2	437103000		0305	004			0	0	0207	輛	5		0		0		0	5.00	53500	267500	267500	267500	0	0	0	新購檢查用機車（重型125C.C）。								業務所需	1	350	321	1	0004	0	0	0	0023	1010921	BGT
10-5-37	0	10106		102	10106	2	447103000		0305	001			0	0	0211	輛	1		0		0		0	1.00	610000	0	610000	610000	0	0	0	新購處長小客車。									1	350	321	0	0001	0	0	0	0023	1010716	BGT
12-1-181	0	12101		102	12101	2	457103000		0305	002			0	0	0204	輛	1		0		0		0	1.00	540000	700000	540000	540000	540000	0	0	新購8人座客貨兩用公務車。								疾管處101年報廢2輛旅行式轎車並未重置，公務車輛不敷使用，故於102年新增。	1	350	321	0	0002				0023	1010724	BGT
13-1-226	0	13101		102	13101	2	527103000		0305	011			0	0	0207	輛	3		0		0		0	3.00	53500	0	160500	160500	0	0	0	新購機車3輛(掩埋場)。								依實際需求，編列新購。	1	354	321	1	0008	0	0	0	0023	1020222	BGT
16-1-151	0	16101		102	16101	2	137103000		0305	002			0	0	0207	輛	12		0		0		0	12.00	400000	9600000	4800000	4800000	0	0	0	新購消防救災機車12輛。								業務需要	0	352	321	1	0001	0	0	0	0023	1020222	BGT
18-2-26	0	18112		102	18112	2	227103000		0305	001			0	0		輛	1		0		0		0	1.00	850000	850000	850000	850000	0	0	0	購置四輪驅動客貨兩用車1輛。								巡檢本臺架設於七星山機房之FM天線與設備及士林機房之AM天線與設備。	0	350	321	1	0001				0023	1010820	BGT
19-3-43	0	19111		102	19111	2	137103000		0305	001			0	0	0205	輛	1		0		0		0	1.00	530000	530000	530000	530000	0	0	0	新購客貨兩用車(5人座)。								依業務需要編列	1	350	321	0	0001				0023	1010813	BGT
19-5-44	0	19113		102	19113	2	137103000		0305	002			0	0	0207	輛	2		0		0		0	2.00	53500	107000	107000	107000	0	0	0	新購重型公務機車。								依業務需要覈實編列。	1	351	321	1	0002	0	0	0	0023	1010814	BGT
19-6-45	0	19114		102	19114	2	137103000		0305	001			0	0	0205	輛	1		0		0		0	1.00	530000	540000	530000	530000	0	0	0	新購客貨兩用車。								依業務需要覈實編列。	1	350	321	0	0001				0023	1010814	BGT
19-8-43	0	19116		102	19116	2	137103000		0305	001			0	0	0205	輛	2		0		0		0	2.00	530000	2120000	1060000	1060000	520000	0	0	新購5人座客貨兩用車2輛。									1	350	321	0	0001				0023	1010814	BGT
22-1-209	0	22101		102	22101	2	227103000		0305	002			0	0		輛	6		0		0		0	6.00	53500	909500	321000	321000	2400000	0	0	重型公務機車。									0	351	321	1	0001				0023	1020220	BGT
22-1-209	0	22101		102	22101	2	227103000		0305	003			0	0		輛	1		0		0		0	1.00	850000	780000	850000	850000	0	0	0	首長座車。										350	321	0	0002				0023	1020220	BGT
22-1-209	0	22101		102	22101	2	227103000		0305	004			0	0		輛	1		0		0		0	1.00	700000	700000	700000	700000	0	0	0	副首長座車。										350	321	0	0003	0	0	0	0023	1020220	BGT
