bgtyy	org	orgna	orgbr	morg	chief	accer	ktporg	src0	src13	u_no	orgtp	orggrd	borg	sbgna	sborg	byy	peyy	bdate	aeym	note	engid	sysdat	usno
101	04191	臺北市集中支付處	集中支付處	04	紀聰吉	劉家瑜		14	003			2										0950523	BGT
102	06000	臺北市政府產業發展局主管	產業發展局主管	06	黃啟瑞	魏梅枰		31	000			1										1010410	BGT
102	06101	臺北市政府產業發展局	產業發展局	06	黃啟瑞　	魏梅枰	0606101	31	001			2										1010307	BGT
102	06102	臺北市動物保護處	動物保護處	06	嚴一峰	李怜潔		31	002	06102		2										1010724	BGT
102	06103	臺北市市場處	市場處	06	王三中	林瑞碧		31	003			2										1020104	BGT
102	06104	臺北市商業處	商業處	06	黃以育	簡秀霞	0606104	34	004			2										1020102	BGT
102	07000	臺北市政府工務局主管	工務局主管	07	張培義	鄭秀貞		33	000			1										1010810	BGT
102	07101	臺北市政府工務局	工務局	07	張培義	鄭秀貞　		33	001			2										1010621	BGT
102	07102	臺北市政府工務局水利工程處	水利工程處	07	施建旭	張寧生		31	002			2										1010817	BGT
102	07103	臺北市政府工務局新建工程處	新建工程處	07	陳得意	陳淑惠		33	003	07003		2										1010503	BGT
102	07104	臺北市政府工務局公園路燈工程管理處	公園路燈工程管理處	07	劉國銘	阮美琨		51	004			2										1010807	BGT
102	07105	臺北市政府工務局衛生下水道工程處	衛生下水道工程處	07	陳永輝　	劉淑江　		34	005			2										1000727	BGT
102	08000	臺北市政府交通局主管	交通局主管	08	林志盈	曾淑美	1717000	33				1										1000603	BGT
102	08101	臺北市政府交通局	交通局	08	林志盈	曾淑美		33	001			2										1000301	BGT
102	08103	臺北市停車管理工程處	停車管理工程處	08	張哲揚	王建今	0808103	33	002			2										1010730	BGT
102	08104	臺北市交通管制工程處	交通管制工程處	08	陳學台　	郭德芳　	0808104	33	003			2										1010730	BGT
102	08108	臺北市交通事件裁決所	交通事件裁決所	08	楊金樹	劉美纓	0808108	33	005			2										1011214	BGT
102	08105	臺北市公共運輸處	公共運輸處	08	王聲威	黃淑貞	0808105	33	004			2										1010730	BGT
102	11128	臺北市政府警察局萬華分局	萬華分局	11	江慶興	林美佑	1111128	71	109	11128	08	4	11128									1011227	BGT
102	11129	臺北市政府警察局文山第一分局	文山第一分局	11	詹永華	張簡素慧	0909029	71	110			4										1020102	BGT
