pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
1-1-28	0	01101		102	01101	1	110101006		0113	001			0	0		人	7	日	252		0		0	7.00×252.00	300	529200	529200	529200	535500	0	0	職員、駐衛警、技工、工友、臨時工平日值勤費。									0	151	112	0	0049				0006	1010828	BGT
2-2-45	0	02102		102	02102	1	120203002		0113	001			0	0	1705	人	37	日	89		0		0	37.00×89.00	500	1646500	1646500	1646500	1646500	0	0	駐衛警值日夜費(例假日)。									1	151	112	0	0008				0006	1010327	BGT
2-2-45	0	02102		102	02102	1	120203002		0113	002			0	0	1704	人	37	日	166		0		0	37.00×166.00	300	1842600	1842600	1842600	1842600	0	0	駐衛警值日夜費(平日)。									1	151	112	0	0009				0006	1010327	BGT
2-6-37	0	02106		102	02106	1	212601004		0113	001			0	0		人	4	天	64		0		0	4.00×64.00	300	76800	76800	76800	76800	0	0	訓練行政事務技工、工友住班費。									0	151	113	0	0057				0006	1010828	BGT
3-2-15	0	03102		102	03102	1	220101004		0113	001			0	0	1705	人	1	日	113		0		0	1.00×113.00	500	56500	56500	56500	55500	0	0	員工例假日古蹟維護巡查值日夜費。									1	151	112	0	0048				0006	1010512	BGT
3-3-55	0	03103		102	03103	1	220101004		0113	001			0	0	1705	人	1	日	113		0		0	1.00×113.00	500	56500	56500	56500	55500	0	0	職員值班費(例假日)。								業務需要覈實增列	1	151	112	0	0103				0006	1010505	BGT
3-3-55	0	03103		102	03103	1	220101004		0113	002			0	0	1704	人	1	日	252		0		0	1.00×252.00	300	75600	75600	75600	76500	0	0	職員值班費(平日)。								業務需要覈實減列	1	151	112	0	0104				0006	1010505	BGT
3-3-59	0	03103		102	03103	1	220201002		0113	001			0	0	1704	人	2	日	252		0		0	2.00×252.00	300	151200	151200	151200	153000	0	0	職員值班費(平日)。								業務需要覈實減列	1	151	112	0	0012				0006	1010505	BGT
3-3-59	0	03103		102	03103	1	220201002		0113	002			0	0	1705	人	2	日	113		0		0	2.00×113.00	500	113000	113000	113000	111000	0	0	職員值班費(例假日)。								業務需要覈實增列	1	151	112	0	0013				0006	1010505	BGT
3-3-59	0	03103		102	03103	1	220201002		0113	003			0	0	1704	人	8	日	252		0		0	8.00×252.00	300	604800	604800	604800	612000	0	0	技工、工友值班費(平日)。								業務需要覈實減列	1	151	112	0	0014				0006	1010514	BGT
