bgtyy	statcd	statna	obj	stdcd	sysdat	usno
101	104	職員待遇	0102		0960523	
101	109	聘用人員待遇	0103		0960523	
101	110	約僱人員待遇	0103		0960523	
101	112	技工工友待遇	0104		0960523	
101	125	員工上下班交通費	0107		0960523	BGT
101	128	員工福利互助補助	0107		0960523	BGT
101	130	員工加班費	0108		0960523	BGT
101	131	府會聯絡員職務加班費	0108		0960523	BGT
101	133	政務人員提撥金	0109		0960523	BGT
101	134	公務人員提撥金	0109		0960523	BGT
101	137	約聘僱人員提撥金	0109		0960523	BGT
101	138	技工及工友提撥金	0109		0960523	BGT
101	139	員工健保費補助	0110		0960523	BGT
101	142	職員公保費補助	0110		0970425	BGT
101	144	員工勞保費補助	0110		0960523	BGT
101	201	員工統籌業務費	0201		0960523	BGT
101	203	員工赴訓練機構研習教材、差旅費	0202		0960523	
101	204	水費	0203		0960523	
101	205	電費	0203		0960523	
101	206	煤氣及其他機具動力費	0203		0960523	
101	207	數據或網路通訊費	0204		0960523	
101	208	郵資	0204			
101	209	電信費	0204			
101	211	車輛租金	0206		0960523	
101	212	事務設備租金	0206		0960523	
101	213	其他動產及不動產租金	0206		0960523	
101	214	稅捐	0207		0960523	
101	215	規費	0207		0960523	
101	219	法定責任保險(如第三人責任險、強制責任險)	0208		0960523	
101	220	對業務活動保險	0208		0960523	
101	222	志工投保意外險	0208		0960523	
101	225	專利權使用費	0209		0960523	
101	229	車輛用油	0210		0960523	
101	230	機械設備用油	0210		0960523	
101	231	外勤誤餐費	0211		0960523	
101	232	外勤交通費	0211		0960523	
101	235	兼職費	0213		0970415	
101	236	委聘律師公費	0214		0960523	
101	237	委聘會計師公費	0214		0960523	
101	238	委聘其他專技人員公費	0214		0960523	
101	239	顧問費	0214		0960523	
101	240	聘請學者專家出席費	0214		0960523	
101	241	地方人士出席專案會議交通費	0214		0960523	
101	242	講座鐘點費	0214		0960523	
101	243	稿費及編輯費	0214		0960523	
101	244	考試及其他作業費	0214		0960523	
101	245	評鑑或裁判費	0214		0960523	
101	246	引言或主持費	0214		0960523	
101	247	演出費	0214		0960523	
101	248	志工餐點及交通補助	0214		0960523	
101	249	材料	0215		0960523	
101	250	消耗品	0215		0960523	
101	251	非消耗品	0215		0960523	
101	252	工作規劃聘請專業人士個案研究費	0216		0960523	BGT
101	253	委託機構或團體進行學術研究	0216		0960523	
101	254	委託團體代辦相關業務	0216		0960523	
101	256	電腦耗材及維修	0218		0960523	
101	257	員工文康活動費	0219		0960523	
101	258	保險及健康檢查費	0219		0960523	
101	259	勞力外包	0220		0970415	BGT
101	261	印刷	0220		0960523	
101	262	獎牌製作	0220		0960523	
101	263	廣告	0220		0960523	
101	264	交際費	0220		0960523	
101	265	禮品	0220		0960523	
101	266	餐費	0220		0960523	
101	267	環境佈置	0220		0960523	
101	268	環境清潔	0220		0960523	
101	269	保全	0220		0960523	
101	270	制服	0220		0960523	
101	272	雜支	0220		0960523	
101	273	團體慰勞或獎勵費	0220		0960523	
101	274	特別費	0221		0960523	
101	275	公用房屋修繕費	0222		0960523	
101	279	車輛養護費	0223		0960523	
101	280	辦公機具養護費	0223		0960523	
101	281	公共設施養護費	0224		0960523	
101	282	特定儀器或設備養護費	0224		0960523	
101	283	國內市外出差旅費	0225		0960523	
101	284	赴大陸(含港、澳)出差旅費	0226		0960523	
101	285	赴國外出差旅費	0227		0960523	
101	286	公物運輸、裝卸及通行費	0228		0960523	
101	289	其他資訊服務	0230		0960523	BGT
101	292	勞務服務費	0232		0960523	BGT
101	293	專業服務費	0232		0960523	BGT
101	303	辦公建築物整修	0302		0960523	
101	307	其他設施修建工程	0302		0960523	BGT
101	309	區民活動中心	0302		0960523	BGT
101	313	土地改良	0303		0960523	BGT
101	319	路燈	0303		0960523	BGT
101	320	綠化工程	0303		0960523	BGT
101	323	雨水下水道	0303		0960523	BGT
101	327	文化設施工程	0303		0960523	BGT
101	329	鄰里公園	0303		0960523	BGT
101	330	體育設施工程	0303		0960523	BGT
101	336	水源特定區設施	0303		0960523	BGT
101	338	交通設施改善工程	0303		0960523	BGT
101	339	地區環境改造工程	0303		0960523	BGT
101	340	社區環境改造工程	0303		0960523	BGT
101	344	通訊儀器	0304		0960523	
101	345	機械設備	0304		0960523	
101	348	船舶	0305		0960523	
101	350	車輛	0305		0960523	
101	355	資訊硬體設備	0306		0960523	
101	357	資訊軟體設備	0306		0960523	
101	359	資訊系統開發費	0306		0930504	BGT
101	360	圖書設備	0307		0960523	BGT
101	361	事務設備	0307		0960523	BGT
101	363	警察消防裝備	0307		0960523	BGT
101	402	對民間團體之捐助	0401		0960523	
101	406	短絀之填補	0403		0960523	
101	408	員工權益補償補助	0403		0960523	
101	412	對非屬公務人員給予之檢舉或獎勵金	0405		0960523	
101	416	其他特定人員慰問金	0405		0960523	
101	419	對(中)低收入戶之濟助	0406		0960523	BGT
101	420	對傷殘濟助	0406		0960523	
101	424	對特殊境遇婦女、危機家庭兒少之濟助	0406		0960523	BGT
101	426	市民急難救助	0406		0960523	
101	428	收容及輔育機構就養費	0407		0960523	
101	440	對個人之補助及捐助	0414		0960523	BGT
101	601	第一預備金	0601			
101	901	土地(計畫型)	0301			
101	914	土地改良(計畫型)	0303		0960523	BGT
101	916	山坡地整治(計畫型)	0303		0960523	BGT
101	929	體育設施工程(計畫型)	0303		0960523	BGT
102	101	代表待遇	0101		0960523	
102	102	助理待遇	0101		0960523	
102	104	職員待遇	0102		0960523	
102	106	警察待遇	0102		0960523	
102	107	教師待遇	0102		0960523	
102	109	聘用人員待遇	0103		0960523	
102	110	約僱人員待遇	0103		0960523	
102	112	技工工友待遇	0104		0960523	
102	114	臨時工工資	0105		0960523	
102	116	員工特殊功勳獎金	0106		0960523	
102	120	員工結婚補助	0107		0960523	
102	125	員工上下班交通費	0107		0960523	BGT
102	128	員工福利互助補助	0107		0960523	BGT
102	129	因公傷殘亡慰問金	0107		0960523	BGT
102	130	員工加班費	0108		0960523	BGT
102	131	府會聯絡員職務加班費	0108		0960523	BGT
102	133	政務人員提撥金	0109		0960523	BGT
102	134	公務人員提撥金	0109		0960523	BGT
102	136	教育人員提撥金	0109		0960523	BGT
102	137	約聘僱人員提撥金	0109		0960523	BGT
102	138	技工及工友提撥金	0109		0960523	BGT
102	139	員工健保費補助	0110		0960523	BGT
102	140	退休人員健保費補助	0110		0960523	BGT
102	141	民意代表健保費補助	0110		0960523	BGT
102	142	職員公保費補助	0110		0970425	BGT
102	144	員工勞保費補助	0110		0960523	BGT
102	147	統籌編列之員工待遇準備	0111		0960523	BGT
102	148	撫卹金及殮葬補助	0112		0960523	BGT
102	149	技工、工友、駕駛及駐衛警退職給付	0112		0960523	BGT
102	150	退休、資遣所支領之舊制退撫給付	0112		0960523	BGT
102	151	員工值班費	0113		0960523	BGT
102	152	夜點費	0113		0960523	BGT
102	201	員工統籌業務費	0201		0960523	BGT
102	202	員工修習學分、學位補助	0202		0960523	BGT
102	203	員工赴訓練機構研習教材、差旅費	0202		0960523	
102	204	水費	0203		0960523	
102	205	電費	0203		0960523	
102	206	煤氣及其他機具動力費	0203		0960523	
102	207	數據或網路通訊費	0204		0960523	
102	208	郵資	0204			
102	209	電信費	0204			
102	210	租用素地之租金	0205		0960523	
102	211	車輛租金	0206		0960523	
102	212	事務設備租金	0206		0960523	
102	213	其他動產及不動產租金	0206		0960523	
102	214	稅捐	0207		0960523	
102	215	規費	0207		0960523	
102	219	法定責任保險(如第三人責任險、強制責任險)	0208		0960523	
102	220	對業務活動保險	0208		0960523	
102	222	志工投保意外險	0208		0960523	
102	223	臨時人員勞健保	0208		0960523	
102	224	對財產保險	0208		0960523	
102	225	專利權使用費	0209		0960523	
102	226	智慧財產權使用費	0209		0960523	
102	228	船舶用油	0210		0960523	
102	229	車輛用油	0210		0960523	
102	230	機械設備用油	0210		0960523	
