org1	pdept	bgtyy	org	item	srcid	workid	workna	workbr	pworkid	plancd	chap	chappna	chapnote	sysdat	usno
02126		102	02126	2	137104004		電話主機系統資本租賃	電話主機系統資本租賃		2			係95至102年連續性資本租賃計畫，租用期間8年，總經費115萬2,000元，除至上年度已編列100萬8,000元外，本年度續編最後1年經費14萬4,000元，租金支付期間由廠商免費保固維修，租賃期滿後電話主機系統屬本所所有。	1010813	BGT
02127		102	02127	2	517701003	001	巷弄綠美化維護工程	巷弄綠美化維護工程			07010502	001		1010409	BGT
22101		102	22101	1	220201003					1				1010506	BGT
22101		102	22101	1	220202601	003	行政部團本部組	行政部團本部組		1				1010704	BGT
22101		102	22101	1	220202601	016	資訊部總督導	資訊部總督導		1				1010704	BGT
22101		102	22101	1	220202601	017	資訊部網路設備組	資訊部網路設備組		1				1010704	BGT
22101		102	22101	1	220202601	018	資訊部競賽系統組	資訊部競賽系統組		1				1010704	BGT
22101		102	22101	1	220202601	019	資訊部資訊服務組	資訊部資訊服務組		1				1010704	BGT
22101		102	22101	1	220202601	020	典禮部總督導	典禮部總督導		1				1010704	BGT
22101		102	22101	1	220202601	021	典禮部典禮組	典禮部典禮組		1				1010704	BGT
22101		102	22101	1	220202601	022	典禮部聖火組	典禮部聖火組		1				1010704	BGT
22101		102	22101	1	220202601	023	典禮部藝文活動組	典禮部藝文活動組		1				1010704	BGT
22101		102	22101	1	220202601	024	典禮部表演組	典禮部表演組		1				1010704	BGT
13101		102	13101	2	527102027	A51	總工程費明細如下:		007	3				1010424	BGT
13101		102	13101	2	527102027	A52	總工程費明細如下:		009	3				1010424	BGT
13101		102	13101	2	527102044	001	北投焚化廠內立體停車場新建工程(規劃、設計及監造)	北投焚化廠內立體停車場新建工程(規劃、設		2				1010717	BGT
13101		102	13101	1	520302002		垃圾處理業務管理	垃圾處理業務管理			07010101	002		1020103	BGT
13101		102	13101	1	520202006		臺北市水污染源稽查計畫	臺北市水污染源稽查計畫			12011503	001		1020103	BGT
13101		102	13101	1	520202007		臺北市民眾參與河川巡守推動計畫	臺北市民眾參與河川巡守推動計畫			12011503	002		1010427	BGT
13101		102	13101	1	520202012		關渡自然公園水磨坑溪人工溼地操作維護計畫	關渡自然公園水磨坑溪人工溼地操作維護計畫			12011502	001		1010427	BGT
13101		102	13101	1	520203004		推動環保社區及宣導綠色採購	推動環保社區及宣導綠色採購			07010201	002		1010427	BGT
13101		102	13101	2	527102027	051	文山區博嘉分隊新建工程	文山區博嘉分隊新建工程	006	1				1010717	BGT
13101		102	13101	2	527102027	052	中正區隊南昌分隊整建工程	中正區隊南昌分隊整建工程	008	1				1010717	BGT
13101		102	13101	2	527102044	002	北投焚化廠內立體停車場新建工程(工程管理費)	北投焚化廠內立體停車場新建工程(工程管理		2				1010508	BGT
04101		102	04101	1	140206020	001	辦理本府主導或參與都市更新案之委託評選實施者等相關作業費	辦理本府主導或參與都市更新案之委託評選實			03010404	001		1010822	BGT
04101		102	04101	2	147102006		中山地下街電梯重置工程	中山地下街電梯重置工程		2				1010731	BGT
