times	borg	recid	yearno	orgno	itemno	dno	workid	obj	seqno	statcd	workname	budget	lastbudget	unit	quantity	unitprice	price	newitem	pageno	notes	src	bybase
1	02121	9	101	02121	2	138301001		0303	001	320	　　　公共建設及設施費	3117340	0	年	1	3,117,340	3117340	0	2-14-7	施工費：延吉段一小段121-1地號等土地地坪打除、客土施放、草皮漆木植栽等綠美化工程。	0200140801	修建
1	06101	8	101	06101	1	310401003		0216	001	254	　　　委辦費	6000000	0	次	1	6,000,000	6000000	0	6-1-15	為促進農產品銷售，振興農業經濟景氣，辦理101年度「全國農特產品展售活動」推廣委託專業服務案	0600010401	一般
1	06101	30	101	06101	1	310401017		0216	001	254	　　　委辦費	-46315151	0	式	1	-46,315,151	-46315151	0	6-1-16	追減辦理展館營運管理等相關工作經費。	0600010401	通盤
1	06101	35	101	06101	1	310401017		0401	001	402	　　　　	0	0	年	1	-88,684,849	-88684849	0	6-1-16	追減補助財團法人臺北市會展產業發展基金會辦理營運花博公園。	0600010401	通盤
1	06101	38	101	06101	1	310401017		0401	002	402	　　　　	0	0	年	1	-57,000,000	-57000000	0	6-1-16	追減補助財團法人臺北市會展產業發展基金會辦理夢想館第二代經費。	0600010401	通盤
1	06101	9	101	06101	2	317102018		0303	001	327	　　　　	0	0	式	1	6,011,980	6011980	0	6-1-17	施工費。	0600010601	修建
1	06101	11	101	06101	2	317102018		0303	002	327	　　　　	0	0	式	1	330,650	330650	0	6-1-17	按施工費5.5%提列規劃設計費。	0600010601	修建
1	06101	13	101	06101	2	317102018		0303	003	327	　　　　	0	0	式	1	270,530	270530	0	6-1-17	按施工費4.5%提列監造費。	0600010601	修建
1	06101	15	101	06101	2	317102018		0303	004	327	　　　　	0	0	式	1	210,420	210420	0	6-1-17	按施工費3.5%提列工程管理費。	0600010601	修建
1	06101	23	101	06101	2	317102017		0303	001	320	　　　　	0	0	式	1	-78,302,000	-78302000	0	6-1-18	追減施工費。	0600010601	修建
1	06101	25	101	06101	2	317102017		0303	002	320	　　　　	0	0	式	1	-873,000	-873000	0	6-1-18	追減規劃設計費。	0600010601	修建
1	02110	105	101	02110	1	120401004		0108	001	130	　　　加班費	-44400	53280	人、小時	2x-120	185	-44400	0	2-10-40	辦理消保有關業務加班費。	0200100401	加班
1	02110	110	101	02110	1	120401004		0204	001	208	　　　　	0	75000	件、月	600x-4	25	-60000	0	2-10-40	辦理消保業務函件掛號郵資。	0200100401	一般
1	02110	112	101	02110	1	120401004		0204	002	207	　　　　	0	12000	月	-4	2,400	-9600	0	2-10-40	消保申訴及調解業務簡訊服務費。	0200100401	一般
1	02110	115	101	02110	1	120401004		0208	001	220	　　　　	0	3450	年	-1	3,450	-3450	0	2-10-40	辦理消保活動意外保險費。	0200100401	一般
1	02110	117	101	02110	1	120401004		0208	002	222	　　　　	0	2400	人	-25	60	-1500	0	2-10-41	辦理志工意外保險費。	0200100401	志工
1	02110	120	101	02110	1	120401004		0214	001	240	　　　　	0	20000	人、次	-5x1	2,000	-10000	0	2-10-41	主辦或合辦消保研討會、講習會、觀摩會、說明會及重大消費案件法律諮詢會議等專家、學者出席費。	0200100401	一般
1	02110	124	101	02110	1	120401004		0214	002	243	　　　　	0	34500	千字	-35	690	-24150	0	2-10-41	消保業務論述之專家學者撰稿、譯稿費。	0200100401	一般
1	02110	126	101	02110	1	120401004		0214	003	248	　　　　	0	125180	人次	-650	110	-71500	0	2-10-41	志工餐點及交通補助。	0200100401	志工
1	02110	128	101	02110	1	120401004		0214	004	242	　　　　	0	19200	人、節	2x-3	1,600	-9600	0	2-10-41	說明會、宣導會或講習會等外聘講師鐘點費。	0200100401	一般
1	02110	132	101	02110	1	120401004		0220	001	272	　　　　	0	40000	次	-1	40,000	-40000	0	2-10-41	主辦、委辦或合辦消保研討會、觀摩會、說明會或講習會等場地租用、佈置、資料印製、獎品、茶水及餐點等費用。	0200100401	一般
1	02110	136	101	02110	1	120401004		0220	002	261	　　　　	0	56000	年	-1	56,000	-56000	0	2-10-41	印製各類消費者保護文宣。	0200100401	一般
1	02110	138	101	02110	1	120401004		0220	003	263	　　　　	0	80000	式	-1	61,200	-61200	0	2-10-41	消費者保護媒體宣導，含平面、電子媒體及宣導品等製作。	0200100401	一般
1	02110	141	101	02110	1	120401004		0220	004	266	　　　　	0	80000	式	-1	24,000	-24000	0	2-10-41	辦理消費者保護宣導推廣等活動相關費用(含場地租用與佈置、資料印製、禮品、租車費、茶水及餐點等費)。	0200100401	一般
1	02110	145	101	02110	1	120401004		0220	005	261	　　　　	0	90000	本	-1800	50	-90000	0	2-10-41	臺北市消費者手冊印製費。	0200100401	出版
1	02110	4	101	02110	1	120301000		0108	001	130	　　　　	0	159840	人、小時	9x-30	185	-49950	0	2-10-33	處理賠償案件、損失補償及損害賠償案件等工作人員趕辦業務逾時加班費。	0200100301	加班
1	02110	7	101	02110	1	120301000		0108	002	130	　　　　	0	29970	人、小時	9x-18	185	-29970	0	2-10-33	國家賠償案件資料蒐集及整理等逾時加班費。	0200100301	加班
1	02110	13	101	02110	1	120301000		0204	001	209	　　　　	0	9000	月	-4	2,000	-8000	0	2-10-33	傳真機所需電話通訊費。	0200100301	一般
1	02110	15	101	02110	1	120301000		0204	002	208	　　　　	0	24000	月	-4	5,000	-20000	0	2-10-33	寄送審議案件所需郵資。	0200100301	一般
1	02110	17	101	02110	1	120301000		0204	003	207	　　　　	0	4800	月	-4	1,000	-4000	0	2-10-33	國賠業務簡訊服務費。	0200100301	一般
