pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
2-1-28	0	02101		105	02101	1	120101002		0107	004			0	0		人	1	月	12	段	1		0	1.00×12.00×1.00	630	7560	7560	7560	7560	0	0	替代役役男上下班交通費。									0	125	113	0	0015					顏良真	1040506	BGT
2-6-24	0	02106		105	02106	1	210101002		0107	004			0	0	1901	人	5	月	12	段	1		0	5.00×12.00×1.00	630	37800	37800	37800	37800	0	0	替代役役男上下班交通費。									1	125	113	0	0012				0007	陳荷橋	1040407	BGT
2-7-22	0	02108		105	02108	1	120101002		0107	004			0	0	1901	人	1	月	12	段	1		0	1.00×12.00×1.00	630	7560	7560	7560	7560	0	0	替代役役男上下班交通費。									1	125	113	0	0011				0007	林欣穎	1040324	BGT
2-14-39	0	02124		105	02124	1	130101002		0107	004	'		0	0		人	2	月	12	段	1		0	2.00×12.00×1.00	630	15120	15120	0	0	0	0	替代役役男上下班交通費（新增）。									0	125	113	1	0010	0	0	0	0007	鄭素滿	1040422	BGT
4-1-64	0	04101		105	04101	1	140101020		0107	004			0	0	1901	人	1	月	12	段	1		0	1.00×12.00×1.00	630	7560	7560	7560	7560	0	0	替代役役男上下班交通費。									1	125	113	0	0011				0007	王玉美	1040422	BGT
5-2-33	0	05112		105	05112	1	220101002		0107	001			0	0	1901	人	144	月	12	段	1		0	144.00×12.00×1.00	630	1088640	22680	1088640	1088640	0	0	替代役上下班交通費。									1	125	113	0	0009				0007	韓佩蓮	1040717	BGT
5-3-41	0	05113		105	05113	1	220101002		0107	004			0	0	1901	人	3	月	10	段	1		0	3.00×10.00×1.00	630	18900	18900	18900	18900	0	0	替代役役男上下班交通費。									1	125	113	1	0011				0007	范瑞君	1040510	BGT
7-3-54	0	07103		105	07103	1	330101002		0107	004	'		0	0	1901	人	20	月	12	段	1		0	20.00×12.00×1.00	630	151200	151200	0	90720	0	0	替代役役男上下班交通費。								增加8名替代役役男。	1	125	113	0	0015	0	0	0		李育慧	1040129	BGT
9-1-66	0	09101		105	09101	1	430101002		0107	004			0	0	1901	人	20	月	12	段	1		0	20.00×12.00×1.00	630	151200	151200	340200	340200	0	0	替代役役男上下班交通費。								所屬機關替代役上下班交通費自行編列。	1	125	113	0	0016				0007	楊佩蓉	1040508	BGT
9-1-66	0	09101		105	09101	1	430101002		0107	005			0	0	1901	人	40	月	12	段	2		0	40.00×12.00×2.00	630	604800	604800	771120	771120	0	0	替代役役男上下班交通費。								所屬機關替代役上下班交通費自行編列。	1	125	113	0	0017				0007	楊佩蓉	1040508	BGT
9-2-20	0	09102		105	09102	1	430101002		0107	006			0	0	1901	人	17	月	12	段	2		0	17.00×12.00×2.00	630	257040	257040	0	0	0	0	替代役役男上下班交通費（新增）。								依業務單位需求增列	1	125	113	1	0011	0	0	0	0007	陳建安	1040320	BGT
9-2-20	0	09102		105	09102	1	430101002		0107	007			0	0	1901	人	1	月	12	段	1		0	1.00×12.00×1.00	630	7560	7560	0	0	0	0	替代役役男上下班交通費（新增）。								依業務單位需求增列	1	125	113	1	0012	0	0	0	0007	陳建安	1040320	BGT
9-3-23	0	09103		105	09103	1	430101002		0107	004	'		0	0	1901	人	27	月	12	段	2		0	27.00×12.00×2.00	630	408240	408240	0	0	0	0	替代役役男上下班交通費（新增）。								原預算為社會局編列，現回歸本院自行編列預算。	1	125	113	1	0015	0	0	0		郭文正	1040410	BGT
9-4-14	0	09104		105	09104	1	430101002		0107	002			0	0	1901	人	5	月	12	段	1		0	5.00×12.00×1.00	630	37800	37800	0	0	0	0	替代役役男上下班交通費（新增）。								新增項目	1	125	113	1	0010					李湘茹	1040415	BGT
10-1-34	0	10101		105	10101	1	430101002		0107	004			0	0	1901	人	18	月	12	段	1		0	18.00×12.00×1.00	630	136080	136080	128520	128520	0	0	替代役役男上下班交通費。								增列1名替代役	1	125	113	0	0016				0007	賴君曆	1040320	BGT
10-2-22	0	10102		105	10102	1	440101002		0107	004			0	0	1901	人	9	月	12	段	1		0	9.00×12.00×1.00	630	68040	68040	68040	68040	0	0	替代役役男上下班交通費。									1	125	113	0	0010					徐心儀(代)	1040727	BGT
10-3-22	0	10103		105	10103	1	440101002		0107	005			0	0	1901	人	4	月	12	段	2		0	4.00×12.00×2.00	630	60480	60480	60480	60480	0	0	替代役役男上下班交通費。									1	125	113	0	0012				0007	謝淑芬	1040210	BGT
10-4-20	0	10105		105	10105	1	430101020		0107	005			0	0	1901	人	8	月	10	段	1		0	8.00×10.00×1.00	630	50400	50400	44100	44100	0	0	替代役役男上下班交通費。								依標準編列	1	125	113	1	0011				0007	廖清達	1040330	BGT
10-5-16	0	10106		105	10106	1	440101002		0107	004			0	0	1901	人	7	月	10	段	1		0	7.00×10.00×1.00	630	44100	44100	18900	18900	0	0	替代役役男上下班交通費。									1	125	113	0	0010				0007	游煥霓	1040408	BGT
12-1-54	0	12101		105	12101	1	450101002		0107	004			0	0	1901	人	1	月	12	段	1		0	1.00×12.00×1.00	630	7560	7560	15120	15120	0	0	替代役役男交通費。								依人事處函示外語役每年以不超過1人為原則，編列1人交通費。	1	125	113	0	0013				0007	林嘉惠	1040410	BGT
13-1-68	0	13101		105	13101	1	520101002		0107	001			0	0	1901	人	8	月	12	段	1		0	8.00×12.00×1.00	630	60480	60480	52920	52920	0	0	替代役上下班交通費(第二科1人、第三科1人、第四科2人、第五科1人、綜合企劃小組3人，共計8人)。								環保署增撥替代役1人。	1	125	113	0	0013					謝章輝	1040410	BGT
13-2-17	0	13102		105	13102	1	520101002		0107	004			0	0	1901	人	9	月	12	段	1		0	9.00×12.00×1.00	630	68040	68040	68040	68040	0	0	替代役上下班交通費。									1	125	113	0	0010				0007	呂莉莉	1040407	BGT
