org1	pdept	bgtyy	org	item	srcid	workid	workna	workbr	pworkid	plancd	chap	chappna	chapnote	sysdat	usno
04102		105	04102	2	147102007	001	配合內湖區公所辦理內湖行政大樓屋頂防水整修工程分攤款	配合內湖區公所辦理內湖行政大樓屋頂防水整	003					1040327	BGT
04102		105	04102	2	147102007	002	配合中山區公所辦理行政中心中央空調冷卻水塔汰換工程分攤款	配合中山區公所辦理行政中心中央空調冷卻水	004					1040327	BGT
04102		105	04102	2	147102008	002	中北分處為民服務區更新工程	中北分處為民服務區更新工程	002					1040327	BGT
04102		105	04102	2	147102008	003	萬華分處辦公櫃油漆粉刷工程	萬華分處辦公櫃油漆粉刷工程	003					1040414	BGT
04102		105	04102	2	147102008	004	北投分處辦公室防水改善及木櫃施作工程	北投分處辦公室防水改善及木櫃施作工程	004					1040414	BGT
04102		105	04102	2	147102008	005	大同分處茶水間整修工程	大同分處茶水間整修工程	005					1040327	BGT
04102		105	04102	2	147102008	006	松山分處廁所及茶水間整修工程	松山分處廁所及茶水間整修工程	006					1040327	BGT
04102		105	04102	2	147102008	007	大安分處廁所整修工程	大安分處廁所整修工程	007					1040327	BGT
04102		105	04102	2	147102008	008	配合中正區行政中心大樓補強或重建案，中正分處搬離行政中心大樓搬遷及裝修工程	配合中正區行政中心大樓補強或重建案，中正	001					1040422	BGT
04102		105	04102	2	147102007	003	廣慈博愛園區第二期(南基地)新建工程分攤款	廣慈博愛園區第二期(南基地)新建工程分攤款	001	1				1040729	BGT
04102		105	04102	2	147102007	A01	總工程分攤款明細如下：	總工程分攤款明細如下：	002	3				1040413	BGT
04102		105	04102	2	147102009	001	購置國有財產署房舍(本處經管中正區林森北路9巷18號眷屬宿舍)	購置國有財產署房舍(本處經管中正區林森北						1040504	BGT
04101		105	04101	2	147102026		水源大廈耐震力補強工程分攤款	水源大廈耐震力補強工程分攤款		2				1040708	BGT
04101		105	04101	1	140201020	001	公務機關財務管理							1040105	BGT
04101		105	04101	1	140201020	002	基金財務及公債管理							1040105	BGT
04101		105	04101	1	140201020	003	歲入管理							1040105	BGT
04101		105	04101	1	140201020	004	公營事業民營化處理							1040105	BGT
04101		105	04101	1	140201030	001	菸酒暨稅務管理		001					1040403	BGT
04101		105	04101	1	140201030	004	臺北市經濟發展委員會		002					1040403	BGT
04101		105	04101	1	140201030	006	地下街管理		003					1040105	BGT
04101		105	04101	1	140201050	001	機關學校財產管理							1040105	BGT
04101		105	04101	1	140201050	002	產籍管理							1040105	BGT
04101		105	04101	1	140201060	001	非公用財產出售							1040105	BGT
04101		105	04101	1	140201060	002	非公用財產出租							1040105	BGT
04101		105	04101	1	140201060	003	非公用財產綜合管理							1040105	BGT
04101		105	04101	1	140201080	001	支付管制業務							1040105	BGT
04101		105	04101	1	140201080	002	庫款支付作業							1040105	BGT
04101		105	04101	1	140201080	003	支付帳務及資料處理							1040105	BGT
04101		105	04101	2	147102001	001	中山地下街電梯重置工程		003					1040106	BGT
04101		105	04101	2	147102001	002	東區及西門地下街空調系統汰換工程		001	2			105年度已依決標金額調整，餘10,927,600元不再編列。	1040807	BGT
04101		105	04101	2	147102001	003	東區及西門地下街中央控制系統更新工程		004					1040105	BGT
04101		105	04101	2	147102001	004	西門地下街火警及排煙系統更新工程		005					1040105	BGT
04101		105	04101	2	147102001	005	中山地下街中控室可程式控制器更新工程		006					1040105	BGT
04101		105	04101	2	147102001	009	中山地下街爵士廣場飲水設備工程		007					1040106	BGT
04101		105	04101	2	147102022		水源大廈冰水主機汰換工程	水源大廈冰水主機汰換工程						1040105	BGT
04101		105	04101	2	147102001	006	東區地下街卸貨車道更新工程		002	1				1040708	BGT
04101		105	04101	2	147103040	001	東區及中山地下街廣播系統更新		001	1				1040707	BGT
