pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
1-1-25	0	01101		105	01101	1	110101002		0221	001			0	0		月	12		0		0		0	12.00	150000	2400000	1800000	2400000	2400000	0	0	議長特別費。									0	274	122	0	0012				0002		1040709	BGT
1-1-25	0	01101		105	01101	1	110101002		0221	002			0	0		月	12		0		0		0	12.00	105000	1680000	1260000	1680000	1680000	0	0	副議長特別費。									0	274	122	0	0013				0002		1040709	BGT
1-1-25	0	01101		105	01101	1	110101002		0221	003			0	0		月	12		0		0		0		39700	476400	476400	476400	476400	0	0	祕書長特別費。									0	274	122	0	0014				0002		1040515	BGT
1-1-25	0	01101		105	01101	1	110101002		0221	004			0	0		月	12		0		0		0		19500	234000	234000	234000	234000	0	0	副祕書長特別費。									0	274	122	0	0015				0002		1040515	BGT
2-1-49	0	02101		105	02101	1	120201002		0221	001			0	0		月	12		0		0		0	12.00	150000	1800000	1800000	1800000	1800000	0	0	市長特別費。									0	274	122	0	0014				0002	林于凱	1040326	BGT
2-1-49	0	02101		105	02101	1	120201002		0221	002			0	0		人	3	月	12		0		0	3.00×12.00	75000	2700000	2700000	2700000	2700000	0	0	副市長特別費。									0	274	122	0	0015				0002	林于凱	1040326	BGT
2-1-49	0	02101		105	02101	1	120201002		0221	003			0	0		月	12		0		0		0	12.00	39700	476400	476400	476400	476400	0	0	秘書長特別費。									0	274	122	0	0016				0002	林于凱	1040326	BGT
2-1-49	0	02101		105	02101	1	120201002		0221	004			0	0		人	3	月	12		0		0	3.00×12.00	19500	702000	702000	702000	702000	0	0	副秘書長特別費。									0	274	122	0	0017				0002	林于凱	1040326	BGT
2-2-30	0	02102		105	02102	1	120101002		0221	001			0	0		人	1	月	12		0		0	1.00×12.00	12700	152400	152400	152400	152400	0	0	主任特別費。									0	274	122	0	0033					陳綺敏	1040419	BGT
2-3-26	0	02103		105	02103	1	120101002		0221	001			0	0		月	12		0		0		0		39700	476400	476400	476400	476400	0	0	處長特別費。									0	274	122	0	0045				0002	藍己秀	1040305	BGT
2-3-26	0	02103		105	02103	1	120101002		0221	002			0	0		人	2	月	12		0		0		19500	468000	468000	468000	468000	0	0	副處長特別費。									0	274	122	0	0046				0002	藍己秀	1040305	BGT
2-4-24	0	02104		105	02104	1	120101002		0221	001			0	0		月	12		0		0		0		39700	476400	476400	476400	476400	0	0	處長特別費。									0	274	122	0	0041				0002	林文宏	1040324	BGT
2-4-24	0	02104		105	02104	1	120101002		0221	002			0	0		月	12		0		0		0		19500	234000	234000	234000	234000	0	0	副處長特別費。									0	274	122	0	0042				0002	林文宏	1040324	BGT
2-5-18	0	02105		105	02105	1	120101002		0221	001			0	0		月	12		0		0		0	12.00	39700	476400	476400	476400	476400	0	0	處長特別費。									0	274	122	0	0041				0002	黃人琦	1040401	BGT
2-5-18	0	02105		105	02105	1	120101002		0221	002			0	0		月	12		0		0		0	12.00	19500	234000	234000	234000	234000	0	0	副處長特別費。									0	274	122	0	0042				0002	黃人琦	1040401	BGT
