times	borg	recid	yearno	orgno	itemno	dno	src0	src1	src2	src3	seqno	srcna	inbasis	inperiod	unit	quantity	unitprice	price	pageno	note	src
1	04101	2	104	04101	1	010901	1	1	2	1	001		依中央統籌分配稅款分配辦法第12條規定辦理。	104.01.01-104.12.31	年	1	8425000	8425000	4-1-14	行政院核定為協助本府103年度因應社會福利津貼調整所需，以中央特別統籌分配稅款撥付本府辦理，其中中低收入老人生活津貼及身心障礙者生活補助較102年12月23日核定數額增加部分。	0100010201
1	04101	8	104	04101	1	010901	1	1	2	1	002		依中央統籌分配稅款分配辦法第12條規定辦理。	104.01.01-104.12.31	年	1	563725000	563725000	4-1-14	行政院核定為協助本府104年度因應社會福利津貼調整所需，以中央特別統籌分配稅款撥付本府辦理。	0100010201
1	04101	12	104	04101	1	010901	1	1	2	1	003		依中央統籌分配稅款分配辦法第12條規定辦理。	104.01.01-104.12.31	年	1	207253725	207253725	4-1-14	行政院核定為協助本府推動「智慧節電計畫」，以中央特別統籌分配稅款撥付本府辦理(本計畫補助經費計345,422,875元，分3階段撥付，本年度撥付第1、2階段60％，105年度撥付第3階段40％)。	0100010201
1	04101	2	104	04101	2	060202	6	37	2	2	001		依行政院103年5月27日院授內中地字第1036034085號核准撥用函。	104.01.01-104.12.31	年	1	355436616	355436616	4-1-16	1.交通部民用航空局有償撥用本府地政局¶  經管本市中山區大佳段二小段804-1、¶  804-2、806-2地號等3筆土地總地價款¶  484,686,294元，依「平均地權條例施¶  行細則」第9條第2項規定，公有出租耕¶  地依法撥用時，應按核准撥用當期公告¶  土地現值之三分之一，補償承租人。¶  484,686,294元x1/3=161,562,098元¶2.本案有償撥用總地價款經作為前項補償¶  費之財源後，再依「臺北市產業發展基¶  金收支保管及運用自治條例」第3條規¶  定，臺北市市有非公用財產出售收入¶  20％撥該基金；另依「臺北市市有財產¶  開發基金收支保管及運用自治條例」第¶  3條規定，臺北市市有非公用財產出售¶  收入20％撥該基金，其餘60％撥繳市¶  庫。¶  (484,686,294元-161,562,098元)x60％¶  +161,562,098元=355,436,616元	0600370202
1	04101	2	104	04101	1	080101	8	15	1	1	001		依行政院103年8月27日院授主預補字第10301021520號函辦理。	104.01.01-104.12.31	年	1	125185971	125185971	4-1-18	104年度中央補助本府之教師專案退休補助經費，依本府教育局104年5月14日北市教人字第10434850600號函預估退休人數及所需經費預算，按補助比率51％編列。	0800150101
1	04101	7	104	04101	1	080101	8	15	1	1	002		依行政院主計總處104年2月6日主預補字第1040001680A號函辦理。	104.01.01-104.12.31	年	1	42418867	42418867	4-1-18	104年度中央撥付本府因應行政院放寬退休(伍)軍公教人員年終慰問金發放對象所增經費補助。	0800150101
1	04101	11	104	04101	1	080101	8	15	1	1	003		依財政部103年4月8日台財促字第10325504910號函辦理。	104.01.01-104.12.31	年	1	5255899	5255899	4-1-18	行政院頒發本府103年度第1季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。	0800150101
1	04101	15	104	04101	1	080101	8	15	1	1	004		依財政部103年7月3日台財促字第10325510100號函辦理。	104.01.01-104.12.31	年	1	198309315	198309315	4-1-18	行政院頒發本府103年度第2季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。	0800150101
1	04101	19	104	04101	1	080101	8	15	1	1	005		依財政部103年10月3日台財促字第10325515270號函辦理。	104.01.01-104.12.31	年	1	221713930	221713930	4-1-18	行政院頒發本府103年度第3季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。	0800150101
1	04101	23	104	04101	1	080101	8	15	1	1	006		依財政部104年1月7日台財促字第10425500130號函辦理。	104.01.01-104.12.31	年	1	58977950	58977950	4-1-18	行政院頒發本府103年度第4季「擴大鼓勵地方政府辦理促進民間參與公共建設案件獎勵金」收入。	0800150101
