pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
2-9-17	1	02112		104	02112	1	133902001		0220	001			0	0		年	1		0		0		0	1.00	300000	0	300000	0	0	0	0	辦理原住民族產業深耕、行銷推廣及相關配套措施等費用。										272	122	0	0006	0	0	0		陳薇如	1040529	BGT
2-9-17	1	02112		104	02112	1	133902002		0220	001			0	0		年	1		0		0		0	1.00	300000	0	300000	0	0	0	0	採集原住民族發展歷史、現況、文化等相關經費及辦理觀摩其他部落大學校務推動與教學研習活動。									0	272	122	0	0009	0	0	0		陳誼誠	1040725	BGT
2-9-16	1	02112		104	02112	1	133902003		0220	001			0	0		年	1		0		0		0	1.00	1000000	0	1000000	0	0	0	0	辦理全國原住民族行政盃桌球錦標賽活動經費。										272	122	0	0001	0	0	0		林世豪	1040529	BGT
2-9-16	1	02112		104	02112	1	133902005		0214	001			0	0	1105	人次	3		0		0		0	3.00	2000	0	6000	0	0	0	0	臺北市公園設置原住民圖騰意象前置諮詢小組委員出席費。									1	240	122	0	0003	0	0	0		陳薇如	1040529	BGT
2-9-16	1	02112		104	02112	1	133902005		0216	001			0	0		式	1		0		0		0	1.00	297500	0	297500	0	0	0	0	辦理臺北市原住民族文化園區設置先期規劃報告。									0	254	122	0	0004	0	0	0		陳薇如	1040529	BGT
2-9-16	1	02112		104	02112	1	133902005		0220	002			0	0		年	1		0		0		0	1.00	156190	0	156190	0	0	0	0	辦理原住民文化產業觀摩交流活動。										272	122	0	0005	0	0	0		陳薇如	1040529	BGT
2-9-17	1	02112		104	02112	1	133902007		0214	001	'		0	0	1501	節	950		0		0		0	950.00	800	0	760000	0	0	0	0	臺北市部落大學講師鐘點費。									1	242	122	0	0007	0	0	0		陳誼誠	1040529	BGT
2-9-17	1	02112		104	02112	1	133902007		0232	001			0	0		年	1		0		0		0	1.00	790000	0	790000	0	0	0	0	原住民族部落大學專任人員2名酬金。									0	292	122	0	0008	0	0	0		陳誼誠	1040529	BGT
2-9-18	1	02112		104	02112	1	133902008		0214	001			0	0	1501	節	375		0		0		0	375.00	800	0	300000	0	0	0	0	原住民族語言學習講師鐘點費。									1	242	122	0	0013	0	0	0		陳誼誠	1040529	BGT
2-9-18	1	02112		104	02112	1	133902008		0220	001			0	0		年	1		0		0		0	1.00	500000	0	500000	0	0	0	0	辦理暑期文化活動。									0	272	122	0	0014	0	0	0		陸芃緁	1040529	BGT
