times	borg	recid	yearno	orgno	itemno	dno	workid	obj	seqno	statcd	workname	budget	lastbudget	unit	quantity	unitprice	price	newitem	pageno	notes	src	bybase
1	04101	33	104	04101	1	143902001		0208	002	219	　　　　	0	0	輛、年	2x1	658	1316	0	4-1-29	查緝機車保險費(104年度補助款)。	0400010702	一般
1	04101	42	104	04101	1	143902001		0215	001	250	　　　物品及材料	484814	0	年	1	484,814	484814	0	4-1-29	購買菸品查緝業務所需影印紙、碳粉、墨水匣、資料櫃及其他菸品查緝業務所需相關材料及物品(104年度補助款)。	0400010702	一般
1	09101	6	104	09101	1	420301002		0406	001	419	　　　　	0	0	年	1	284,036,000	284036000	0	9-1-31	行政院核定以中央特別統籌分配稅款補助辦理調增低收入戶家庭、兒童與就學生活補助。依104年度中央及地方政府預算籌編原則第6點第4款規定辦理。	0900010301	通盤
1	12101	73	104	12101	1	453902003		0211	001	231	　　　外勤誤餐及交通費	17440	0	人次	218x1	80	17440	0	12-1-24	菸品查緝人員外勤誤餐費。	1200011101	一般
1	12101	94	104	12101	1	453902003		0232	001	292	　　　　	0	0	人、月	2x12	25,000	600000	0	12-1-25	辦理私劣菸品查緝業務所需短期勞務工資。	1200011101	一般
1	12101	166	104	12101	1	453902004		0216	002	254	　　　　	0	0	年	1	45,000	45000	0	12-1-27	委託機構或專業單位辦理菸害防制法網路、報章雜誌及媒體違規案件監看等業務相關費用。1.媒體監測費用：42,600元。2.行政管理費：2,400元。	1200011101	一般
1	12101	229	104	12101	1	453902004		0220	004	265	　　　　	0	0	件	450	200	90000	0	12-1-29	鼓勵民眾加入無菸志工行列、協助勸導違規吸菸行為人所需宣導品。	1200011101	一般
1	12101	232	104	12101	1	453902004		0220	005	265	　　　　	0	0	件	900	100	90000	0	12-1-29	營造3人以上職場無菸環境所需宣導品，以提升職場拒菸、反菸與抗菸意識。	1200011101	一般
1	12101	235	104	12101	1	453902004		0220	006	265	　　　　	0	0	件	600	150	90000	0	12-1-29	提升民眾及業者遵守禁菸場所規定宣導品。	1200011101	一般
1	12101	238	104	12101	1	453902004		0220	007	265	　　　　	0	0	件	400	200	80000	0	12-1-29	鼓勵吸菸者接受二代戒菸治療服務，並輔導吸菸孕婦與青少年接受戒菸專線或諮詢服務，以提升本市戒菸人口數。	1200011101	一般
1	12101	242	104	12101	1	453902004		0220	008	261	　　　　	0	0	年	1	71,712	71712	0	12-1-30	為推廣二代戒菸治療與其他戒菸資源，增吸菸者戒菸意願，印製相關宣導單張、海報、看板、標語、貼紙等印刷文宣品及辦理教育訓練課程講義等相關印刷費用。	1200011101	一般
1	12101	247	104	12101	1	453902004		0220	009	272	　　　　	0	0	年	1	120,000	120000	0	12-1-30	辦理戒菸服務計畫相關活動、記者會、說明會等所需場地佈置、獎牌、掛牌、印刷品、邀請卡、茶水、活動行銷與媒體宣導等其他必要支出費用。	1200011101	一般
1	12101	252	104	12101	1	453902004		0220	010	266	　　　　	0	0	人次	900	80	72000	0	12-1-30	辦理醫事人員相關教育訓練活動或講習之誤餐費。	1200011101	一般
1	12101	255	104	12101	1	453902004		0220	011	266	　　　　	0	0	人次	900	30	27000	0	12-1-30	辦理醫事人員相關教育訓練活動或講習之茶水費。	1200011101	一般
1	04101	7	104	04101	1	143902001		0108	001	130	　　　加班費	177600	0	人、小時	8x120	185	177600	0	4-1-28	辦理查緝私劣菸品人員加班費(104年度補助款)。	0400010702	加班
1	04101	12	104	04101	1	143902001		0204	001	209	　　　通訊費	35964	0	臺、月	9x12	333	35964	0	4-1-28	辦理私劣菸品查緝聯繫警方、菸品鑑識等相關業務聯繫用手機電話費(104年度補助款)。	0400010702	一般
1	04101	16	104	04101	1	143902001		0206	001	213	　　　其他業務租金	4000	0	次	1	4,000	4000	0	4-1-28	加強私劣菸品查緝技巧、提升菸品鑑識能力、菸品查緝各相關單位連繫配合及業務交流等所需場地租借費(104年度補助款)。	0400010702	一般
1	04101	22	104	04101	1	143902001		0207	001	214	　　　　	0	0	輛、年	2x1	11,230	22460	0	4-1-28	查緝汽車使用牌照稅(104年度補助款)。	0400010702	一般
