org1	pdept	bgtyy	org	item	srcid	workid	workna	workbr	pworkid	plancd	chap	chappna	chapnote	sysdat	usno
07106		106	07106	2	317604001	A23	總工程經費明細如下：	總工程經費明細如下：	024					1050310	BGT
07105		106	07105	2	527102001	622	內湖污水處理廠廠區環境改善工程	內湖污水處理廠廠區環境改善工程	004					1050512	BGT
07103		106	07103	2	337102002	084	「萬華(東、西)車站大樓BOT案」公益用樓層辦公室裝潢工程	「萬華(東、西)車站大樓BOT案」公益用樓層	004					1050412	BGT
07103		106	07103	2	337102002	080	養護工程隊拌合場辦公室及房舍設備新建工程	養護工程隊拌合場辦公室及房舍設備新建工程	003					1050412	BGT
07103		106	07103	2	337501004	047	106年度人行環境改善工程	106年度人行環境改善工程	040	1				1050428	BGT
07103		106	07103	2	337501004	C28	總工程費明細如下：	總工程費明細如下：	022	3				1050601	BGT
07103		106	07103	2	337501004	C29	總工程費明細如下：	總工程費明細如下：	030	3				1050601	BGT
07103		106	07103	2	337501004	C30	總工程費明細如下：	總工程費明細如下：	032	3				1050601	BGT
07103		106	07103	2	337501004	C22	總工程費明細如下：	總工程費明細如下：	034	3				1050601	BGT
07103		106	07103	2	337501004	C51	總規劃設計費明細如下：	總規劃設計費明細如下：	026	3				1050718	BGT
07103		106	07103	2	337501004	C10	總工程費明細如下：	總工程費明細如下：	028	3				1050718	BGT
07103		106	07103	2	337501004	C08	總工程費明細如下：	總工程費明細如下：	036	3				1050718	BGT
07103		106	07103	2	337501004	053	「臺北市士林區福林段3小段362地號等19筆土地都市更新事業及權利變換計畫案」道路工程補償費（收支併列)	「臺北市士林區福林段3小段362地號等19筆土	045	1				1050728	BGT
07103		106	07103	2	337102002	C02	總工程費明細如下：	總工程費明細如下：	002	3				1050725	BGT
07103		106	07103	2	337501004	C36	總監造技術服務費明細如下：	總監造技術服務費明細如下：	024	3				1050726	BGT
07103		106	07103	2	337501004	054	興順街155-1號前道路新築工程	興順街155-1號前道路新築工程	046	1				1050808	BGT
07103		106	07103	2	337501004	055	樟新街63巷末段道路新築工程	樟新街63巷末段道路新築工程	048	1				1050726	BGT
03103		106	03103	2	227102073		墓區整理遷置工程(大安第6、8及木柵第7公墓)	墓區整理遷置工程(大安第6、8及木柵第7公墓		1				1050724	BGT
07103		106	07103	2	337501004	057	一德街前段道路拓寬工程	一德街前段道路拓寬工程	050	1				1050726	BGT
07103		106	07103	2	337501004	058	民權東路6段210巷南段道路新築工程	民權東路6段210巷南段道路新築工程	052	1				1050726	BGT
07103		106	07103	2	337501004	059	仁愛路1段23巷後段右側道路新築工程	仁愛路1段23巷後段右側道路新築工程	054	1				1050726	BGT
07103		106	07103	2	337501004	060	萬壽路增設擋土牆(含護欄)工程	萬壽路增設擋土牆(含護欄)工程	056	1				1050727	BGT
07103		106	07103	2	337501004	061	行義路17巷北側路口新築工程	行義路17巷北側路口新築工程	058	1				1050729	BGT
08104		106	08104	2	337201017	A06	總工程費明細如下	總工程費明細如下		1				1050726	BGT
08104		106	08104	2	337201049	001	臺北市交通監控及資料蒐集系統工程	臺北市交通監控及資料蒐集系統工程		1				1050725	BGT
08104		106	08104	2	337201049	A01	總工程費明細如下	總工程費明細如下		1				1050726	BGT
08104		106	08104	2	337102002	001	松德大樓冷氣系統工程	松德大樓冷氣系統工程		2				1050726	BGT
08104		106	08104	2	337102002	A01	總工程費明細如下	總工程費明細如下		2				1050726	BGT
08104		106	08104	2	337201012	A02	總工程費明細如下	總工程費明細如下		2				1050726	BGT
08104		106	08104	2	337201012	002	縮小型控制器購置及裝設工程	縮小型控制器購置及裝設工程		2				1050726	BGT
08104		106	08104	2	337201007	003	控制器更新工程	控制器更新工程		2				1050801	BGT
08104		106	08104	2	337201007	A03	總工程費明細如下	總工程費明細如下		2				1050729	BGT
08104		106	08104	2	337201047	004	臺北市交通監控系統工程	臺北市交通監控系統工程		1				1050726	BGT
08104		106	08104	2	337201047	A04	總工程費明細如下	總工程費明細如下		1				1050726	BGT
08104		106	08104	2	337201050	005	電子標籤偵測系統工程	電子標籤偵測系統工程		1				1050726	BGT
08104		106	08104	2	337201050	A05	總工程費明細如下	總工程費明細如下		1				1050726	BGT
08104		106	08104	2	337201017	006	纜線改善工程	纜線改善工程		1				1050726	BGT
04102		106	04102	2	147102008	005	文山分處辦公室整修工程	文山分處辦公室整修工程						1050407	BGT
04102		106	04102	2	147102008	006	南港分處辦公室整修工程	南港分處辦公室整修工程						1050407	BGT
04102		106	04102	2	147102008	007	士林分處中央空調汰換工程	士林分處中央空調汰換工程						1050407	BGT
04102		106	04102	2	147102007		配合中山區公所辦理行政中心B2停車場出口車道及機車停車坪地坪維修工程分攤款	配合中山區公所辦理行政中心B2停車場出口車						1050407	BGT
04102		106	04102	2	147102006									1050407	BGT
04102		106	04102	2	147102006	001	廣慈博愛園區南區新建工程分攤款(工程費)	廣慈博愛園區南區新建工程分攤款(工程費)	001	1			本項係合建工程，由臺北市住宅基金主辦，總經費9,876,646,056元，本處分攤121,995,734元。	1050811	BGT
04102		106	04102	2	147102006	002	廣慈博愛園區南區新建工程分攤款(委託技術服務費)	廣慈博愛園區南區新建工程分攤款(委託技術	003	2			本項係合建工程，由臺北市住宅基金主辦，總經費365,287,651元，本處分攤4,503,163元。	1050811	BGT
04102		106	04102	2	147102006	A01	總工程分攤款明細如下：	總工程分攤款明細如下：	002	3				1050803	BGT
04101		106	04101	1	140201030	001	菸酒暨稅務管理							1050203	BGT
04101		106	04101	1	140201030	006	地下街管理							1050203	BGT
04101		106	04101	1	140201080	001	支付管制業務							1050203	BGT
04101		106	04101	2	147102001	006	東區地下街卸貨車道更新工程							1050203	BGT
04101		106	04101	2	147102026		水源大廈耐震力補強工程分攤款	水源大廈耐震力補強工程分攤款						1050203	BGT
04101		106	04101	2	147103040	001	東區及中山地下街廣播系統更新			2				1050812	BGT
04101		106	04101	2	147103040	002	東區地下街電話系統更新	東區地下街電話系統更新						1050203	BGT
04101		106	04101	2	147102001	001	中山地下書街配合中山新天地計畫改造規劃裝修工程	中山地下書街配合中山新天地計畫改造工程						1050729	BGT
14103		106	14103	1	320201006	001	綠屋頂及建立綠能示範社區評估診斷費用	綠屋頂及建立綠能示範社區評估診斷費用			03010700	001		1050317	BGT
14103		106	14103	1	320201006	002	綠屋頂及建立綠能示範社區專案補助經費	綠屋頂及建立綠能示範社區專案補助經費			03010700	002		1050317	BGT
14103		106	14103	2	327102000	001	臺北市建築基地內騎樓及沿街面人行空間改善工程	臺北市建築基地內騎樓及沿街面人行空間改善							
13101		106	13101	2	527103001		環保清潔車輛汰換計畫			1				1050726	BGT
13101		106	13101	2	527102065		本府衛生環境檢驗大樓8至11樓辦公室及實驗室整修工程	本府衛生環境檢驗大樓8至11樓辦公室及實驗		2				1050801	BGT
13101		106	13101	2	527102070		大龍社區及市場重建工程	大龍社區及市場重建工程		2				1050801	BGT
11125		106	11101	1	710202001	002	警勤加給勤務繁重加成	警勤加給勤務繁重加成			04015900	001	市政白皮書計畫	1050315	BGT
11134		106	11101	1	710202002	004	超勤加班費	超勤加班費			04015900	003	市政白皮書	1050302	BGT
11145		106	11101	1	710204001	002	超勤加班費	超勤加班費			04015900	003	市政白皮書計畫	1050329	BGT
11146		106	11101	1	710101001	001	警勤加給勤務繁重加成	警勤加給勤務繁重加成			04015900	001	市政白皮書計畫	1050303	BGT
14103		106	14103	2	327102000	002	106年度民生副中心大樓電梯更新工程分攤款	106年度民生副中心大樓電梯更新工程分攤款							
14103		106	14103	2	327102000	003	106年度民生副中心大樓發電機更新工程分攤款	106年度民生副中心大樓發電機更新工程分攤							
14103		106	14103	2	327102000	004	106年度石牌區民活動中心大樓耐震補強工程分攤款	106年度石牌區民活動中心大樓耐震補強工程							
05112		106	05112	1	220203006	001	樂齡“悅”讀計畫	樂齡“悅”讀計畫						1050412	BGT
05112		106	05112	1	220204002	003	好書大家讀	好書大家讀						1050412	BGT
05112		106	05112	1	220204002	005	Bookstart閱讀‧起步走	Bookstart閱讀‧起步走						1050412	BGT
