pageno	times	org1	pdept	bgtyy	org	item	srcid	obj	seq	acod	sdate	edate	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	note	icd	udept	acd	kort	man	sysdat	usno
2-12-21	0	02122		106	02122	1	060103		002	依據臺北市市有公用房地提供使用辦法規定辦理。	1060101	1061231	年	1		0		0		0	1	3022656	3022656	3022656	0	信義公民會館C館租金收入。					劉逸中	0015/21	
2-12-23	0	02122		106	02122	1	060401		001	依據臺北市市有財產報廢處理原則辦理。	1060101	1061231	年	1		0		0		0	1	5000	5000	5000	0	出售報廢財產及物品等殘值收入。					陳力葦	1050321	
2-12-25	0	02122		106	02122	1	080102		001	依衛生福利部中央健康保險署105年7月15日健保承字第1050030512號函辦理。	1060101	1061231	年	1		0		0		0	1	448500	448500	448500	0	依「中央對直轄市及縣(市)政府補助辦法」規定，補助標準以各區公所在保人數計算。					陳碧蘭	1050725	
2-12-27	0	02122		106	02122	1	100202		001	依政府採購法施行細則第28條之1規定辦理。	1060101	1061231	年	1		0		0		0	1	10000	10000	10000	0	採購招標圖說費收入。					洪淑美	1050321	
2-13-16	0	02123		106	02123	1	040202		001	依據臺北市政府財政局93年4月22日府財一字第09304251200號函辦理。	1060101	1061231	位	102	月	12		0		0	102x12	1800	2203200	2203200	0	行政中心地下停車場員工停車費收入。					潘政熙	1050328	
2-13-16	0	02123		106	02123	1	040202		002	依據臺北市政府財政局93年4月22日府財一字第09304251200號函辦理。	1060101	1061231	位	50	月	12		0		0	50x12	1500	900000	900000	0	行政中心地下停車場夜間對外開放停車費收入。					潘政熙	1050323	
2-13-16	0	02123		106	02123	1	040202		003	依據臺北市政府財政局93年4月22日府財一字第09304251200號函辦理。	1060101	1061231	月	12		0		0		0	12	22000	264000	264000	0	便民車位停車費收入。					潘政熙	1050323	
2-13-16	0	02123		106	02123	1	040202		004	依據臺北市政府所屬各機關場地使用管理辦法訂定之臺北市大安區行政中心集會堂場地收費基準辦理。	1060101	1061231	次	30		0		0		0	30	5235	157050	157050	0	行政中心10樓集會堂場地出借費收入。					王聖萱	1050323	
11-1-4-18	0	11123		106	11101	1	100202		002	依據臺北市政府所屬各機關學校職務宿舍設置管理要點及臺北市政府警察局職務宿舍設置管理要點規定辦理。	1060101	1061231	年	1		0		0		0	1	306672	306672	306672	0	員工借用職務宿舍應收使用費收入，計算方法如下：¶  承借84年以後完工之職務宿舍者¶  (按坪數依公式計算）:¶        5,850元x2人x12月=140,400元¶        3,546元x2人x12月= 85,104元¶        3,465元x1人x12月= 41,580元¶        2,643元x1人x12月= 31,716元¶          656元x1人x12月=  7,872元					黃慶安	1050504	BGT
11-1-14-17	0	11133		106	11101	1	100202		001	依據全國軍公教員工待遇支給要點規定辦理。	1060101	1061231	年	1		0		0		0	1	98400	98400	98400	0	員工借用職務宿舍扣回房租津貼收入，計算方法如下：¶    薦任  600元x 9人x12月= 64,800元¶    委任  600元x 4人x12月= 28,800元¶    工友  400元x 1人x12月=  4,800元					李明景	1050615	BGT
11-1-15-10	0	11134		106	11101	1	030101		001	依據社會秩序維護法規定辦理。	1060101	1061231	年	1		0		0		0	1	370000	370000	370000	0	行為人因妨害善良風俗等行為，依社會秩序維護法處罰之罰鍰收入。					潘奉觀	1050701	
11-1-15-16	0	11134		106	11101	1	060401		001	依據臺北市市有財產報廢處理規定辦理。	1060101	1061231	年	1		0		0		0	1	7000	7000	7000	0	報廢一般財產殘值變賣收入。					張光演	0015/24	
11-1-16-8	0	11141		106	11101	1	040202		004	依據規費法第8條規定辦理。	1060101	1061231	位	52	月	12		0		0	52x12	1000	624000	624000	0	大隊辦公大樓地下室停車場供員工使用之汽車停車費收入。					廖勝吉	1050304	
2-13-16	0	02123		106	02123	1	040202		005	依據臺北市政府所屬各機關場地使用管理辦法訂定之臺北市區民活動中心場地收費基準辦理。	1060101	1061231	年	1		0		0		0	1	2807616	2807616	2807616	0	本區各區民活動中心場地出借收入明細如下：¶1.錦安(一)區民活動中心1,100元*1年*¶  216次=237,600元。¶2.建南區民活動中心1,500元*1年*233次¶  =349,500元。¶3.瑞安區民活動中心750元*1年*134次¶  =100,500元。¶4.成功區民活動中心1,250元*1年*152次¶  =190,000元。¶5.青峰區民活動中心1,100元*1年*162次¶  =178,200元。¶6.光信區民活動中心500元*1年*295次¶  =147,500元。¶7.辛亥區民活動中心1,100元*1年*212次¶  =233,200元。¶8.通安區民活動中心750元*1年*212次 ¶   =159,000元。¶9.錦安(二)區民活動中心1,100元*1年¶   *272次=299,200元。¶10.嘉興區民活動中心1,100元*1年*160次=176,000元。¶11.全年度電費收入645,916元、水費收入¶   91,000元。					李(火戶)山	0015/23	
2-13-17	0	02123		106	02123	1	040202		006	依據臺北市市有公用房地提供使用辦法規定辦理。	1060101	1061231	年	1		0		0		0	1	19716	19716	19716	0	自動提款機場地費收入。					潘政熙	1050323	
2-13-17	0	02123		106	02123	1	040202		007	依據臺北市市有公用房地提供使用辦法規定辦理。	1060101	1061231	年	1	家	5		0		0	1x5	264316	1321580	1321580	0	基地臺租金收入。					潘政熙	1050323	
2-13-19	0	02123		106	02123	1	040203		001	依據行政程序法暨臺北市政府及所屬各機關大專院校檔案開放應用要點辦理。	1060101	1061231	次	10		0		0		0	10	20	200	200	0	閱卷費收入。					張瓊文	1050328	
2-13-19	0	02123		106	02123	1	040203		002	依據行政程序法暨臺北市政府及所屬各機關大專院校檔案開放應用要點辦理。	1060101	1061231	張	50		0		0		0	50	3	150	150	0	受理申請複印材料費(A3格式)。					張瓊文	0015/23	
2-13-19	0	02123		106	02123	1	040203		003	依據行政程序法暨臺北市政府及所屬各機關大專院校檔案開放應用要點辦理。	1060101	1061231	張	50		0		0		0	50	2	100	100	0	受理申請複印材料費(A4格式)。					張瓊文	0015/23	
2-13-21	0	02123		106	02123	1	060401		001	依據臺北市市有財產報廢處理原則辦理。	1060101	1061231	年	1		0		0		0	1	70000	70000	70000	0	出售報廢之財產設備殘值收入。					陳宥汝	1050328	
2-13-23	0	02123		106	02123	1	080102		001	依衛生福利部中央健康保險署105年7月15日健保承字第1050030512號函辦理。	1060101	1061231	年	1		0		0		0	1	448500	448500	448500	0	依「中央對直轄市及縣(市)政府補助辦法」規定，補助標準以各區公所在保人數計算。					林沛婕	1050720	
2-13-25	0	02123		106	02123	1	100202		001	依據政府採購法第29條及其施行細則第28條之1規定辦理。	1060101	1061231	年	1		0		0		0	1	15000	15000	15000	0	圖說費收入。					王錦玲	0015/23	
2-13-25	0	02123		106	02123	1	100202		002	依據臺北市市有公用房地提供使用辦法規定辦理。	1060101	1061231	年	1		0		0		0	1	450000	450000	450000	0	基地臺回饋金，用於為民服務暨行政中心綠美化(收支併列)。					潘政熙	1050323	
2-14-20	0	02124		106	02124	1	040101		001	依農業發展條例第75條規定辦理	1060101	1061231	年	1		0		0		0	1	1000	1000	1000	0	核發農業用地作農業使用證明書審查費收入。					朱良斌	1050325	
6-2-28	0	06102		106	06102	1	060401		001	依據預算法有關規定辦理	1060101	1061231	年	1		0		0		0	1	50000	50000	50000	0	報廢資產變賣收入。					羅志堅	1050330	
6-3-28	0	06103		106	06103	1	060102		002	臺北市市有財產管理自治條例及臺北市市有土地出租租金計收基準	1060101	1061231	月	12		0		0		0	12	2075	24900	24900	0	光復市場以前年度無權占用補償金分期攤還地租收入(龍興宮)。					湯順明	0015/15	
6-3-30	0	06103		106	06103	1	060103		002	臺北市市有財產管理自治條例、農產品市場交易法	1060101	1061231	年	1		0		0		0	1	13000000	13000000	13000000	0	漁產公司場地使用費收入(預計管理費收入之10%)。					黃民康	1050315	
6-3-30	0	06103		106	06103	1	060103		005	臺北市市有財產管理自治條例、第二果菜批發市場4樓果菜包裝配送中心使用行政契約書	1060101	1061231	年	1		0		0		0	1	7066656	7066656	7066656	0	農產公司第二果菜批發市場4樓果菜包裝配送中心場地使用費收入。					王婉玉	1050315	
6-3-30	0	06103		106	06103	1	060103		007	臺北市市有土地出租租金計收基準	1060101	1061231	年	1		0		0		0	1	8000000	8000000	8000000	0	農產公司停車收入(第二果菜批發市場B3樓)。					王婉玉	1050315	
6-3-34	0	06103		106	06103	1	070301		001	臺北市市有財產管理自治條例、公司法、臺北農產公司章程	1060101	1061231	年	1		0		0		0	1	4320000	4320000	4320000	0	投資臺北農產公司股息收入(投資額10%)。					王婉玉	1050315	
6-3-34	0	06103		106	06103	1	070301		002	臺北市市有財產管理自治條例、公司法、臺北漁產公司章程	1060101	1061231	年	1		0		0		0	1	2160000	2160000	2160000	0	投資臺北漁產公司股息收入(投資額9%)。					黃民康	1050315	
7-6-39	0	07106		106	07106	1	100201		001	依「預算法」、「會計法」及相關規定辦理	1060101	1061231	年	1		0		0		0	1	250000	250000	250000	0	收回以前年度支出等收入。					陳子裕	1050311	
7-2-34	0	07102		106	07102	1	040202		014	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	120000	120000	120000	0	黑松股份有限公司使用本市大同區迪化段3小段832地號、北投區關渡3小段592地號、萬華區華中段4小段440地號、中山區大佳段1小段330地號、士林區中洲段785-2地號等計9處土地設置10臺自動販賣機，每臺每月1,000元。¶(1,000元x10臺x12月=120,000元)					孫月娉	1050322	
7-2-34	0	07102		106	07102	1	040202		015	依「臺北市下水道橋樑隧道附掛纜線使用費收費標準」規定辦理	1060101	1061231	年	1		0		0		0	1	130000000	120000000	130000000	0	每個行政區預計暫掛722,222公尺，本市共計有12個行政區，以1年計列收入如下:1.2元x361,111公尺x12行政區x12月(側溝)+1.3元x361,111公尺x12行政區x12月(箱涵、涵管及連接管)≒130,000,000元。					陳韋弘	1050727	
7-2-34	0	07102		106	07102	1	040202		016	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	2525952	2525952	2525952	0	本市河濱自行車租借站10處，每月使用費收入210,496元。¶(210,496元x12月=2,525,952元)					崔玥麗	0015/15	
7-2-34	0	07102		106	07102	1	040202		017	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	378000	378000	378000	0	台灣大哥大股份有限公司使用基隆河第十號疏散門二樓平臺設置行動電話基地臺，每臺每月使用費收入45,000元，基地臺有3家業者共構共站每家以7折優惠計收。¶(45,000元x0.7x12月=378,000元)					劉淑真	1050408	
7-2-34	0	07102		106	07102	1	040202		018	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	378000	378000	378000	0	中華電信股份有限公司使用基隆河第十號疏散門二樓平臺設置行動電話基地臺，每臺每月使用費收入45,000元，基地臺有3家業者共構共站每家以7折優惠計收。¶(45,000元x0.7x12月=378,000元)					劉淑真	1050408	
7-2-34	0	07102		106	07102	1	040202		019	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	378000	378000	378000	0	遠傳電信股份有限公司使用基隆河第十號疏散門二樓平臺設置行動電話基地臺，每臺每月使用費收入45,000元，基地臺有3家業者共構共站每家以7折優惠計收。¶(45,000元x0.7x12月=378,000元)					劉淑真	1050408	
7-2-35	0	07102		106	07102	1	040202		020	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	378000	378000	378000	0	台灣大哥大股份有限公司使用淡水河第六號疏散門二樓平臺設置行動電話基地臺，每臺每月使用費收入45,000元，基地臺有3家業者共構共站每家以7折優惠計收。¶(45,000元x0.7x12月=378,000元)					蔡哲軒	1050408	
7-2-35	0	07102		106	07102	1	040202		021	依「臺北市市有公用房地提供使用辦法」規定辦理	1060101	1061231	年	1		0		0		0	1	378000	378000	378000	0	遠傳電信股份有限公司使用淡水河第六號疏散門二樓平臺設置行動電話基地臺，每臺每月使用費收入45,000元，基地臺有3家業者共構共站每家以7折優惠計收。¶(45,000元x0.7x12月=378,000元)					劉淑真	1050321	
3-2-10	0	03102		106	03102	1	040202		002	臺北市孔廟4D劇院場地收費基準。	1060101	1061231	年	1		0		0		0	1	36000	36000	36000	0	4D劇院場地出借使用費收入。					蘇美齡	1050323	
3-11-24	0	03122		106	03122	1	060401		001	依據臺北市市有財產報廢處理原則辦理。	1060101	1061231	年	1		0		0		0	1	12000	12000	12000	0	出售報廢財產及物品等殘值收入。					吳漢珍	0015/22	
3-12-12	0	03123		106	03123	1	030101		001	依據戶籍法第76、77、78、79、80條規定辦理。	1060101	1061231	年	1		0		0		0	1	102000	102000	102000	0	逾期申報及不實申請各項戶籍登記罰鍰收入。					初幼蘭	0015/24	
3-12-14	0	03123		106	03123	1	040102		001	依據戶籍法第69條規定辦理。	1060101	1061231	件	26000		0		0		0	26000	50	1300000	1300000	0	國民身分證初、換核發工本費收入。					沈家穎	0015/24	
3-12-14	0	03123		106	03123	1	040102		002	依據戶籍法第69條規定辦理。	1060101	1061231	件	6100		0		0		0	6100	200	1220000	1220000	0	國民身分證補發工本費收入。					沈家穎	0015/24	
3-12-14	0	03123		106	03123	1	040102		003	依據戶籍法第69條規定辦理。	1060101	1061231	份	31200		0		0		0	31200	30	936000	936000	0	戶口名簿工本費收入。					初幼蘭	1050324	
3-12-14	0	03123		106	03123	1	040102		004	依據臺北市門牌編釘及門牌證明書收費標準辦理。	1060101	1061231	面	1250		0		0		0	1250	64	80000	80000	0	門牌工本費收入。					陳振明	0015/24	
3-12-14	0	03123		106	03123	1	040102		005	依據臺北市門牌編釘及門牌證明書收費標準辦理。	1060101	1061231	張	1210		0		0		0	1210	20	24200	24200	0	門牌證明工本費收入。					陳振明	0015/24	
3-12-14	0	03123		106	03123	1	040102		006	依據歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準辦理。	1060101	1061231	張	1		0		0		0	1	50	50	50	0	國籍歸化測試補(換)發成績單工本費收入。					蘇聖雅	0015/24	
3-12-14	0	03123		106	03123	1	040102		007	依據戶籍法第69條規定辦理。	1060101	1061231	張	800		0		0		0	800	100	80000	80000	0	中、英文結(離)婚證明書工本費收入。					邱素芬	0015/24	
3-12-16	0	03123		106	03123	1	040103		001	依據臺北市印鑑登記及印鑑證明收費標準辦理。	1060101	1061231	件	8500		0		0		0	8500	20	170000	170000	0	印鑑登記、變更及廢止工本費收入。					陳秀梅	0015/24	
3-12-18	0	03123		106	03123	1	040104		001	依據歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準辦理。	1060101	1061231	人次	12		0		0		0	12	500	6000	6000	0	國籍歸化測試工本費收入。					蘇聖雅	0015/24	
3-12-20	0	03123		106	03123	1	040202		001	依據臺北市市有財產管理自治條例第66條規定辦理。	1060101	1061231	張	20200		0		0		0	20200	1	20200	20200	0	便民影印服務收入。					黃妙英	0015/24	
3-12-20	0	03123		106	03123	1	040202		002	依據臺北市市有公用房地提供使用辦法規定辦理。	1060101	1061231	月	12		0		0		0	12	1100	13200	13200	0	設置便民刻章服務處，場地出借使用費收入。					黃妙英	1050324	
3-12-20	0	03123		106	03123	1	040202		003	依據臺北市市有公用房地提供使用辦法規定辦理。	1060101	1061231	月	12		0		0		0	12	30000	360000	360000	0	設置便民證件自動照相機，場地出借使用費收入。					黃妙英	1050324	
3-12-22	0	03123		106	03123	1	040203		001	依據戶籍法第69條規定辦理。	1060101	1061231	件	5		0		0		0	5	15	75	75	0	戶籍登記資料閱覽費收入。					高元、宋翠霞	1050324	
3-12-22	0	03123		106	03123	1	040203		002	依據戶籍法第69條規定辦理。	1060101	1061231	        張	250000		0		0		0	250000	15	3750000	3750000	0	中文戶籍謄本工本費收入。					宋翠霞	1050324	
3-12-22	0	03123		106	03123	1	040203		003	依據臺北市印鑑登記及印鑑證明收費標準辦理。	1060101	1061231	   張	44000		0		0		0	44000	20	880000	880000	0	印鑑證明工本費收入。					陳秀梅	0015/24	
3-12-22	0	03123		106	03123	1	040203		004	依據戶籍法第69條規定辦理。	1060101	1061231	張	200		0		0		0	200	15	3000	3000	0	婚姻遷徙姓名更改紀錄證明書收入。					高元、宋翠霞	1050324	
3-12-22	0	03123		106	03123	1	040203		005	依據戶籍法第69條規定辦理。	1060101	1061231	張	600		0		0		0	600	15	9000	9000	0	列印戶籍名冊資料工本費收入。					宋翠霞	1050324	
3-5-12	0	03112		106	03112	1	030101		001	依據戶籍法第76、77、78、79、80條規定辦理。	1060101	1061231	年	1		0		0		0	1	60000	60000	60000	0	逾期申報及不實申請各項戶籍登記罰鍰收入。					董芬伶	1050510	
3-5-14	0	03112		106	03112	1	040102		001	依據戶籍法第69條規定辦理。	1060101	1061231	件	20000		0		0		0	20000	50	1000000	1000000	0	國民身分證初、換核發工本費收入。					吳課長維祿	0015/25	
3-5-14	0	03112		106	03112	1	040102		002	依據戶籍法第69條規定辦理。	1060101	1061231	件	5500		0		0		0	5500	200	1020000	1100000	0	國民身分證補發工本費收入。					吳課長維祿	1050718	
3-5-14	0	03112		106	03112	1	040102		003	依據戶籍法第69條規定辦理。	1060101	1061231	份	19000		0		0		0	19000	30	570000	570000	0	戶口名簿工本費收入。					吳課長維祿	0015/25	
3-5-14	0	03112		106	03112	1	040102		004	依據臺北市門牌編釘及門牌證明書收費標準辦理。	1060101	1061231	面	500		0		0		0	500	64	32000	32000	0	門牌工本費收入。					吳課長維祿	0015/25	
3-5-14	0	03112		106	03112	1	040102		005	依據臺北市門牌編釘及門牌證明書收費標準辦理。	1060101	1061231	張	2500		0		0		0	2500	20	50000	50000	0	門牌證明工本費收入。					吳課長維祿	0015/25	
3-5-14	0	03112		106	03112	1	040102		006	依據歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準辦理。	1060101	1061231	張	4		0		0		0	4	50	200	200	0	國籍歸化測試補(換)發成績單工本費收入。					施課長芳旗	0015/25	
3-5-14	0	03112		106	03112	1	040102		007	依據戶籍法第69條規定辦理。	1060101	1061231	張	550		0		0		0	550	100	55000	55000	0	中、英文結(離)婚證明書工本費收入。					施課長芳旗	0015/25	
3-5-16	0	03112		106	03112	1	040103		001	依據臺北市印鑑登記及印鑑證明收費標準辦理。	1060101	1061231	件	6600		0		0		0	6600	20	132000	132000	0	印鑑登記、變更及廢止工本費收入。					吳課長維祿	1050307	
3-5-18	0	03112		106	03112	1	040104		001	依據歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準辦理。	1060101	1061231	人次	5		0		0		0	5	500	2500	2500	0	國籍歸化測試工本費收入。					施課長芳旗	0015/25	
3-5-20	0	03112		106	03112	1	040202		001	依據臺北市市有財產管理自治條例第66條規定辦理。	1060101	1061231	張	4000		0		0		0	4000	1	4000	4000	0	便民影印服務收入。					蔡課長美慧	1050303	
3-5-22	0	03112		106	03112	1	040203		001	依據戶籍法第69條規定辦理。	1060101	1061231	件	600		0		0		0	600	15	9000	9000	0	戶籍登記資料閱覽費收入。					吳課長維祿	0015/25	
3-5-22	0	03112		106	03112	1	040203		002	依據戶籍法第69條規定辦理。	1060101	1061231	張	300000		0		0		0	300000	15	4500000	4500000	0	中文戶籍謄本工本費收入。					吳課長維祿	0015/25	
3-5-22	0	03112		106	03112	1	040203		003	依據戶籍法第69條規定辦理。	1060101	1061231	張	750		0		0		0	750	100	75000	75000	0	英文戶籍謄本工本費收入。					吳課長維祿	0015/25	
3-5-22	0	03112		106	03112	1	040203		004	依據臺北市印鑑登記及印鑑證明收費標準辦理。	1060101	1061231	張	42000		0		0		0	42000	20	840000	840000	0	印鑑證明工本費收入。					吳課長維祿	0015/25	
3-5-22	0	03112		106	03112	1	040203		005	依據戶籍法第69條規定辦理。	1060101	1061231	張	1200		0		0		0	1200	15	18000	18000	0	列印戶籍名冊資料工本費收入。					吳課長維祿	1050225	
3-5-22	0	03112		106	03112	1	040203		006	依據戶籍法第69條規定辦理。	1060101	1061231	張	160		0		0		0	160	10	1600	1600	0	戶口統計資料工本費收入。					吳課長維祿	0015/25	
2-14-23	0	02124		106	02124	1	040202		001	依據臺北市市有公用房地提供使用辦法辦理	1060101	1061231	年	1		0		0		0	1	30000	30000	30000	0	台北富邦商業銀行自動櫃員機場地使用費收入。					楊蘊清	0015/16	
2-21-18	0	02131		106	02131	1	040101		001	依據農業發展條例第75條規定辦理	1060101	1061231	年	1		0		0		0	1	140000	140000	140000	0	核准農業用地農業使用證明審查費收入(計算方式詳歲入項目說明提要)。					陳美鳳	1050321	
2-22-21	0	02132		106	02132	1	060102		001	依「臺北市市有公用房地提供使用辦法」辦理	1060101	1061231	年	1		0		0		0	1	335328	335328	335328	0	財政部國稅局北投稽徵所承租本區行政大樓建物租金收入。					李淑娟	1050321	
3-5-24	0	03112		106	03112	1	040207		001	戶政事務所代收自然人憑證IC卡行政管理費使用要點。	1060101	1061231	張	5000		0		0		0	5000	27	135000	135000	0	自然人憑證IC卡行政管理費收入(收支併列)。					吳課長維祿	1050510	
2-21-20	0	02131		106	02131	1	040202		001	依據臺北市政府所屬各機關場地使用管理辦法訂定之臺北市士林區行政中心禮堂場地收費基準辦理	1060101	1061231	年	1		0		0		0	1	120000	120000	120000	0	行政中心10樓禮堂外借使用費收入。					丘燕均	1050318	
2-21-20	0	02131		106	02131	1	040202		002	依據臺北市政府財政局93.4.22府財一字第09304251200號函辦理	1060101	1061231	月	12		0		0		0	12	3600	43200	43200	0	行政中心地下停車場夜間民眾租用停車費收入。					陳怡佐	1050318	
2-21-20	0	02131		106	02131	1	040202		003	依據臺北市政府財政局93.4.22府財一字第09304251200號函暨臺北市士林區行政中心員工停車場收費管理要點辦理	1060101	1061231	月	12		0		0		0	12	119000	1428000	1428000	0	行政中心地下停車場員工汽車停車費收入。					陳怡佐	1050318	
