times	borg	recid	yearno	orgno	itemno	dno	src0	src1	src2	src3	seqno	srcna	inbasis	inperiod	unit	quantity	unitprice	price	pageno	note	src
0	01101	2	106	01101	1	040202	4	1	1	1	001		依預算法暨有關規定	106.01.01-106.12.31	月	12	75000	900000	1-1-18	使用交誼廳、禮堂、會議廳等場地使用費收入。	0400010101
0	01101	5	106	01101	1	040202	4	1	1	1	002		依預算法暨有關規定	106.01.01-106.12.31	月	12	8000	96000	1-1-18	男子理髮部、女子美容院租用本會場地使用費收入。	0400010101
0	01101	8	106	01101	1	040202	4	1	1	1	003		依預算法暨有關規定	106.01.01-106.12.31	月、臺	12x3	1836	66096	1-1-18	地下1樓設置飲料及食品自動販賣機場地使用費收入。	0400010101
0	01101	2	106	01101	1	040203	4	1	1	2	001		依預算法暨有關規定	106.01.01-106.12.31	月、件	12x250	2	6000	1-1-20	圖書室提供影印服務收入。	0400010102
0	01101	4	106	01101	1	040203	4	1	1	2	002		依預算法暨有關規定	106.01.01-106.12.31	年、片	1x180	15	2700	1-1-20	總務組提供影音資料複製收入。	0400010102
0	01101	2	106	01101	1	060401	6	1	1	1	001		依預算法暨有關規定	106.01.01-106.12.31	月	12	5835	70020	1-1-22	出售報廢財產廢舊物品等殘值收入。	0600010101
0	01101	2	106	01101	1	100202	10	1	1	1	001		依預算法暨有關規定	106.01.01-106.12.31	件	160	50	8000	1-1-24	出售招標圖說工本費收入。	1000010101
0	01101	4	106	01101	1	100202	10	1	1	1	002		依預算法暨有關規定	106.01.01-106.12.31	月	12	1400	16800	1-1-24	使用秘書長職務宿舍繳回房租津貼。	1000010101
0	02101	2	106	02101	1	060103	6	2	1	1	001		臺北市市有公用房地提供使用辦法附表規定辦理	106.01.01-106.12.31	月	12	45000	540000	2-1-20	西園路單房間職務宿舍樓頂出租設置基地臺租金收入。	0600020101
0	02101	2	106	02101	1	100201	10	2	1	1	001		依據公營事業移轉民營條例及其施行細則辦理	106.01.01-106.12.31	月	12	55000	660000	2-1-22	收回勞動部勞工保險局按月代扣本府印刷所前職工之勞工保險老年年金繳還勞保補償金。	1000020101
0	02101	6	106	02101	1	100201	10	2	1	1	002		臺北市政府所屬各機關學校職務宿舍設置管理要點	106.01.01-106.12.31	月	1	26000	26000	2-1-22	依各公共事業機構開立之收據費額，向單房間職務宿舍各借用人收回本處代墊之應分攤之水、電、瓦斯費。	1000020101
0	02101	2	106	02101	1	100202	10	2	1	2	001		依據臺北市政府公報編輯發行作業要點規定辦理	106.01.01-106.12.31	份	10	2400	24000	2-1-24	出售市府公報收入。	1000020102
0	02101	6	106	02101	1	100202	10	2	1	2	002		行政院78年6月16日臺78人政肆字第22000號函辦理	106.01.01-106.12.31	人、月	1x12	500	6000	2-1-24	配住公有房舍員工扣繳房租津貼收入(委任第三職等以下)。	1000020102
0	02101	10	106	02101	1	100202	10	2	1	2	003		同上	106.01.01-106.12.31	人、月	1x12	400	4800	2-1-24	配住公有房舍員工扣繳房租津貼收入(駕駛)。	1000020102
0	02101	13	106	02101	1	100202	10	2	1	2	004		依「臺北市政府所屬各機關學校職務宿舍設置管理要點」第10點規定辦理	106.01.01-106.12.31	人、月	2x12	390	9360	2-1-24	員工住宿公有房舍使用費。	1000020102
0	02102	2	106	02102	1	030301	3	3	1	1	001		依據相關法令及市政大樓清潔、機電維護外包等契約書規定辦理	106.01.01-106.12.31	月	12	25000	300000	2-2-14	市政大樓清潔、機電及消防設備維護外包等各項採購契約承商違約罰款繳庫數。	0300030101
0	02102	2	106	02102	1	040202	4	2	1	1	001		依據臺北市市政大樓及市民廣場場地收費基準	106.01.01-106.12.31	年	1	400000	400000	2-2-16	(1)市政大樓中庭場地：預計每年出    　  租30次，每次4小時5,000元¶　　5,000元*30=150,000元。¶(2)東門廣場：預計每年出租19次，每次　　　4小時2,500元¶　　2,500元*19次=47,500元。¶(3)街舞區：預計每年出租10次，每次4小　　時3,500元¶　　3,500元*10次=35,000元。¶(4)好望角步道區：預計每年出租1次，　　　每次4小時2,500元¶　　2,500元*1次=2,500元。 ¶(5)新仁愛路段：預計每年假日出租18次　　 ，每次4小時5,000元¶　　5,000元*18次=90,000元。¶(6)小型集會廣場：預計每年假日出租15次，每次4小時3,000元¶　　3,000元*15次=45,000元。¶(7)流水噴泉區：預計每年假日出租15次，每次4小時2,000元¶　　2,000元*15次=30,000元。¶每年共計400,000元。	0400020101
0	02102	25	106	02102	1	040202	4	2	1	1	005		依據臺北市市有公用房地架設行動電話基地臺使用行政契約書辦理	106.01.01-106.12.31	月	12	117225	1406700	2-2-16	民營電信業者於本大樓東南區屋頂層架設行動電話基台，每月使用費:¶(1)中華電信：23,850元。¶(2)台灣大哥大：23,850元。¶(3)遠傳電信：23,850元。¶(4)亞太電信：22,500元。¶(5)臺灣之星電信：23,175元。¶每月合計117,225元。	0400020101
0	02102	34	106	02102	1	040202	4	2	1	1	006		依據臺北市市有公用房地提供使用設置活動式臨時攤位特別約定事項同意書	106.01.01-106.12.31	日、家	252x26	650	4258800	2-2-17	市政大樓地下2樓附屬服務設施「市府生活廣場」活動式臨時攤位計26家攤位，每日使用費650元，全年以252個上班日計算，全年合計4,258,800元。	0400020101
0	02102	2	106	02102	1	060103	6	3	1	1	001		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	1184204	14210448	2-2-19	台北富邦銀行公庫處及市府分行使用本大樓使用費。¶(1)公庫處每月使用費(地下1樓)計算公式：土地使用費(公告地價*基地使用面積(m2)*5%/12及房屋使用費(評定現值*建物使用面積(m2)*10%)/樓地面積(m2)/12；市府分行以公開招標方式辦理【(216,000*218.62*5%/12)+(2,109,551,200*744*10%/196,615.5)/12)】=263,400元。¶(2)市府分行（1樓及地下1樓)依市場租金行情公開招標金額為920,804元。¶每月共計1,184,204元。	0600030101
0	02102	15	106	02102	1	060103	6	3	1	1	002		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	113597	1363164	2-2-19	臺北郵局第49支局使用本大樓房屋，每月使用費：計算公式：土地使用費(公告地價*基地使用面積(m2)*5%/12及房屋使用費(評定現值*建物使用面積(m2)*10%)/樓地板面積(m2)/12【216,000*94.62*5%)/12+(2,083,825,100*322*10%/196,615.5)/12=113,597 元。	0600030101
0	02102	23	106	02102	1	060103	6	3	1	1	003		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	23012	276144	2-2-19	財團法人中華血液基金會臺北捐血中心使用本大樓房屋，每月使用費：計算公式：按比例分計房屋使用費23,0122元。	0600030101
0	02102	27	106	02102	1	060103	6	3	1	1	004		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	3303	39636	2-2-19	國泰人壽使用本大樓房屋，參酌市場行情，按比例分計房屋使用費3,303元。	0600030101
0	02102	31	106	02102	1	060103	6	3	1	1	005		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	390576	4686912	2-2-19	超商使用本大樓房屋，以公開招標方式辦理，每月房屋使用費390,576元。	0600030101
0	02102	35	106	02102	1	060103	6	3	1	1	006		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	695906	8350872	2-2-20	地下2樓固定展售攤位及1樓影印部採公開招標方式辦理，每月使用費695,906元。	0600030101
0	02102	39	106	02102	1	060103	6	3	1	1	007		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	180000	2160000	2-2-20	員工餐廳以公開招標方式辦理，每月使用費180,000元。	0600030101
0	02102	43	106	02102	1	060103	6	3	1	1	008		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	75960	911520	2-2-20	金融業者於市政大樓設置提款機以公開招標方式辦理¶1.臺北富邦銀行於地下2樓設置提款機1臺，每月使用費5,760元。¶2.玉山銀行於1樓設置提款機5臺，每月使用費70,200元。	0600030101
0	02102	50	106	02102	1	060103	6	3	1	1	009		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	31530	378360	2-2-20	市政大樓1樓設置飲料及食品自動販賣機、自動照相機等，每月使用費：¶(1) 飲料及食品自動販賣機：12,030元。¶(2) 自動照相機：19,500元。¶每月合計：31,530元。	0600030101
0	02102	2	106	02102	1	060401	6	3	2	1	001		依據相關法令及規定辦理	106.01.01-106.12.31	年	1	120000	120000	2-2-22	變賣已逾耐用年限且不堪使用之廢舊物資收入。	0600030201
0	02102	2	106	02102	1	100202	10	3	1	1	001		依據臺北市市有公用房地提供使用行政契約書辦理	106.01.01-106.12.31	月	12	128076	1536912	2-2-24	台北富邦銀行、郵局、販賣機等場地，每月水電費收入:¶(1) 台北富邦銀行市府分行29,000元。¶(2) 台北富邦銀行公庫處28,390元。¶(3) 郵局27,257元。¶(4) 飲料及食品販賣機2,245元。¶(5) 自動照相機458元。¶(6) 捐血中心5,820元。¶(7) 國泰人壽906元。¶(8) 超商34,000元。¶每月共計128,076元。	1000030101
0	02102	14	106	02102	1	100202	10	3	1	1	002		依據臺北市市政大樓員工餐廳供膳業務契約書辦理	106.01.01-106.12.31	月	12	105189	1262268	2-2-24	員工餐廳水電費預估收入(廠商自行負擔50%)。	1000030101
0	02102	18	106	02102	1	100202	10	3	1	1	003		依據臺北市市有公用房地架設行動電話基地臺使用行政契約書辦理	106.01.01-106.12.31	月	12	62900	754800	2-2-24	民營電信業者於本大樓東南區屋頂層架設行動電話基地臺，每月電費收入:¶(1)中華電信：22,200元。¶(2)臺灣大哥大：14,100元。¶(3)遠傳電信：19,100元。¶(4)亞太電信：3,500元。¶(5)臺灣之星電信：4,000元。¶每月共計62,900元。	1000030101
0	02102	27	106	02102	1	100202	10	3	1	1	004		依據各項標案招標文件之規定辦理	106.01.01-106.12.31	月	12	800	9600	2-2-24	發售各項標案招標文件標單費收入。	1000030101
0	02103	2	106	02103	1	060401	6	4	1	1	001		依臺北市市有財產報廢處理原則規定辦理。	106.01.01-106.12.31	年	1	3000	3000	2-3-16	出售廢舊物品及電腦設備等殘值收入。	0600040101
0	02103	2	106	02103	1	100202	10	4	1	1	001		依政府採購法第29條第1項及政府採購法施行細則第28條之1規定辦理。	106.01.01-106.12.31	年	1	1500	1500	2-3-19	出售採購招標文件工本費收入。	1000040101
0	02103	7	106	02103	1	100202	10	4	1	1	002		依軍公教人員兼職費及講座鐘點費支給規定辦理。	106.01.01-106.05.31	月	5	22000	110000	2-3-19	員工兼職費超過規定標準部分繳庫數。	1000040101
0	02103	11	106	02103	1	100202	10	4	1	1	003		依行政院78.6.16臺78人政肆字22000號函辦理。	106.01.01-106.12.31	人、月	3x12	600	21600	2-3-19	員工住宿公有宿舍房租津貼收入(委任第四職等至薦任第七職等)。	1000040101
0	02103	15	106	02103	1	100202	10	4	1	1	004		依臺北市政府所屬各機關學校職務宿舍設置管理要點第10點規定辦理。	106.01.01-106.12.31	人、月	2x12	390	9360	2-3-19	員工住宿公有宿舍使用費收入。	1000040101
0	02103	20	106	02103	1	100202	10	4	1	1	005		依臺北市政府所屬各機關學校職務宿舍設置管理要點第10點規定辦理。	106.01.01-106.12.31	人、月	1x12	460	5520	2-3-19	員工住宿公有宿舍使用費收入。	1000040101
0	02103	25	106	02103	1	100202	10	4	1	1	006		依行政院78.6.16臺78人政肆字22000號函辦理。	106.01.01-106.02.28	人、月	1x2	600	1200	2-3-19	員工住宿公有宿舍房租津貼收入(委任第四職等至薦任第七職等)。	1000040101
0	02103	29	106	02103	1	100202	10	4	1	1	007		依臺北市政府所屬各機關學校職務宿舍設置管理要點第10點規定辦理。	106.01.01-106.02.28	人、月	1x2	390	780	2-3-19	員工住宿公有宿舍使用費收入。	1000040101
0	02104	2	106	02104	1	100202	10	5	1	1	001		依據行政院頒定「全國軍公教員工待遇支給要點」第4點	106.01.01-106.12.31	人、月	1x12	600	7200	2-4-14	員工配住公有房舍之房租津貼收入(委任第四職等至薦任第七職等)。	1000050101
0	02106	2	106	02106	1	030301	3	7	1	1	001		依據政府採購法相關法令及契約規定辦理	106.01.01-106.12.31	年	1	24000	24000	2-6-14	採購案違約罰款收入。	0300070101
0	02106	2	106	02106	1	040202	4	4	1	1	001		依據臺北市政府公務人員訓練處場地收費基準辦理	106.01.01-106.12.31	年	1	2284040	2284040	2-6-16	各級機關、學校、團體等委託代辦供應場地之收入。	0400040101
0	02106	6	106	02106	1	040202	4	4	1	1	002		依據臺北市市有公用房地提供使用辦法辦理	106.01.01-106.12.31	台、月	4x12	1000	48000	2-6-16	自動販賣機場地出租收入。	0400040101
0	02106	9	106	02106	1	040202	4	4	1	1	005		依據臺北市市有公用房地提供使用辦法辦理	106.01.01-106.12.31	座、月	5x12	22500	1350000	2-6-16	提供架設4G LTE行動電話基地臺場地設施使用收入。	0400040101
0	02106	2	106	02106	1	040207	4	4	1	2	001		依據臺北市政府公務人員訓練處場地收費基準辦理	106.01.01-106.12.31	年	1	3426060	3426060	2-6-18	各級機關、學校、團體等委託代辦服務費收入。	0400040102
0	02106	2	106	02106	1	060401	6	7	1	1	001		依據臺北市市有財產報廢處理規定辦理	106.01.01-106.12.31	年	1	44470	44470	2-6-20	標售報廢事務機器或電腦設備等財產之殘值收入。	0600070101
0	02106	2	106	02106	1	100202	10	7	1	1	001		依據臺北市政府公務人員訓練處辦理休假進修要點辦理	106.01.01-106.12.31	人、期	12x24	2250	648000	2-6-22	夜間語言班收入。	1000070101
0	02106	6	106	02106	1	100202	10	7	1	1	002		依據臺北市政府公務人員訓練處辦理休假進修要點辦理	106.01.01-106.12.31	人、期	8x2	4500	72000	2-6-22	中高階主管英語班收入。	1000070101
0	02106	10	106	02106	1	100202	10	7	1	1	003		依據臺北市政府公務人員訓練處辦理休假進修要點辦理	106.01.01-106.12.31	人、期	12x12	675	97200	2-6-22	假日英語工作坊收入。	1000070101
0	02108	2	106	02108	1	060401	6	8	1	1	002		依據「臺北市市有財產報廢處理原則」辦理。	106.01.01-106.12.31	年	1	1000	1000	2-7-18	出售報廢財產及物品殘值收入。	0600080101
0	02112	2	106	02112	1	030101	3	9	1	1	001		依據原住民申請經濟事業貸款契約規定辦理。	106.01.01-106.12.31	年	1	5000	5000	2-9-18	臺北市政府原住民經濟事業貸款戶延遲繳納之罰金罰鍰收入。	0300090101
0	02112	2	106	02112	1	030301	3	9	2	1	001		依據採購契約、租賃契約暨臺北市國民住宅租賃契約書辦理。	106.01.01-106.12.31	年	1	36000	36000	2-9-20	廠商延遲履約違約金與東湖C、E基地國民住宅承租人延遲繳納租金及管理維護費之違約金收入。	0300090201
0	02112	2	106	02112	1	040202	4	6	1	1	001		依據101年5月1日「臺北市政府原住民族事務委員會北原會館場地收費基準」辦理。	106.01.01-106.12.31	月	12	5000	60000	2-9-23	北原會館場地使用費。	0400060101
0	02112	7	106	02112	1	040202	4	6	1	1	002		依據103年7月15日臺北市政府(103)府法綜字第10332198700號及契約辦理。	106.01.01-106.12.31	月	9	12000	108000	2-9-23	原民風味館場地使用費。	0400060101
0	02112	12	106	02112	1	040202	4	6	1	1	003		依據103年7月15日臺北市政府(103)府法綜字第10332198700號及契約辦理。	106.01.01-106.12.31	月	12	40000	480000	2-9-23	娜魯灣原住民族商場場地使用費。	0400060101
0	02112	17	106	02112	1	040202	4	6	1	1	004		依據103年7月15日臺北市政府(103)府法綜字第10332198700號及契約辦理。	106.01.01-106.12.31	月	12	40000	480000	2-9-23	太原路廳舍場地使用費。	0400060101
0	02112	22	106	02112	1	040202	4	6	1	1	005		依據102年6月5日「臺北市政府原住民族事務委員會凱達格蘭文化館場地收費基準」。	106.01.01-106.12.31	月	12	5000	60000	2-9-23	凱達格蘭文化館場地使用費收入。	0400060101
0	02112	27	106	02112	1	040202	4	6	1	1	006		依據103年7月15日臺北市政府(103)府法綜字第10332198700號及契約辦理。	106.01.01-106.12.31	月	12	9450	113400	2-9-23	凱達格蘭文化館商鋪場地使用費收入。	0400060101
0	02112	32	106	02112	1	040202	4	6	1	1	007		依據102年1月18日臺北市政府(102)府都服字第10239122400號函暨都市發展局「臺北市國民住宅租賃契約書」。	106.01.01-106.12.31	戶、月	5x12	550	33000	2-9-23	東湖C基地國民住宅管理維護費收入。	0400060101
0	02112	38	106	02112	1	040202	4	6	1	1	008		依據102年1月18日臺北市政府(102)府都服字第10239122400號函暨都市發展局「臺北市國民住宅租賃契約書」。	106.01.01-106.12.31	戶、月	70x12	650	546000	2-9-24	東湖C、E基地國民住宅管理維護費收入。	0400060101
0	02112	2	106	02112	1	060103	6	9	1	1	001		依據102年1月18日臺北市政府(102)府都服字第10239122400號函暨都市發展局「臺北市國民住宅租賃契約書」。	106.01.01-106.12.31	戶、月	5x12	13100	786000	2-9-26	東湖C基地國民住宅租金收入。	0600090101
0	02112	8	106	02112	1	060103	6	9	1	1	002		依據102年1月18日臺北市政府(102)府都服字第10239122400號函暨都市發展局「臺北市國民住宅租賃契約書」。	106.01.01-106.12.31	戶、月	36x12	12100	5227200	2-9-26	東湖C基地國民住宅租金收入。	0600090101
0	02112	14	106	02112	1	060103	6	9	1	1	003		依據102年1月18日臺北市政府(102)府都服字第10239122400號函暨都市發展局「臺北市國民住宅租賃契約書」。	106.01.01-106.12.31	戶、月	8x12	11100	1065600	2-9-26	東湖E基地國民住宅租金收入。	0600090101
0	02112	20	106	02112	1	060103	6	9	1	1	004		依據102年1月18日臺北市政府(102)府都服字第10239122400號函暨都市發展局「臺北市國民住宅租賃契約書」。	106.01.01-106.12.31	戶、月	26x12	10100	3151200	2-9-26	東湖E基地國民住宅租金收入。	0600090101
0	02112	2	106	02112	1	100101	10	9	1	1	001		依據臺北市原住民族部落大學計畫辦理。	106.01.01-106.12.31	學期、人	2x175	1000	350000	2-9-28	部落大學課程學分費收入。	1000090101
0	02112	2	106	02112	1	100202	10	9	2	1	001		依據政府採購法第29條及其子法「政府採購公告及公報發行辦法」等規定辦理。	106.01.01-106.12.31	年	1	5000	5000	2-9-30	招標文件工本費收入。	1000090201
0	02113	2	106	02113	1	100202	10	10	1	1	001		依政府採購法及相關法令辦理	106.01.01-106.12.31	年	1	500	500	2-10-20	標單出售收入。	1000100101
0	02113	5	106	02113	1	100202	10	10	1	1	002		依「政府出版品管理作業要點」規定辦理	106.01.01-106.12.31	年	1	100000	100000	2-10-20	兒童客語叢書、客語分級教材等販售收入。	1000100101
0	02113	8	106	02113	1	100202	10	10	1	1	003		依「臺北市政府首長宿舍管理要點」、「全國軍公教員工待遇支給要點」辦理	106.01.01-106.12.31	月	12	700	8400	2-10-20	首長住宿首長宿舍扣繳房租津貼收入。	1000100101
0	02113	2	106	02113	1	040202	4	7	1	1	001		依「臺北市政府客家事務委員會場地收費基準」辦理	106.01.01-106.12.31	次	172	2500	430000	2-10-16	客家文化會館4樓會議室使用費。	0400070101
