bgtyy	srcid	obj	srcna	srcbr	src0	src1	src12	src2	src3	src0g	src2g	org	acod	sysdat	usno
102	010000		稅課收入	稅課收入	01									0960805	BGT
102	010100		遺產及贈與稅	遺產及贈與稅	01										
102	010101		遺產稅	遺產稅	01										
102	010102		贈與稅	贈與稅	01										
102	010200		印花稅	印花稅	01										
102	010201		印花稅	印花稅	01										
102	010300		使用牌照稅	使用牌照稅	01										
102	010301		使用牌照稅	使用牌照稅	01										
102	010400		土地稅	土地稅	01										
102	010401		地價稅	地價稅	01										
102	010402		土地增值稅	土地增值稅	01										
102	010403		田賦	田賦	01										
102	010500		房屋稅	房屋稅	01										
102	010501		房屋稅	房屋稅	01										
102	010600		契稅	契稅	01										
102	010601		契稅	契稅	01										
102	010700		娛樂稅	娛樂稅	01										
102	010701		娛樂稅	娛樂稅	01										
102	010800		九年國民教育附徵教育經費	九年國民教育附徵教育經費	01										
102	010801		房屋稅附徵	房屋稅附徵	01										
102	010802		娛樂稅附徵	娛樂稅附徵	01										
102	010900		中央統籌分配稅	中央統籌分配稅	01										
102	010901		中央統籌分配稅	中央統籌分配稅	01										
102	011000		菸酒稅	菸酒稅	01										
102	011001		菸酒稅	菸酒稅	01										
102	020000		工程受益費收入	工程受益費收入	02									0960805	BGT
102	020100		工程受益費收入	工程受益費收入	02										
102	020101		道路溝渠	道路溝渠	02										
102	020102		堤防	堤防	02										
102	020103		碼頭港口	碼頭港口	02										
102	020104		其他土地改良	其他土地改良	02										
102	030000		罰款及賠償收入	罰款及賠償收入	03									0960805	BGT
102	030100		罰金罰鍰及怠金	罰金罰鍰及怠金	03										
102	030101		罰金罰鍰	罰金罰鍰	03										
102	030102		怠金	怠金	03										
102	030200		沒入及沒收財物	沒入及沒收財物	03										
102	030201		沒入金	沒入金	03										
102	030202		沒收物變價	沒收物變價	03										
102	030300		賠償收入	賠償收入	03										
102	030301		一般賠償收入	一般賠償收入	03										
102	030302		國家賠償收入	國家賠償收入	03										
102	040000		規費收入	規費收入											
102	040100		行政規費收入	行政規費收入											
102	040101		審查費	審查費											
102	040102		證照費	證照費											
102	040103		登記費	登記費											
102	040104		考試報名費	考試報名費											
102	040105		許可費	許可費											
102	040106		都市計畫變更回饋金	都市計畫變更回饋金											
102	040107		停車空間代金	停車空間代金											
102	040200		使用規費收入	使用規費收入											
102	040201		汽車燃料使用費	汽車燃料使用費											
102	040202		場地設施使用費	場地設施使用費											
102	040203		資料使用費	資料使用費											
102	040204		通行費	通行費											
102	040205		廢棄物清理費	廢棄物清理費											
102	040206		供應費	供應費											
102	040207		服務費	服務費											
102	040208		道路使用費	道路使用費											
102	050000		信託管理收入	信託管理收入											
102	050100		信託管理收入	信託管理收入											
102	050101		信託管理	信託管理											
102	050200		挖掘道路修復收入	挖掘道路修復收入											
102	050201		挖掘道路修復收入	挖掘道路修復收入											
102	050400		建設共同管道收入	建設共同管道收入											
102	050401		建設共同管道收入	建設共同管道收入											
102	060000		財產收入	財產收入											
102	060100		財產孳息	財產孳息				00						0990108	BGT
102	060101		利息收入	利息收入				00	01					0990108	BGT
102	060102		地租	地租				00							
102	060103		土地以外不動產租金	土地以外不動產租金				00							
102	060104		動產租金	動產租金				00							
102	060105		權利金	權利金				00							
102	060200		財產售價	財產售價				00						0990108	BGT
102	060201		廢舊物資售價	廢舊物資售價				00	01					0990108	BGT
102	060202		土地售價	土地售價				00							
102	060203		土地以外不動產售價	土地以外不動產售價				00							
102	060204		水電售價	水電售價				00							
102	060205		動產售價	動產售價				00							
102	060300		資本收回	資本收回											
102	060301		營業基金收回	營業基金收回											
102	060302		非營業基金收回	非營業基金收回											
102	060303		投資資本收回	投資資本收回											
102	070000		營業盈餘及事業收入	營業盈餘及事業收入											
102	070100		營業盈餘	營業盈餘											
102	070101		繳庫股息紅利	繳庫股息紅利											
102	070102		盈餘轉增資	盈餘轉增資											
102	070200		作業賸餘	作業賸餘											
102	070201		繳庫作業賸餘	繳庫作業賸餘											
102	070202		作業賸餘撥充基金	作業賸餘撥充基金											
102	070300		投資收益	投資收益											
102	070301		投資股息紅利	投資股息紅利											
102	070302		股票買賣差價	股票買賣差價											
102	080000		補助收入	補助收入											
102	080100		補助收入	補助收入											
102	080101		中央政府補助	中央政府補助											
102	080102		中央各部會補助	中央各部會補助										0911123	BGT
102	090000		捐獻及贈與收入	捐獻及贈與收入											
102	090100		捐獻收入	捐獻收入											
102	090101		捐獻收入	捐獻收入											
102	100000		其他收入	其他收入											
102	100100		學雜費收入	學雜費收入											
102	100101		學費學分費	學費學分費											
102	100102		雜費	雜費											
102	100103		實習費	實習費											
102	100200		雜項收入	雜項收入											
102	100201		收回以前年度歲出	收回以前年度歲出					02					0930812	BGT
102	100202		其他雜項收入	其他雜項收入											
103	010000		稅課收入	稅課收入	01									0960805	BGT
103	010100		遺產及贈與稅	遺產及贈與稅	01										
103	010101		遺產稅	遺產稅	01										
103	010102		贈與稅	贈與稅	01										
103	010200		印花稅	印花稅	01										
103	010201		印花稅	印花稅	01										
103	010300		使用牌照稅	使用牌照稅	01										
103	010301		使用牌照稅	使用牌照稅	01										
103	010400		土地稅	土地稅	01										
103	010401		地價稅	地價稅	01										
103	010402		土地增值稅	土地增值稅	01										
103	010403		田賦	田賦	01										
103	010500		房屋稅	房屋稅	01										
103	010501		房屋稅	房屋稅	01										
103	010600		契稅	契稅	01										
103	010601		契稅	契稅	01										
103	010700		娛樂稅	娛樂稅	01										
103	010701		娛樂稅	娛樂稅	01										
103	010800		九年國民教育附徵教育經費	九年國民教育附徵教育經費	01										
103	010801		房屋稅附徵	房屋稅附徵	01										
103	010802		娛樂稅附徵	娛樂稅附徵	01										
103	010900		中央統籌分配稅	中央統籌分配稅	01										
103	010901		中央統籌分配稅	中央統籌分配稅	01										
103	011000		菸酒稅	菸酒稅	01										
103	011001		菸酒稅	菸酒稅	01										
103	020000		工程受益費收入	工程受益費收入	02									0960805	BGT
103	020100		工程受益費收入	工程受益費收入	02										
