pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
2-1-68	0	02101		101	02101	2	127104000		0306	004			0	0		年	1		0		0		0	1.00	415418	439200	415418	415418	439200	0	0	電腦周邊設備及零組件。										357	310	1	0004				1001222	BGT
2-2-52	0	02102		101	02102	2	127104000		0306	002			0	0	0303	組	1		0		0		0	1.00	168140	170500	168140	168140	152500	0	0	電腦周邊設備及零組件。									0	355	310	0	0009				1001212	BGT
2-3-59	0	02103		101	02103	2	127104000		0306	002			0	0	0303	年	1		0		0		0	1.00	237200	291600	237200	237200	300294	0	0	電腦周邊設備及零組件。								依通案標準核實編列	0	355	310	0	0002				1000706	BGT
2-4-52	0	02104		101	02104	2	127104000		0306	002			0	0		年	1		0		0		0	1.00	196000	196000	196000	196000	196000	0	0	各型印表機、掃描器等周邊設備及零組件。									0	355	310	0	0002				1000719	BGT
2-5-39	0	02105		101	02105	2	127104000		0306	002			0	0		年	1		0		0		0	1.00	158332	168000	158332	158332	168000	0	0	電腦周邊設備及零組件。									0	355	310	0	0002				1010102	BGT
2-6-43	0	02106		101	02106	2	217104000		0306	001			0	0		式	1		0		0		0	1.00	470424	492500	470424	470424	400000	0	0	電腦周邊設備及零組件。									0	355	310	0	0001				1001229	BGT
2-7-53	0	02107		101	02107	2	127104004		0306	002			0	0		年	1		0		0		0	1.00	500000	500000	500000	500000	808500	0	0	個人電腦周邊設備及零組件。								依編列標準核實編列。	0	355	310	0	0005				1000506	BGT
2-8-57	0	02108		101	02108	2	127104000		0306	003			0	0	0303	年	1		0		0		0	1.00	110250	112500	110250	110250	112500	0	0	電腦周邊設備及零組件。								依標準伸算	0	355	310	0	0002				1001227	BGT
2-9-28	0	02109		101	02109	2	127104000		0306	001			0	0		年	1		0		0		0	1.00	77500	77500	77500	77500	90500	0	0	電腦周邊設備及零組件。								依物品設備基準表核實增編列	0	355	310	0	0001				1000706	BGT
2-10-53	0	02110		101	02110	2	127104000		0306	002			0	0		組	1		0		0		0	1.00	150000	150000	150000	150000	150000	0	0	電腦周邊設備及零組件。									0	355	310	0	0002				1000511	BGT
2-11-22	0	02111		101	02111	2	347104000		0306	002			0	0	0303	年	1		0		0		0	1.00	162000	162000	162000	162000	37000	0	0	電腦周邊設備及零組件(含A3雙面掃描器)。									0	355	310	0	0002				1000730	BGT
2-12-63	0	02112		101	02112	2	137104000		0306	003			0	0	0303	年	1		0		0		0	1.00	101920	64000	101920	101920	75000	0	0	電腦周邊設備及零組件(本會)。									0	355	310	0	0002				1010101	BGT
2-13-45	0	02113		101	02113	2	227104000		0306	003			0	0		組	1		0		0		0	1.00	98980	101000	98980	98980	101000	0	0	電腦周邊設備及零組件。									0	355	310	0	0001				1001212	BGT
2-14-50	0	02121		101	02121	2	137104000		0306	004			0	0		年	1		0		0		0	1.00	268750	290000	268750	268750	290000	0	0	電腦周邊設備及零組件。									0	355	310	0	0005				1001213	BGT
2-15-52	0	02122		101	02122	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	275803	439200	275803	275803	373000	0	0	電腦周邊設備及零組件。									0	355	310	0	0002				1001229	BGT
2-16-53	0	02123		101	02123	2	137104000		0306	002			0	0		年	1		0		0		0	1.00	297423	395600	297423	297423	395600	0	0	電腦周邊設備及零組件(電腦專案)。									0	357	310	0	0003				1001229	BGT
