pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
1-1-58	0	01101		101	01101	2	117104000		0306	016			0	0		臺	124		0		0		0	124.00	30000	0	3720000	3720000	0	0	0	研究室桌上型電腦。									0	355	310	1	0011	0	0	0	1000707	BGT
2-1-68	0	02101		101	02101	2	127104000		0306	001			0	0		部	35		0		0		0	35.00	20500	717500	717500	717500	717500	0	0	汰換個人電腦。								汰換PC:35台¶現有員額：府本部26人+借調人員8人+處141人=175人。¶(133(職員)+34(約聘僱)+8(借調)=175,¶最大更換台數=175/5=35台)		355	310	1	0001				1001124	BGT
2-2-52	0	02102		101	02102	2	127104000		0306	001			0	0	0301	部	11		0		0		0	11.00	20500	225500	225500	225500	225500	0	0	汰換個人電腦。									0	355	310	0	0008				1000302	BGT
2-3-59	0	02103		101	02103	2	127104000		0306	001			0	0	0301	部	10		0		0		0	10.00	20500	369000	205000	205000	512500	0	0	汰換個人電腦。								依通案標準核實編列	1	355	310	0	0001				1000706	BGT
2-4-52	0	02104		101	02104	2	127104000		0306	001			0	0	0301	部	14		0		0		0	14.00	20500	287000	287000	287000	287000	0	0	汰換個人電腦。									0	355	310	0	0001				1000719	BGT
2-5-39	0	02105		101	02105	2	127104000		0306	001			0	0		部	12		0		0		0		20500	246000	246000	246000	246000	0	0	汰換個人電腦。									0	355	310	1	0001				1000331	BGT
2-6-43	0	02106		101	02106	2	217104000		0306	003			0	0	0301	部	13		0		0		0	13.00	20500	266500	266500	266500	1107000	0	0	汰換個人電腦。									0	355	310	1	0003				1000506	BGT
2-7-53	0	02107		101	02107	2	127104004		0306	001			0	0	0301	部	20		0		0		0	20.00	20500	410000	410000	410000	1845000	0	0	汰換個人電腦。								汰換本處95年份購置之個人電腦。	1	355	310	0	0004				1000506	BGT
2-8-57	0	02108		101	02108	2	127104000		0306	001			0	0	0301	部	18		0		0		0	18.00	20090	369000	361620	361620	369000	0	0	汰換個人電腦。									0	355	310	0	0001				1001227	BGT
2-9-28	0	02109		101	02109	2	127104000		0306	003			0	0	0301	部	2		0		0		0	2.00	20500	41000	41000	41000	82000	0	0	汰換個人電腦。									1	355	310	0	0003				1000706	BGT
2-10-53	0	02110		101	02110	2	127104000		0306	001			0	0	0301	部	9		0		0		0	9.00	20500	184500	184500	184500	184500	0	0	汰換個人電腦設備。									0	355	310	0	0001				1000511	BGT
2-11-22	0	02111		101	02111	2	347104000		0306	001			0	0	0301	部	2		0		0		0	2.00	20500	41000	41000	41000	41000	0	0	汰換個人電腦。								依標準編列。	0	355	310	0	0001				1000730	BGT
2-12-63	0	02112		101	02112	2	137104000		0306	002			0	0	0301	部	7		0		0		0	7.00	20090	164000	140630	140630	123000	0	0	汰換個人電腦(本會)。									0	355	310	0	0001				1010101	BGT
2-14-50	0	02121		101	02121	2	137104000		0306	001			0	0		部	2		0		0		0	2.00	20500	41000	41000	41000	0	0	0	購置筆記型電腦(防災業務專用)。									0	355	310	0	0002	0	0	0	1000503	BGT
2-14-51	0	02121		101	02121	2	137104000		0306	006			0	0		部	23		0		0		0		20500	471500	471500	471500	471500	0	0	汰換個人電腦。									0	355	310	0	0007				1000330	BGT
2-15-52	0	02122		101	02122	2	137104000		0306	001			0	0	0301	部	25		0		0		0	25.00	20500	512500	512500	512500	594500	0	0	汰換個人電腦。									1	355	310	0	0001				1000513	BGT
2-16-53	0	02123		101	02123	2	137104000		0306	001			0	0		部	34		0		0		0	34.00	20500	635500	697000	697000	635500	0	0	汰換個人電腦(電腦專案)。									0	355	310	0	0002				1000804	BGT
2-17-62	0	02124		101	02124	2	137104000		0306	001			0	0		部	26		0		0		0	26.00	20500	533000	533000	533000	533000	0	0	汰換個人電腦。									0	355	310	0	0002				1000503	BGT
2-18-51	0	02125		101	02125	2	137104000		0306	001			0	0	0301	部	27		0		0		0	27.00	20500	553500	553500	553500	533000	0	0	汰換個人電腦。　　　　　　　　　　　　　　　　　　　　　　　　									0	355	310	0	0002				1000504	BGT
2-19-51	0	02126		101	02126	2	137104000		0306	002			0	0	0301	部	17		0		0		0	17.00	20500	512500	348500	348500	410000	0	0	汰換個人電腦。									1	355	310	0	0003				1000726	BGT
