pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
1-1-24	0	01101		101	01101	1	110101004		0219	001			0	0		人	205	年	1		0		0	205.00×1.00	1210	205700	248050	248050	205700	0	0	員工文康活動經費。									0	257	122	0	0026				1000711	BGT
1-1-24	0	01101		101	01101	1	110101004		0219	002			0	0		年	1		0		0		0		860000	860000	860000	860000	860000	0	0	各項競賽及活動等經費。									0	257	122	0	0027				1000518	BGT
1-1-25	0	01101		101	01101	1	110101004		0219	007			0	0		小組	20		0		0		0		16000	320000	320000	320000	320000	0	0	倡導正當休閒活動各小組鐘點費及小組活動費。									0	257	122	0	0030				1000518	BGT
1-1-25	0	01101		101	01101	1	110101004		0219	008	'		0	0		人	24	年	1		0		0	24.00×1.00	1210	29040	29040	29040	29040	0	0	退休人員文康活動經費。									0	257	122	0	0031	0	0	0	1000518	BGT
1-1-25	0	01101		101	01101	1	110101004		0219	009			0	0		人	43	年	1		0		0	43.00×1.00	1210	52030	52030	52030	52030	0	0	臨時工文康活動經費。									0	257	122	0	0032	0	0	0	1000530	BGT
2-1-44	0	02101		101	02101	1	120101007		0219	001			0	0	2203	人	265	年	1		0		0	265.00×1.00	1210	315810	320650	320650	315810	0	0	文康活動費(含退休人員52人)。　　　　								員工依101年度預算員額編列213人；退休人員158人，依本府人事處規定以每3人編列1人計算，編列52人，以上共計261人。	1	257	122	0	0234				1001227	BGT
2-2-32	0	02102		101	02102	1	120101004		0219	001			0	0	2203	人	154	年	1		0		0		1210	186340	186340	186340	186340	0	0	員工文康活動經費(含本中心員工137人、退休人員17人)。									0	257	122	0	0042				1000216	BGT
2-3-28	0	02103		101	02103	1	120101004		0219	001			0	0	2203	人	167	年	1		0		0		1210	202070	202070	202070	202070	0	0	文康活動費(含本處員工157人及退休人員10人)。									0	257	122	0	0076				1000505	BGT
2-4-21	0	02104		101	02104	1	120101004		0219	001			0	0	2203	人	90	年	1		0		0	90.00×1.00	1210	108900	108900	108900	107690	0	0	員工文康活動費(含本處員工81人，退休人員26人，每滿3人編列1人，編列9人）。								覈實增列退休人數。	1	257	122	0	0074				1000413	BGT
2-5-21	0	02105		101	02105	1	120101004		0219	001			0	0	2203	人	72	年	1		0		0		1210	87120	87120	87120	87120	0	0	文康活動費(含本處員工63人、約聘僱3人及退休人員6人)。									1	257	122	0	0048				1000331	BGT
2-6-30	0	02106		101	02106	1	210101004		0219	001			0	0	2203	人	82	年	1		0		0		1210	99220	99220	99220	99220	0	0	文康活動費(含本處員工78人及退休人員4人)。									0	257	122	0	0088				1000422	BGT
2-7-30	0	02107		101	02107	1	120101004		0219	001			0	0	2203	人	114	年	1		0		0	114.00×1.00	1210	137940	137940	137940	137940	0	0	文康活動費(含本處員工109人、退休人員5人)。									1	257	122	0	0056				1000505	BGT
2-8-26	0	02108		101	02108	1	120101004		0219	001			0	0	2203	人	98	年	1		0		0	98.00×1.00	1210	118580	118580	118580	118580	0	0	文康活動費(含本會員工89人及退休人員9人)。								增列退休人員1人	1	257	122	0	0060				1000621	BGT
