times	borg	recid	yearno	orgno	itemno	dno	workid	obj	seqno	statcd	workname	budget	lastbudget	unit	quantity	unitprice	price	newitem	pageno	notes	src	bybase
1	05111	55	100	05111	2	218302007		0403	001	406	　　　對特種基金之補助	10982200	0	年	1	10,982,200	10982200	0	5-1-25	補助地方教育發展基金之99年補助改善國民中小學廚房建設備經費。	0500010501	一般
1	05111	63	100	05111	2	218302008		0403	001	406	　　　對特種基金之補助	8599028	0	年	1	8,599,028	8599028	0	5-1-25	補助地方教育發展基金之99年補助改善國民中小學健康中心設備經費。	0500010501	一般
1	05111	70	100	05111	2	218302009		0403	001	406	　　　對特種基金之補助	1194000	0	年	1	1,194,000	1194000	0	5-1-26	補助地方教育發展基金之補助充實體育班訓練設施經費。	0500010501	一般
1	05111	78	100	05111	2	218302010		0403	001	406	　　　對特種基金之補助	793000	0	年	1	793,000	793000	0	5-1-26	補助地方教育發展基金之補助國民中小學充實學校棒球運動代表隊訓練器材及設備經費。	0500010501	一般
1	05111	87	100	05111	2	218302011		0403	001	406	　　　對特種基金之補助	2779900	0	年	1	2,779,900	2779900	0	5-1-26	補助地方教育發展基金之補助充實體育教學器材及設施經費。	0500010501	一般
1	05111	95	100	05111	2	218302012		0403	001	406	　　　對特種基金之補助	1978000	0	年	1	1,978,000	1978000	0	5-1-26	補助地方教育發展基金之補助國民中小學足球場地整修及購置資本門器材設施經費。	0500010501	一般
1	05111	104	100	05111	2	218302013		0403	001	406	　　　對特種基金之補助	7998200	0	年	1	7,998,200	7998200	0	5-1-27	補助地方教育發展基金之本市辦理99年度「振興經濟擴大公共建設投資計畫-補助地方自治團體行政機關公共建築太陽光電示範設置」經費。	0500010501	一般
1	05112	6	100	05112	1	220202004		0220	001	272	　　　一般事務費	60501	0	式	1	60,501	60501	0	5-2-13	希望就業專案計畫人員其他費用(預算用人費用之百分之零點七)(含文具及雜支等)。	0500020202	一般
1	05112	10	100	05112	1	220202004		0232	001	292	　　　臨時人員酬金	8736420	0	人	77	113,460	8736420	0	5-2-13	希望就業專案所需進用臨時人員薪津(辦理圖書資料整理等業務)。	0500020202	一般
1	05112	9	100	05112	1	223902007	001	0204	001	208	　　　通訊費	36000	0	份	12000	3	36000	0	5-2-14	閱讀起步走計畫邀請函郵資。	0500020501	一般
1	05112	11	100	05112	1	223902007	001	0214	001	242	　　　按日按件計資酬金	294400	0	節	184	1,600	294400	0	5-2-14	閱讀起步走計畫講座講師鐘點費。	0500020501	一般
1	05112	14	100	05112	1	223902007	001	0220	001	265	　　　　	0	0	個	300	100	30000	0	5-2-14	閱讀起步走計畫閱讀禮袋製作費。	0500020501	一般
1	05112	16	100	05112	1	223902007	001	0220	002	261	　　　　	0	0	張	3500	2	7000	0	5-2-14	閱讀起步走計畫借閱證製作費。	0500020501	一般
1	05112	18	100	05112	1	223902007	001	0220	003	265	　　　　	0	0	份	950	100	95000	0	5-2-15	閱讀起步走計畫說故事獎勵品費。	0500020501	一般
1	05112	20	100	05112	1	223902007	001	0220	004	265	　　　　	0	0	式	1	17,600	17600	0	5-2-15	閱讀起步走計畫文宣印刷費。	0500020501	一般
1	05112	27	100	05112	1	223902007	002	0214	001	242	　　　　	0	0	節	360	800	288000	0	5-2-15	多元閱讀計畫讀書會帶領人鐘點費、講師鐘點費及評審費。	0500020501	一般
1	05112	30	100	05112	1	223902007	002	0214	002	242	　　　　	0	0	節	146	1,600	233600	0	5-2-15	多元閱讀計畫講師鐘點費。	0500020501	一般
1	05112	32	100	05112	1	223902007	002	0214	003	240	　　　　	0	0	人、次	21x1	2,000	42000	0	5-2-15	多元閱讀計畫專家評審出席費及閱卷鐘點費。	0500020501	一般
1	05112	35	100	05112	1	223902007	002	0214	004	243	　　　　	0	0	式	1	30,000	30000	0	5-2-15	多元閱讀計畫點字書校對費。	0500020501	一般
1	05112	37	100	05112	1	223902007	002	0215	001	250	　　　物品及材料	87100	0	式	1	87,100	87100	0	5-2-15	多元悅讀計畫文具紙張費。	0500020501	一般
1	05112	40	100	05112	1	223902007	002	0220	001	265	　　　　	0	0	式	1	136,200	136200	0	5-2-15	多元悅讀計畫活動獎勵品及贈品費。	0500020501	一般
1	05112	42	100	05112	1	223902007	002	0220	002	267	　　　　	0	0	式	1	60,671	60671	0	5-2-15	多元悅讀計畫場地佈置費。	0500020501	一般
1	05112	44	100	05112	1	223902007	002	0220	003	261	　　　　	0	0	式	1	73,300	73300	0	5-2-15	多元悅讀計畫講義費及印刷費。	0500020501	一般
1	05112	46	100	05112	1	223902007	002	0220	004	272	　　　　	0	0	式	1	21,219	21219	0	5-2-15	多元悅讀計畫雜項支出。	0500020501	一般
1	05112	53	100	05112	1	223902009		0211	001	231	　　　外勤誤餐及交通費	1600	0	人、月、次	2x5x2	80	1600	0	5-2-16	工作人員誤餐費。	0500020501	一般
1	05112	55	100	05112	1	223902009		0214	001	240	　　　按日按件計資酬金	40000	0	人、次	2x10	2,000	40000	0	5-2-16	評審委員出席費。	0500020501	一般
1	05112	57	100	05112	1	223902009		0225	001	283	　　　國內旅費	4400	0	式	1	4,400	4400	0	5-2-16	國中圖開會車資。	0500020501	一般
1	05112	67	100	05112	1	223902008	001	0214	001	242	　　　　	0	0	節	6	800	4800	0	5-2-16	綠建築導覽活動導覽人員鐘點費。	0500020501	一般
1	05112	69	100	05112	1	223902008	001	0214	002	242	　　　　	0	0	節	2	1,600	3200	0	5-2-16	綠建築導覽志工培訓課程講師鐘點費。	0500020501	一般
1	05112	71	100	05112	1	223902008	001	0214	003	242	　　　　	0	0	節	6	800	4800	0	5-2-16	樂活影展電影導讀講師鐘點費。	0500020501	一般
1	05112	73	100	05112	1	223902008	001	0214	004	242	　　　　	0	0	節	3	1,600	4800	0	5-2-16	樂活講座講師鐘點費。	0500020501	一般
1	05112	76	100	05112	1	223902008	001	0220	001	267	　　　　	0	0	式	1	4,800	4800	0	5-2-16	綠建築書展區場地佈置費。	0500020501	一般
1	05112	78	100	05112	1	223902008	001	0220	002	261	　　　　	0	0	式	1	4,600	4600	0	5-2-16	海報及文宣品印製費。	0500020501	一般
1	05112	80	100	05112	1	223902008	001	0220	003	261	　　　　	0	0	份	10	300	3000	0	5-2-16	活動講義資料費。	0500020501	一般
1	05112	82	100	05112	1	223902008	001	0220	004	261	　　　　	0	0	份	10	1,000	10000	0	5-2-16	綠建築閱讀護照印製費。	0500020501	一般
1	05112	84	100	05112	1	223902008	001	0220	005	265	　　　　	0	0	份	200	50	10000	0	5-2-17	活動獎勵品費。	0500020501	一般
1	05112	91	100	05112	1	223902008	002	0214	001	242	　　　　	0	0	節	12	1,600	19200	0	5-2-17	綠建築導覽志工培訓課程講師鐘點費。	0500020501	一般
1	05112	93	100	05112	1	223902008	002	0214	002	242	　　　　	0	0	節	8	1,600	12800	0	5-2-17	綠建築活力講座講師鐘點費。	0500020501	一般
1	05112	95	100	05112	1	223902008	002	0214	003	245	　　　　	0	0	人、時	4x6	600	14400	0	5-2-17	愛上綠建築寫生比賽評審鐘點費。	0500020501	一般
1	05112	97	100	05112	1	223902008	002	0215	001	249	　　　物品及材料	16000	0	份	200	80	16000	0	5-2-17	寫生比賽用品材料及紙張等費用。	0500020501	一般
1	05112	100	100	05112	1	223902008	002	0220	001	267	　　　　	0	0	式	1	15,100	15100	0	5-2-17	綠建築書展、影展海報架及導覽解說板等場地佈置費。	0500020501	一般
1	05112	103	100	05112	1	223902008	002	0220	002	261	　　　　	0	0	份	1000	20	20000	0	5-2-17	活動講義編輯印製費。	0500020501	一般
1	05112	105	100	05112	1	223902008	002	0220	003	261	　　　　	0	0	份	1000	45	45000	0	5-2-17	活動海報文宣及綠建築閱讀護照印製費。	0500020501	一般
1	05112	107	100	05112	1	223902008	002	0220	004	265	　　　　	0	0	式	1	7,500	7500	0	5-2-17	綠建築章戳、活動獎勵品及紀念品等費用。	0500020501	一般
1	05112	9	100	05112	2	228302008	001	0307	001	360	　　　雜項設備費	120000	0	式	1	120,000	120000	0	5-2-18	閱讀起步走計畫圖書購置費。	0500020601	他設
1	05112	15	100	05112	2	228302008	002	0307	001	360	　　　雜項設備費	3000000	0	式	1	3,000,000	3000000	0	5-2-18	多元悅讀與館藏充實計畫購置圖書資料經費。	0500020601	他設
1	05112	26	100	05112	2	228302009	001	0302	001	303	　　　　	0	0	式	1	3,333,333	3333333	0	5-2-19	施工費。	0500020601	修建
1	05112	28	100	05112	2	228302009	001	0302	002	303	　　　　	0	0	式	1	200,000	200000	0	5-2-19	委託設計監造費。	0500020601	修建
1	05112	30	100	05112	2	228302009	001	0302	003	303	　　　　	0	0	式	1	66,667	66667	0	5-2-19	工程管理費。	0500020601	修建
1	05112	37	100	05112	2	228302009	002	0302	001	303	　　　　	0	0	式	1	2,592,592	2592592	0	5-2-19	施工費。	0500020601	修建
1	05112	39	100	05112	2	228302009	002	0302	002	303	　　　　	0	0	式	1	155,556	155556	0	5-2-19	委託設計監造費。	0500020601	修建
1	05112	41	100	05112	2	228302009	002	0302	003	303	　　　　	0	0	式	1	51,852	51852	0	5-2-19	工程管理費。	0500020601	修建
1	05112	48	100	05112	2	228302009	003	0307	001	361	　　　　	0	0	座	5	11,730	58650	0	5-2-19	木製光碟視聽櫃。	0500020601	他設
1	05112	50	100	05112	2	228302009	003	0307	002	361	　　　　	0	0	座	1	14,700	14700	0	5-2-19	兒童期刊櫃。	0500020601	他設
1	05112	52	100	05112	2	228302009	003	0307	003	361	　　　　	0	0	座	1	13,500	13500	0	5-2-19	鐵製書架(5層雙面3連)。	0500020601	他設
1	05112	54	100	05112	2	228302009	003	0307	004	361	　　　　	0	0	座	1	15,000	15000	0	5-2-20	鐵製書架(5層雙面4連)。	0500020601	他設
1	05112	56	100	05112	2	228302009	003	0307	005	361	　　　　	0	0	座	1	18,150	18150	0	5-2-20	鐵製書架(5層雙面5連)。	0500020601	他設
1	05112	58	100	05112	2	228302009	003	0307	006	361	　　　　	0	0	座	2	10,000	20000	0	5-2-20	鐵製書架(5層單面2連)。	0500020601	他設
1	05112	65	100	05112	2	228302009	004	0307	001	361	　　　　	0	0	座	4	29,500	118000	0	5-2-20	鐵製書架(5層雙面5連)(含木側封板、三角標示框、壓克力雙層標示牌、書檔及雙胞胎等)。	0500020601	他設
1	05112	69	100	05112	2	228302009	004	0307	002	361	　　　　	0	0	座	4	37,000	148000	0	5-2-20	鐵製書架(5層雙面7連)(含木側封板、三角標示框、壓克力雙層標示牌、書檔及雙胞胎等)。	0500020601	他設
1	05112	73	100	05112	2	228302009	004	0307	003	361	　　　　	0	0	臺	10	2,800	28000	0	5-2-20	輕鋼架方型風扇。	0500020601	他設
1	05112	75	100	05112	2	228302009	004	0307	004	361	　　　　	0	0	臺	2	23,000	46000	0	5-2-20	飲水機。	0500020601	他設
1	05112	82	100	05112	2	228302009	005	0307	001	361	　　　　	0	0	座	1	20,200	20200	0	5-2-20	木製3層鳩巢式期刊架。	0500020601	他設
1	05112	84	100	05112	2	228302009	005	0307	002	361	　　　　	0	0	座	4	35,000	140000	0	5-2-20	木製5層鳩巢式期刊架。	0500020601	他設
1	05112	86	100	05112	2	228302009	005	0307	003	361	　　　　	0	0	張	6	2,500	15000	0	5-2-20	讀者用電腦椅(資訊檢索區)。	0500020601	他設
1	05112	88	100	05112	2	228302009	005	0307	004	361	　　　　	0	0	張	65	700	45500	0	5-2-21	讀者用木製閱覽椅(自修室)。	0500020601	他設
1	05112	90	100	05112	2	228302009	005	0307	005	361	　　　　	0	0	張	57	500	28500	0	5-2-21	讀者用鐵製軟墊折椅(視聽室)。	0500020601	他設
1	05112	92	100	05112	2	228302009	005	0307	006	361	　　　　	0	0	式	1	10,800	10800	0	5-2-21	盆景槽。	0500020601	他設
1	05112	99	100	05112	2	228302009	006	0307	001	361	　　　　	0	0	座	1	18,200	18200	0	5-2-21	預約圖書層架及附件資料抽屜櫃。	0500020601	他設
1	05112	101	100	05112	2	228302009	006	0307	002	361	　　　　	0	0	式	1	61,600	61600	0	5-2-21	預約圖書層架及工作平臺。	0500020601	他設
1	05112	103	100	05112	2	228302009	006	0307	003	361	　　　　	0	0	張	1	16,700	16700	0	5-2-21	報紙區靠背沙發(雙面)。	0500020601	他設
1	05112	105	100	05112	2	228302009	006	0307	004	361	　　　　	0	0	式	1	57,500	57500	0	5-2-21	彩虹沙發及矮書櫃。	0500020601	他設
1	05112	107	100	05112	2	228302009	006	0307	005	361	　　　　	0	0	座	1	11,112	11112	0	5-2-21	兒童新書展示架。	0500020601	他設
1	05112	109	100	05112	2	228302009	006	0307	006	361	　　　　	0	0	座	1	39,000	39000	0	5-2-21	館藏特色區靠牆三層書櫃。	0500020601	他設
1	05112	111	100	05112	2	228302009	006	0307	007	361	　　　　	0	0	組	2	38,000	76000	0	5-2-21	綠洲閱覽區沙發座椅。	0500020601	他設
1	05112	113	100	05112	2	228302009	006	0307	008	361	　　　　	0	0	組	1	20,000	20000	0	5-2-21	書庫區靠牆L型座椅。	0500020601	他設
1	05112	115	100	05112	2	228302009	006	0307	009	361	　　　　	0	0	組	1	12,000	12000	0	5-2-21	書庫區長椅。	0500020601	他設
1	05112	117	100	05112	2	228302009	006	0307	010	361	　　　　	0	0	張	1	17,888	17888	0	5-2-21	筆電區檢索桌。	0500020601	他設
1	05112	124	100	05112	2	228302009	007	0307	001	361	　　　　	0	0	座	1	26,000	26000	0	5-2-22	系統櫃8層(書庫)。	0500020601	他設
1	05112	126	100	05112	2	228302009	007	0307	002	361	　　　　	0	0	座	1	17,000	17000	0	5-2-22	視聽資料櫃。	0500020601	他設
1	05112	128	100	05112	2	228302009	007	0307	003	361	　　　　	0	0	座	1	50,000	50000	0	5-2-22	系統櫃(服務臺)。	0500020601	他設
1	05112	130	100	05112	2	228302009	007	0307	004	361	　　　　	0	0	座	1	10,000	10000	0	5-2-22	系統櫃2層(兒童室)。	0500020601	他設
1	05112	132	100	05112	2	228302009	007	0307	005	361	　　　　	0	0	座	1	25,000	25000	0	5-2-22	木製2層鳩巢式期刊架20格。	0500020601	他設
1	05112	134	100	05112	2	228302009	007	0307	006	361	　　　　	0	0	組	2	20,000	40000	0	5-2-22	筆電桌椅。	0500020601	他設
1	05112	136	100	05112	2	228302009	007	0307	007	361	　　　　	0	0	座	2	20,000	40000	0	5-2-22	過期報紙架。	0500020601	他設
1	05112	138	100	05112	2	228302009	007	0307	008	361	　　　　	0	0	組	1	20,000	20000	0	5-2-22	館特高腳桌椅。	0500020601	他設
1	05112	140	100	05112	2	228302009	007	0307	009	361	　　　　	0	0	組	1	22,000	22000	0	5-2-22	兒童造型桌椅。	0500020601	他設
1	05116	5	100	05116	1	220202400		0232	002	292	　　　臨時人員酬金	-10000000	0	式	1	-10,000,000	-10000000	0	5-6-13	隊員薪資。	0500060202	一般
1	05116	7	100	05116	1	223902005		0227	001	285	　　　國外旅費	2000000	0	年	1	2,000,000	2000000	0	5-6-14	隊員國外移地訓練旅費。	0500060401	一般
1	05116	9	100	05116	1	223902005		0232	001	292	　　　臨時人員酬金	8000000	0	年	1	8,000,000	8000000	0	5-6-14	分攤隊員薪資。	0500060401	一般
1	05116	17	100	05116	1	223902015		0206	002	213	　　　其他業務租金	125319	0	式	1	125,319	125319	0	5-6-14	行銷攤位租用費用。	0500060401	一般
1	05116	20	100	05116	1	223902015		0220	001	259	　　　　	0	0	式	3	464,400	1393200	0	5-6-14	2019年亞洲運動會、2017年亞洲室內暨武藝運動會及2017年亞洲青年運動會申辦書選寫費。	0500060401	一般
1	05116	24	100	05116	1	223902015		0220	002	261	　　　　	0	0	式	1	60,000	60000	0	5-6-15	文宣品製作。	0500060401	一般
1	05116	26	100	05116	1	223902015		0220	003	265	　　　　	0	0	式	1	198,955	198955	0	5-6-15	紀念品等行銷費用。	0500060401	一般
1	05116	28	100	05116	1	223902015		0220	004	267	　　　　	0	0	式	1	24,500	24500	0	5-6-15	行銷攤位設計費。	0500060401	一般
1	05116	30	100	05116	1	223902015		0220	005	270	　　　　	0	0	件	13	3,000	39000	0	5-6-15	考察團服裝費。	0500060401	一般
1	05116	38	100	05116	1	223902018		0401	001	402	　　　對國內團體之捐助	5125000	0	年	1	5,125,000	5125000	0	5-6-15	補助棒球基層訓練站培訓經費。	0500060401	一般
1	05116	46	100	05116	1	223902020		0216	001	252	　　　委辦費	1500000	0	式	1	1,500,000	1500000	0	5-6-15	辦理促進民間參與公共建設案件前置作業顧問委託費。	0500060401	一般
1	05116	55	100	05116	1	223902030		0401	001	402	　　　對國內團體之捐助	360000	0	年	1	360,000	360000	0	5-6-15	補助辦理羽球及射箭項目區域性對抗賽以培訓基層訓練站選手經費。	0500060401	一般
1	05116	7	100	05116	1	223901025		0216	001	252	　　　委辦費	1000000	0	案	1	1,000,000	1000000	0	5-6-16	辦理促進民間參與公共建設案件前置作業顧問委託費。	0500060402	一般
1	05116	8	100	05116	2	228302005		0303	001	330	　　　　	0	0	式	1	4,184,000	4184000	0	5-6-17	迎風河濱公園足球場、曲棍球場夜間照明工程。	0500060501	修建
1	05116	11	100	05116	2	228302005		0303	002	330	　　　　	0	0	式	1	6,307,613	6307613	0	5-6-17	迎風河濱、青年公園各球場整建及各場地圍網設置與雜項等工程。	0500060501	修建
1	05116	14	100	05116	2	228302005		0303	003	330	　　　　	0	0	式	1	2,725,000	2725000	0	5-6-17	百齡河濱公園足球場及籃球場整建工程。	0500060501	修建
1	05116	16	100	05116	2	228302005		0303	004	330	　　　　	0	0	式	1	2,461,791	2461791	0	5-6-17	天母棒球場全區擴音設備系統工程。	0500060501	修建
1	05116	18	100	05116	2	228302005		0303	005	330	　　　　	0	0	式	1	2,810,952	2810952	0	5-6-17	天母棒球場防漏、LED機房通風散熱等工程。	0500060501	修建
1	05116	21	100	05116	2	228302005		0303	006	330	　　　　	0	0	式	1	1,578,620	1578620	0	5-6-17	天母運動園區籃球與排球共用球場地面修整、階梯看台遮雨棚及滾球場新建工程。	0500060501	修建
1	05116	24	100	05116	2	228302005		0303	007	330	　　　　	0	0	式	1	1,357,618	1357618	0	5-6-17	設計監造費。	0500060501	修建
1	05116	26	100	05116	2	228302005		0303	008	330	　　　　	0	0	式	1	207,330	207330	0	5-6-18	工程管理費。	0500060501	修建
1	05116	35	100	05116	2	228302010		0303	001	330	　　　　	0	0	式	1	10,707,430	10707430	0	5-6-18	棒球場場地整修(含環場紅土區及草地)、更衣淋浴室改善、觀眾席廁所整修、球員休息室座椅更新、自動灌溉系統工程、夜間照明設備更新、旗桿架增設、全壘打牆防撞板更新等工程(天母棒球場)。	0500060501	修建
1	05116	41	100	05116	2	228302010		0303	002	330	　　　　	0	0	式	1	7,436,390	7436390	0	5-6-18	棒球場場地整修(含環場紅土區及草地)、主體建築物整修、天花板換修、圍網更新、增設電動遮陽網、增加觀眾席、浴廁整修、增設播音系統、旗桿架增設、景觀自動灌溉系統、記分板整修等工程(新生公園棒球場)。	0500060501	修建
1	05116	48	100	05116	2	228302010		0303	003	330	　　　　	0	0	式	1	5,173,937	5173937	0	5-6-18	棒球場場地整修(含環場紅土區及草地)、主體建築物整修、天花板換修、周圍圍網加高、夜間照明設備更新、增設播音系統、看臺鋼構除銹油漆、全壘打防撞墊牆整修、記分板整修等工程(青年公園棒球場)。	0500060501	修建
1	05116	55	100	05116	2	228302010		0303	004	330	　　　　	0	0	式	1	1,215,888	1215888	0	5-6-18	設計監造費。	0500060501	修建
1	05116	57	100	05116	2	228302010		0303	005	330	　　　　	0	0	式	1	466,355	466355	0	5-6-18	工程管理費。	0500060501	修建
1	05116	65	100	05116	2	228302015		0401	001	402	　　　對國內團體之捐助	75000	0	年	1	75,000	75000	0	5-6-19	補助棒球基層訓練站訓練器材設備。	0500060501	一般
1	02101	6	100	02101	1	120101002		0107	001	125	　　　　	0	0	人、月、段	-7x5x1	630	-22050	0	2-1-7	員工上下班交通費。	0200010101	人事
1	02101	8	100	02101	1	120101002		0107	002	125	　　　　	0	0	人、月、段	-6x5x2	630	-37800	0	2-1-7	員工上下班交通費。	0200010101	人事
1	02101	10	100	02101	1	120101002		0107	003	125	　　　　	0	0	人、月、段	-7x5x3	630	-66150	0	2-1-7	員工上下班交通費。	0200010101	人事
1	02101	15	100	02101	1	120101002		0201	001	201	　　　　	0	0	人、月	-8x5	445	-17800	0	2-1-7	職員8人，按每人每月445元編列。	0200010101	一般
1	02101	17	100	02101	1	120101002		0201	002	201	　　　　	0	0	人、月	-12x5	160	-9600	0	2-1-7	約聘僱12人，按每人每月160元編列。	0200010101	一般
1	02101	23	100	02101	1	120101007		0219	001	257	　　　福利費	-24200	0	人、年	-20x1	1,210	-24200	0	2-1-7	文康活動費。	0200010101	一般
1	02101	5	100	02101	1	130401001		0102	001	104	　　　法定編制人員待遇	-2911178	0	年	1	-2,911,178	-2911178	0	2-1-9	職員-8人人事費(詳人事費分析表)。	0200010501	人事
1	02101	7	100	02101	1	130401001		0103	001	109	　　　約聘僱人員待遇	-2921184	0	年	1	-2,921,184	-2921184	0	2-1-9	聘用-12人人事費(詳聘僱人員薪津及保險費彙計表)。	0200010501	人事
1	02101	11	100	02101	1	130401001		0109	001	134	　　　　	0	0	年	1	-229,164	-229164	0	2-1-9	職員退休離職儲金(詳人事費分析表)。	0200010501	人事
1	02101	13	100	02101	1	130401001		0109	002	137	　　　　	0	0	年	1	-155,792	-155792	0	2-1-9	約聘僱退離職儲金(詳聘僱人員薪津及保險費彙計表)。	0200010501	人事
1	02101	17	100	02101	1	130401001		0110	001	139	　　　　	0	0	年	1	-136,583	-136583	0	2-1-9	職員(工)健保費(詳人事費分析表)。	0200010501	人事
1	02101	19	100	02101	1	130401001		0110	002	142	　　　　	0	0	年	1	-68,255	-68255	0	2-1-9	職員公保費(詳人事費分析表)。	0200010501	人事
1	02101	21	100	02101	1	130401001		0110	003	144	　　　　	0	0	年	1	-113,040	-113040	0	2-1-9	約聘僱勞保費(詳聘僱人員薪津及保險費彙計表)。	0200010501	人事
1	02101	24	100	02101	1	130401001		0110	004	139	　　　　	0	0	年	1	-136,928	-136928	0	2-1-9	約聘僱健保費(詳聘僱人員薪津及保險費彙計表)。	0200010501	人事
1	02101	31	100	02101	1	130401002		0108	001	130	　　　加班費	-166500	0	小時	-900	185	-166500	0	2-1-10	進駐本市災害應變中心加班費。	0200010501	加班
1	02101	34	100	02101	1	130401002		0113	001	151	　　　　	0	0	人、日	1x-108	300	-32400	0	2-1-10	24小時值班費(平日)。	0200010501	值班
1	02101	36	100	02101	1	130401002		0113	002	151	　　　　	0	0	人、日	1x-43	500	-21500	0	2-1-10	24小時值班費(假日)。	0200010501	值班
1	02101	40	100	02101	1	130401002		0211	001	231	　　　外勤誤餐及交通費	-19200	0	人、次	24x-10	80	-19200	0	2-1-10	中央災害防救工作訪評、本府自行評量及相關訪談工作人員誤餐費。	0200010501	災防
1	02101	43	100	02101	1	130401002		0213	001	235	　　　兼職費	-330000	0	人、月	22x-5	3,000	-330000	0	2-1-10	臺北市政府災害防救專家諮詢委員會全體委員兼職費。	0200010501	災防
