pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
2-7-34	0	02107		101	02107	1	120201002		0212	001			0	0		年	1		0		0		0	1.00	210000	210000	210000	210000	85500	0	0	參加資訊機構協會、組織會員年費。								101年度新增參加ICA組織會費。	0	234	310	0	0014				1000505	BGT
2-7-34	0	02107		101	02107	1	120201002		0220	001			0	0		年	1		0		0		0		600000	600000	600000	600000	600000	0	0	辦理資訊業務研討會費。									0	272	310	0	0021				1000505	BGT
2-8-36	0	02108		101	02108	1	120301003		0214	002			0	0		筆	7000		0		0		0		20	140000	140000	140000	140000	0	0	電腦資料登錄費。									0	244	310	0	0032				1000323	BGT
2-8-45	0	02108		101	02108	1	120501003		0214	001			0	0		筆	9000		0		0		0		20	180000	180000	180000	180000	0	0	電腦資料登錄費。　　　　　　									0	244	310	0	0014				1000323	BGT
3-1-50	0	03101		101	03101	1	130101006		0204	002			0	0		年	1		0		0		0	1.00	600000	600000	600000	600000	600000	0	0	無線網路使用帳號通訊費。								依編列標準(3,000元/帳號)計列	0	207	310	0	0097				1000510	BGT
5-2-75	0	05112		101	05112	1	220206002		0215	002			0	0		年	1		0		0		0	1.00	160000	160000	160000	160000	160000	0	0	智慧型圖書館射頻辨識晶片(RFID)。										249	310	0	0013				1000704	BGT
5-2-76	0	05112		101	05112	1	220206002	001	0214	001			0	0		梯	96		0		0		0	96.00	1800	172800	172800	172800	0	0	0	辦理縮短數位落差免費電腦研習班講師鐘點費（原親子免費電腦研習班）。									0	242	310	0	0019	0	0	0	1000803	BGT
5-2-76	0	05112		101	05112	1	220206002	001	0214	002			0	0		梯	96		0		0		0	96.00	900	86400	86400	86400	0	0	0	辦理縮短數位落差免費電腦研習班助教鐘點費（原親子免費電腦研習班）。									0	242	310	0	0020	0	0	0	1000803	BGT
5-2-76	0	05112		101	05112	1	220206002	001	0220	001			0	0		份	2400		0		0		0	2400.00	32	76800	76800	76800	0	0	0	辦理縮短數位落差免費電腦研習班印刷及裝訂費（原親子免費電腦研習班）。									0	261	310	0	0021	0	0	0	1000803	BGT
5-2-76	0	05112		101	05112	1	220206002	001	0220	002			0	0		梯	96		0		0		0	96.00	1000	96000	96000	96000	0	0	0	辦理縮短數位落差免費電腦研習班雜支費（原親子免費電腦研習班）。									0	272	310	0	0022	0	0	0	1000803	BGT
10-5-21	0	10105		101	10105	1	430101020		0214	003			0	0		式	1		0		0		0	1.00	333367	333367	333367	333367	1200000	0	0	勞動檢查資料輸入費。								檢查之罰鍰裁處書（依檢查處分情形差異，內容多所變化）平均每月約70件（折合約420筆），另各類通報資料（裝修、外牆清洗、危險性機械、新建工地等）彙整列管，每月約400筆，罰鍰處分收繳情形資料輸入，每月約250筆，共1070筆計列,及其他臨時交辦之資料輸入彙整業務。	0	244	310	0	0048				1000320	BGT
12-1-64	0	12101		101	12101	1	450101007		0204	002			0	0		年	1		0		0		0	1.00	2965848	2965848	2965848	2965848	2484048	0	0	「市民健康生活照護服務」電路安裝維護服務費。									0	207	310	0	0127				1000510	BGT
18-1-110	0	18111		101	18111	1	340501020		0224	018			0	0		組	1		0		0		0	1.00	60000	60000	60000	60000	57000	0	0	底片影像資料存檔借閱系統、影像輸出入管理系統查詢系統、數位相片儲存設備維護費。								依設備維護需求，覈實增列。	0	282	310	0	0042				1000328	BGT
