borg	bgtyy	srcid	endyy	srcna	srcbr	prep	src0	src1	src12	src2	src3	src4	psrc4	org	cona	sysdat	usno
02121	101	133902000	092	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	3	003	003	07	01					1000509	BGT
02121	101	133902001	092	內政部補助獎勵績優之鄉鎮市(區)調解委員會	內政部補助獎勵績優之鄉鎮市(區)	1	3	003	003	07	01					0990513	BGT
02110	101	123900000	099	接受補助業務支出	接受補助業務支出	1	2	009	009	08						0991028	BGT
02110	101	123902000	099	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	2	009	009	08	01					0991028	BGT
02110	101	128300000	099	接受補助建設支出	接受補助建設支出	1	2	009	009	09						0991028	BGT
02110	101	128302000	099	接受中央各部會補助建設支出	接受中央各部會補助建設支出	1	2	009	009	09	01					0991028	BGT
02129	101	133900000	091	接受補助業務支出	接受補助業務支出	1	3	011	011	07						0991026	BGT
02129	101	133902000	091	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	3	011	011	07	01					0991026	BGT
02126	101	133900000	099	接受補助業務支出	接受補助業務支出	1	3	008	008	07						1000514	BGT
02126	101	133902000	101	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	3	008	008	07	01					1000514	BGT
02126	101	133902001	099	內政部補助獎勵績優之鄉鎮市區調解委員會		1	3	008	008	08	01					0991026	BGT
02126	101	138302002	097	太陽光電發電系統設置工程		1	3	008	008	07	01					0991026	BGT
02124	101	133900000	099	接受補助業務支出	接受補助業務支出	1	3	006	006	07						1000408	BGT
02124	101	133902000	099	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	3	006	006	07	01					0991108	BGT
02122	101	133900000	091	接受補助業務支出	接受補助業務支出	1	3	004	004	07						1000506	BGT
02122	101	133902000	091	接受中央各部會補助業務支出	接受中央各部會補助業務支出	1	3	004	004	07	01					0991025	BGT
02112	101	137102005	092	配合花博公園續展-風味館整體意象藝化工程	配合花博公園續展-風味館整體意	1	3	002	002	06	01					1000414	BGT
02112	101	137102006	092	北原會館、凱達格蘭文化館哺(集)乳室設置工程	北原會館、凱達格蘭文化館哺(集)	1	3	002	002	06	01					1000512	BGT
02121	101	137500000	092	道路橋樑工程	道路橋樑工程	1	3	003	003	04						1000503	BGT
02121	101	137501000	092	道路及橋樑工程	道路及橋樑工程	1	3	003	003	04	01					0970805	
02121	101	137501001	092	八德路三段12巷4弄側溝及巷道工程	八德路三段12巷4弄側溝及巷道工	1	3	003	003	04	01					0970805	
02121	101	137501002	092	光復北路165巷後工程	光復北路165巷後工程	1	3	003	003	04	01					0970805	
02121	101	137501003	092	新中街2巷後	新中街2巷後	1	3	003	003	04	01					0970805	
02121	101	137501007	092	鄰里維護工程	鄰里維護工程	1	3	003	003	04	01					0970805	
02121	101	137501008	092	防火巷整建(後巷變花園)	防火巷整建(後巷變花園)	1	3	003	003	04	01					0970805	
02121	101	137102028	100	行政中心大樓中央空調汰換工程分攤款	行政中心大樓中央空調汰換工程分	1	3	003	003	03	01		001			1000429	BGT
02121	101	137102029	100	行政中心辦公室暨廁所整修工程	行政中心辦公室暨廁所整修工程	1	3	003	003	03	01		002			1000429	BGT
02121	101	517701006	092	里鄰建設各項修建及綠化工程等	里鄰建設各項修建及綠化工程等	1	16	001	001	05	01		004			1000507	BGT
02122	101	137500000	092	道路橋樑工程	道路橋樑工程	1	3	004	004	04						1000413	BGT
02122	101	137501000	092	道路及橋樑工程	道路及橋樑工程	1	3	004	004	04	01					0970805	
02122	101	137501001	092	鄰里維護工程	鄰里維護工程	1	3	004	004	04	01					0970805	
02122	101	137501002	092	山坡地維護	山坡地維護	1	3	004	004	04	01					0970805	
02122	101	137501003	092	基隆路一段147巷5弄6弄道路整修	基隆路一段147巷5弄6弄道路整修	1	3	004	004	04	01					0970805	
02123	101	137500000	092	道路橋樑工程	道路橋樑工程	1	3	005	005	04						0970805	
02123	101	137501000	092	道路及橋樑工程	道路及橋樑工程	1	3	005	005	04	01					0991108	BGT
02123	101	137501001	092	鄰里工程維護費	鄰里工程維護費	1	3	005	005	04	01					1000421	BGT
02123	101	137501002	092	光復南路96巷工程	光復南路96巷工程	1	3	005	005	04	01					0970805	
02123	101	137501003	092	羅斯福路3段269巷工程	羅斯福路3段269巷工程	1	3	005	005	04	01					0970805	
