pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
2-1-52	0	02101		101	02101	1	120301002		0208	001			0	0		人	83		0		0		0	83.00	120	9960	9960	9960	10800	0	0	志工保險費。									0	222	350	0	0007				1000621	BGT
2-1-52	0	02101		101	02101	1	120301002		0214	005			0	0		人次	5220		0		0		0		110	574200	574200	574200	574200	0	0	志工餐點及交通補貼。									0	248	350	0	0012				1000324	BGT
2-1-53	0	02101		101	02101	1	120301002		0215	005			0	0		人	83		0		0		0	83.00	200	16600	16600	16600	0	0	0	志工背心（新增）。								依規定每2年編列。	0	250	350	1	0017				1000920	BGT
2-2-36	0	02102		101	02102	1	120201003		0208	002			0	0		人	2		0		0		0		120	240	240	240	240	0	0	志工保險費。									0	220	350	0	0022				1000222	BGT
2-2-36	0	02102		101	02102	1	120201003		0214	001			0	0		人	2	次	45		0		0		110	9900	9900	9900	9900	0	0	志工餐點及交通補助。									0	248	350	0	0024				1000222	BGT
2-5-36	0	02105		101	02105	1	120401007		0208	001			0	0		人	85	年	1		0		0	85.00×1.00	120	10200	10200	10200	10200	0	0	志工投保意外險之保險費。									0	222	350	0	0027				1000510	BGT
2-5-36	0	02105		101	02105	1	120401007		0214	002			0	0		人	90	次	18		0		0	90.00×18.00	110	178200	178200	178200	178200	0	0	志工餐點及交通補助。									0	248	350	0	0029				1000504	BGT
2-6-38	0	02106		101	02106	1	212601004		0208	001			0	0		人	2		0		0		0		120	240	240	240	240	0	0	志工保險費。									0	222	350	0	0065				1000422	BGT
2-6-38	0	02106		101	02106	1	212601004		0214	001			0	0		人	2	次	2	週	50		0		110	22000	22000	22000	22000	0	0	志工餐點及交通補助。									0	248	350	0	0069				1000422	BGT
2-6-40	0	02106		101	02106	1	212601004		0220	013			0	0		件	2		0		0		0	2.00	200	400	400	400	0	0	0	志工背心（新增）。								2年1編。	0	272	350	1	0088				1000422	BGT
2-9-23	0	02109		101	02109	1	120201002		0208	001			0	0		人	2		0		0		0		120	240	240	240	240	0	0	志工保險費。									0	222	350	1	0014				1000329	BGT
2-9-24	0	02109		101	02109	1	120201002		0214	005			0	0	1101	人	2	次	93		0		0		110	20460	20460	20460	20460	0	0	志工餐點及交通補助。									1	248	350	0	0025				1000329	BGT
2-10-46	0	02110		101	02110	1	120401004		0208	002			0	0		人	25		0		0		0	25.00	96	3400	2400	2400	2400	0	0	辦理志工意外保險費。								依業務需求核實增列	0	222	350	0	0036				1000811	BGT
2-10-46	0	02110		101	02110	1	120401004		0214	003			0	0	1101	人次	1138		0		0		0	1138.00	110	139150	125180	125180	125180	0	0	志工餐點及交通補助。									0	248	350	0	0039				1000811	BGT
2-10-46	0	02110		101	02110	1	120401004		0215	001			0	0		人	25	件	1		0		0	25.00×1.00	160	5000	4000	4000	0	0	0	志工背心(每2年編列1次)。								依業務需求核實編列	0	251	350	1	0041				1000822	BGT
2-12-34	0	02112		101	02112	1	130201004		0208	002			0	0		人	8		0		0		0	8.00	120	0	960	960	0	0	0	志工保險費（新增）。									0	222	350	1	0034	0	0	0	1000801	BGT
2-12-34	0	02112		101	02112	1	130201004		0214	001			0	0	1101	人	6	次	298		0		0	6.00×298.00	110	0	196680	196680	0	0	0	志工導覽解說餐點及交通補助（新增）。									1	248	350	1	0035	0	0	0	1000801	BGT
2-12-42	0	02112		101	02112	1	130301006		0208	001			0	0		人	45		0		0		0	45.00	120	4200	5400	5400	4200	0	0	志工保險費。									0	222	350	0	0050	0	0	0	1000801	BGT
2-12-43	0	02112		101	02112	1	130301006		0214	001			0	0	1101	人	10	次	245		0		0	10.00×245.00	110	262240	269500	269500	262240	0	0	志工導覽解說餐點及交通補助。									1	248	350	0	0052	0	0	0	1000801	BGT
2-13-31	0	02113		101	02113	1	220201002		0208	001			0	0		人	121	年	1		0		0		120	14520	14520	14520	14520	0	0	志工意外保險費。									0	222	350	0	0011				1000509	BGT
2-13-32	0	02113		101	02113	1	220201002		0214	005			0	0		人	153	月	12	次	3		0		110	605880	605880	605880	605880	0	0	志工餐點及交通補助。									0	248	350	0	0018				1000509	BGT
