bgtyy	statcd	statna	obj	stdcd	sysdat	usno
101	285	赴國外出差旅費	0227		0960523	
101	286	公物運輸、裝卸及通行費	0228		0960523	
101	287	議員膳食費	0229		0960523	
101	288	議員交通費	0229		0960523	BGT
101	289	其他資訊服務	0230		0960523	BGT
101	290	資訊設備租金	0230		0960523	BGT
101	291	拘留人犯之給養費	0231		0960523	BGT
101	292	勞務服務費	0232		0960523	BGT
101	293	專業服務費	0232		0960523	BGT
101	301	土地	0301			
101	302	地上(下)物拆遷補償	0301		0960523	
101	303	辦公建築物整修	0302		0960523	
101	304	警察消防辦公廳舍整修	0302		0960523	BGT
101	305	教室、活動中心整修	0302		0960523	BGT
101	307	其他設施修建工程	0302		0960523	BGT
101	309	區民活動中心	0302		0960523	BGT
101	310	公民會館	0302		0960523	BGT
101	311	社會福利機構設施	0302		0960523	BGT
101	313	土地改良	0303		0960523	BGT
101	315	山坡整治	0303		0960523	BGT
101	317	無障礙設施	0303		0960523	BGT
101	318	公園	0303		0960523	BGT
101	320	綠化工程	0303		0960523	BGT
101	322	道路	0303		0960523	BGT
101	323	雨水下水道	0303		0960523	BGT
101	324	污水下水道	0303		0960523	BGT
101	327	文化設施工程	0303		0960523	BGT
101	328	鄰里工程	0303		0960523	BGT
101	329	鄰里公園	0303		0960523	BGT
101	330	體育設施工程	0303		0960523	BGT
101	331	墓區整建工程	0303		0960523	BGT
101	333	焚化廠設施工程	0303		1000906	BGT
101	335	自來水設施工程	0303		0960523	BGT
101	337	消防栓設施	0303		0960523	BGT
101	338	交通設施改善工程	0303		0960523	BGT
101	339	地區環境改造工程	0303		0960523	BGT
101	340	社區環境改造工程	0303		0960523	BGT
101	342	廣播設備	0304		0960523	
101	344	通訊儀器	0304		0960523	
101	345	機械設備	0304		0960523	
101	346	測試儀器	0304		0960523	
101	347	醫療器械	0304		0960523	
101	348	船舶	0305		0960523	
101	350	車輛	0305		0960523	
101	351	機車	0305		0960523	
101	352	警察消防車輛	0305		0960523	
101	353	警察消防機車	0305		0960523	
101	354	環保業務車輛	0305		0960524	
101	355	資訊硬體設備	0306		0960523	
101	357	資訊軟體設備	0306		0960523	
101	359	資訊系統開發費	0306		0930504	BGT
101	360	圖書設備	0307		0960523	BGT
101	361	事務設備	0307		0960523	BGT
101	363	警察消防裝備	0307		0960523	BGT
101	365	增撥營業基金	0309		0960523	BGT
101	366	增撥非營業基金	0309		0960523	BGT
101	367	投資其他事業	0309		0960523	BGT
101	402	對民間團體之捐助	0401		0960523	
101	403	對學術團體之捐助	0401		0960523	
101	404	對文化公益事業之捐助	0401		0960523	
101	405	對外之捐助	0402		0960523	
101	406	短絀之填補	0403		0960523	
101	408	員工權益補償補助	0403		0960523	
101	410	學生公費、獎助學金	0404		0960523	
101	411	學生工讀金	0404		0960523	
101	412	對非屬公務人員給予之檢舉或獎勵金	0405		0960523	
101	413	退休人員及遺眷三節慰問金	0405		0960523	
101	414	退休人員及遺眷年終慰問金	0405		0960523	
101	415	因公傷亡員工遺族慰問金	0405		0960523	
101	416	其他特定人員慰問金	0405		0960523	
101	417	社會福利津貼(如老年農民福利津貼)	0406		0960523	
101	419	對(中)低收入戶之濟助	0406		0960523	BGT
101	420	對傷殘濟助	0406		0960523	
101	421	對失業濟助	0406		0960523	
101	422	對病患濟助	0406		0960523	
101	424	對特殊境遇婦女、危機家庭兒少之濟助	0406		0960523	BGT
101	425	市民災害救助	0406		0960523	
101	426	市民急難救助	0406		0960523	
101	428	收容及輔育機構就養費	0407		0960523	
101	429	收容及輔育機構就養費	0407		0960523	
101	430	處理公務發生之損失	0409		0960523	
101	431	處理公務發生之賠償	0409		0960523	
101	432	非現職人員優惠存款利息補貼	0410		0960523	
101	433	勞工建購住宅貸款利息差額補貼	0410		0960523	BGT
101	435	污水處理場回饋金	0412		0960523	BGT
101	436	焚化廠回饋金	0412		0960523	BGT
101	437	掩埋場回饋金	0412		0960523	BGT
101	438	其他回饋金	0412		0960523	BGT
101	439	社會保險政府應負擔之費用	0413		0960523	BGT
101	440	對個人之補助及捐助	0414		0960523	BGT
